environment: BipedalWalker-v3
neural_network_type: CTRNN
random_seed: 123
number_generations: 500
trainer_type: CMA_ES
trainer
	population_size: 150
	sigma: 1.0
	checkpoint_frequency: 10
brain
	number_neurons: 15
	delta_t: 1.0
	normalize_input: False
	normalize_input_target: 2
	optimize_state_boundaries: per_neuron
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: random
	w_mask_prob: 0.4
	v_mask: random
	v_mask_prob: 0.3
	t_mask: random
	t_mask_prob: 0.4
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1

Genome Size: 256
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -112.37         13.91           -220.30         -96.04          
1       150         -112.20         13.95           -226.21         -71.02          
2       150         -112.00         14.84           -221.01         -71.30          
3       150         -111.86         9.49            -169.30         -78.43          
4       150         -110.59         11.95           -214.51         -62.29          
5       150         -112.28         14.63           -215.98         -73.20          
6       150         -110.53         12.76           -223.01         -89.40          
7       150         -110.56         11.33           -226.16         -96.80          
8       150         -110.99         8.44            -142.97         -74.70          
9       150         -112.34         14.80           -223.55         -76.30          
10      150         -109.77         13.07           -236.60         -62.81          
11      150         -109.86         8.41            -156.25         -84.35          
12      150         -109.57         9.59            -167.31         -90.30          
13      150         -109.84         10.09           -188.14         -79.51          
14      150         -111.34         13.72           -222.90         -93.13          
15      150         -109.38         8.24            -144.17         -82.83          
16      150         -111.09         13.64           -223.93         -93.95          
17      150         -110.32         11.43           -197.90         -97.33          
18      150         -110.83         14.24           -212.20         -88.58          
19      150         -110.13         15.42           -195.13         -71.92          
20      150         -109.28         14.93           -221.30         -78.92          
21      150         -110.44         10.73           -203.45         -98.63          
22      150         -108.60         8.59            -168.28         -92.70          
23      150         -109.65         13.39           -223.99         -76.34          
24      150         -108.97         12.02           -187.45         -69.57          
25      150         -107.05         10.31           -148.03         -45.89          
26      150         -108.60         9.20            -172.80         -89.74          
27      150         -108.51         12.23           -226.57         -75.61          
28      150         -106.56         7.58            -133.15         -90.08          
29      150         -109.22         17.63           -224.74         -58.72          
30      150         -108.77         10.54           -183.99         -86.11          
31      150         -106.12         9.29            -155.90         -52.11          
32      150         -107.10         9.56            -163.24         -92.02          
33      150         -108.20         12.45           -211.76         -97.04          
34      150         -108.81         15.74           -230.79         -97.65          
35      150         -106.55         15.70           -223.55         6.35            
36      150         -107.85         13.96           -213.88         -89.23          
37      150         -106.74         7.68            -126.39         -97.01          
38      150         -107.68         11.97           -215.39         -96.26          
39      150         -107.96         16.01           -222.39         -97.16          
40      150         -108.02         13.91           -223.64         -97.69          
41      150         -105.75         9.92            -180.12         -96.89          
