environment: BipedalWalker-v3
neural_network_type: CTRNN
random_seed: 123
number_generations: 500
trainer_type: CMA_ES
trainer
	population_size: 150
	sigma: 1.0
	checkpoint_frequency: 20
brain
	number_neurons: 30
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 2
	optimize_state_boundaries: global
	clipping_range_max: 0.1
	clipping_range_min: -0.1
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 4
	v_mask: logarithmic
	v_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1

Genome Size: 336
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -107.67         6.27            -123.22         -92.44          
1       150         -107.65         6.78            -123.62         -91.92          
2       150         -108.65         14.27           -220.41         -5.02           
3       150         -107.56         7.29            -125.65         -79.10          
4       150         -108.25         13.90           -212.93         -94.02          
5       150         -107.93         8.07            -143.52         -92.08          
6       150         -109.11         17.02           -222.54         -93.65          
7       150         -105.67         10.39           -142.55         -13.46          
8       150         -106.83         7.30            -130.93         -91.19          
9       150         -107.64         11.29           -217.53         -92.80          
10      150         -106.26         7.59            -130.22         -91.83          
11      150         -107.83         14.45           -220.63         -91.44          
12      150         -106.33         9.43            -124.26         -26.94          
13      150         -107.00         11.65           -217.98         -66.76          
14      150         -107.15         12.38           -227.05         -67.22          
15      150         -105.10         10.74           -183.69         -53.60          
16      150         -105.24         10.81           -125.97         -12.27          
17      150         -106.92         15.24           -220.13         -91.67          
18      150         -105.39         11.66           -219.15         -92.63          
19      150         -105.05         10.36           -123.70         -22.83          
20      150         -106.74         11.63           -217.51         -91.61          
21      150         -104.56         7.69            -124.21         -92.24          
22      150         -103.04         6.89            -123.57         -92.15          
23      150         -104.97         8.88            -166.53         -86.02          
24      150         -104.14         8.23            -141.70         -84.72          
25      150         -102.41         9.86            -125.93         -16.85          
26      150         -101.94         10.54           -122.79         -28.03          
27      150         -104.69         7.92            -124.69         -93.10          
28      150         -103.52         7.11            -125.68         -92.78          
29      150         -103.36         7.38            -122.89         -92.00          
30      150         -102.63         11.64           -122.89         -12.72          
31      150         -103.69         9.11            -129.89         -49.06          
32      150         -102.19         11.76           -122.50         -16.90          
33      150         -103.08         6.87            -121.59         -91.88          
34      150         -102.01         9.89            -119.52         -12.72          
35      150         -102.51         9.30            -124.36         -45.47          
36      150         -102.50         8.17            -123.78         -56.14          
37      150         -101.90         10.22           -124.33         -24.45          
38      150         -101.49         10.58           -126.49         -19.63          
39      150         -102.44         12.86           -124.06         -2.09           
40      150         -101.59         10.06           -125.57         -29.09          
41      150         -102.39         9.81            -139.80         -28.55          
42      150         -101.17         14.12           -132.79         -21.29          
43      150         -103.15         8.74            -122.13         -45.89          
44      150         -102.43         10.41           -125.18         -16.32          
45      150         -104.04         12.23           -223.16         -85.92          
46      150         -100.34         15.91           -122.85         9.76            
47      150         -105.03         18.45           -220.12         -15.92          
48      150         -102.18         11.51           -119.55         -12.19          
49      150         -101.76         7.60            -123.07         -74.96          
50      150         -100.77         12.71           -118.97         -23.81          
51      150         -100.80         10.91           -132.27         -19.15          
52      150         -101.64         7.26            -129.70         -81.94          
53      150         -102.19         7.17            -121.25         -84.91          
54      150         -102.43         10.40           -123.62         -10.34          
55      150         -103.57         17.12           -217.51         -11.78          
56      150         -103.56         13.02           -223.24         -56.59          
57      150         -101.06         14.00           -129.82         -4.14           
58      150         -101.93         17.02           -222.95         -16.49          
59      150         -101.19         12.55           -143.32         -22.34          
60      150         -100.51         13.74           -120.99         -3.44           
61      150         -100.00         16.30           -124.46         0.13            
62      150         -100.87         14.28           -133.70         4.64            
63      150         -101.82         13.95           -216.58         -46.73          
64      150         -102.47         12.33           -211.91         -55.75          
65      150         -98.00          18.35           -125.67         -2.63           
66      150         -98.75          20.00           -218.42         38.08           
67      150         -99.54          14.96           -125.93         -6.31           
68      150         -99.83          13.79           -122.13         0.72            
69      150         -101.19         16.02           -214.62         -2.21           
70      150         -96.23          24.48           -130.14         43.35           
71      150         -99.24          13.95           -119.53         -18.14          
72      150         -96.86          21.05           -138.38         12.48           
73      150         -99.73          13.27           -121.55         -5.56           
74      150         -94.62          31.31           -215.77         58.01           
75      150         -95.04          24.36           -123.61         45.83           
76      150         -99.50          14.97           -128.51         -9.37           
77      150         -98.80          27.50           -221.56         0.52            
78      150         -93.10          26.33           -139.61         6.84            
79      150         -98.19          28.08           -225.20         87.35           
80      150         -96.56          22.17           -126.37         9.09            
81      150         -98.43          24.81           -224.41         37.04           
82      150         -96.20          22.04           -126.57         -2.15           
83      150         -93.06          31.44           -121.17         127.89          
84      150         -89.17          29.81           -133.95         11.05           
85      150         -86.37          39.04           -211.94         92.73           
86      150         -89.31          40.26           -220.33         107.39          
87      150         -91.82          29.00           -216.87         9.01            
88      150         -86.88          37.42           -222.79         50.25           
89      150         -87.48          38.86           -216.30         103.46          
90      150         -87.92          38.27           -126.44         150.65          
91      150         -90.78          32.38           -135.11         91.72           
92      150         -88.06          38.90           -125.14         95.35           
93      150         -81.19          40.83           -217.13         76.99           
94      150         -88.62          33.20           -163.29         51.55           
95      150         -81.84          40.92           -221.72         86.60           
96      150         -81.16          37.75           -120.90         58.89           
97      150         -87.97          33.21           -135.48         57.89           
98      150         -76.32          46.08           -225.74         132.41          
99      150         -76.80          41.46           -121.61         98.78           
100     150         -80.77          38.90           -210.97         37.68           
101     150         -80.98          41.77           -160.48         105.53          
102     150         -78.53          40.73           -128.34         41.19           
103     150         -84.66          35.81           -151.90         23.80           
104     150         -81.00          43.10           -217.27         106.36          
105     150         -85.33          34.23           -138.02         46.85           
106     150         -86.03          32.66           -128.80         36.07           
107     150         -77.26          39.28           -126.04         65.54           
108     150         -75.54          42.13           -219.38         131.73          
109     150         -76.69          41.73           -222.07         116.48          
110     150         -77.97          36.60           -142.68         113.21          
111     150         -72.09          45.77           -133.66         106.47          
112     150         -75.00          39.65           -150.42         75.12           
113     150         -80.80          34.34           -124.69         49.56           
114     150         -71.08          43.98           -121.44         171.57          
115     150         -70.69          43.82           -218.41         89.15           
116     150         -70.37          44.67           -134.23         171.55          
117     150         -69.66          40.61           -132.01         64.08           
118     150         -64.79          41.32           -130.33         132.96          
119     150         -61.54          46.92           -124.22         119.68          
120     150         -72.94          43.01           -131.05         101.36          
121     150         -68.24          52.14           -221.82         144.00          
122     150         -66.96          47.99           -133.57         138.81          
123     150         -66.04          47.02           -123.84         139.24          
124     150         -69.50          47.99           -122.88         146.26          
125     150         -58.41          48.91           -125.04         95.65           
126     150         -63.53          52.77           -123.51         155.60          
127     150         -64.05          52.76           -122.56         196.98          
128     150         -59.45          51.00           -124.97         106.31          
129     150         -63.85          52.35           -126.23         134.44          
130     150         -72.11          47.42           -125.74         131.40          
131     150         -66.43          45.52           -141.78         71.82           
132     150         -64.27          52.72           -161.56         163.15          
