environment: BipedalWalker-v3
neural_network_type: CTRNN
random_seed: 123
number_generations: 500
trainer_type: CMA_ES
trainer
	population_size: 150
	sigma: 1.0
	checkpoint_frequency: 20
brain
	number_neurons: 25
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 10
	optimize_state_boundaries: legacy
	clipping_range_max: 0.1
	clipping_range_min: -0.1
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1

Genome Size: 675
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -102.53         8.73            -118.62         -38.72          
1       150         -102.12         12.36           -216.51         -58.82          
2       150         -102.85         7.63            -122.64         -86.15          
3       150         -100.76         11.56           -122.32         -11.03          
4       150         -103.17         13.66           -211.15         -42.98          
5       150         -101.25         9.17            -119.13         -31.11          
6       150         -102.90         11.65           -215.81         -91.98          
7       150         -101.01         11.13           -139.95         -20.55          
8       150         -101.94         7.32            -119.15         -91.39          
9       150         -102.06         12.80           -210.77         -31.26          
10      150         -102.23         7.66            -118.84         -88.27          
11      150         -102.46         12.47           -220.89         -91.59          
12      150         -99.82          7.47            -119.11         -91.79          
13      150         -101.71         12.38           -218.45         -85.84          
14      150         -100.08         7.62            -119.05         -91.34          
15      150         -100.16         7.72            -119.81         -91.48          
16      150         -101.10         8.28            -119.74         -91.64          
17      150         -100.51         7.21            -121.35         -91.22          
18      150         -102.03         12.62           -217.61         -91.13          
19      150         -100.52         7.44            -119.02         -90.33          
20      150         -100.95         11.95           -211.10         -56.99          
21      150         -100.08         8.05            -120.38         -89.56          
22      150         -100.69         7.73            -124.04         -89.82          
23      150         -103.17         15.77           -222.64         -91.75          
24      150         -100.90         11.93           -211.19         -91.44          
25      150         -100.48         9.60            -120.15         -33.82          
26      150         -100.82         9.96            -126.18         -27.98          
27      150         -99.92          8.25            -127.18         -84.86          
28      150         -100.81         7.33            -117.04         -91.29          
29      150         -99.86          7.68            -122.59         -89.95          
30      150         -101.32         13.36           -215.65         -35.01          
31      150         -101.50         8.41            -118.41         -87.44          
32      150         -100.22         12.06           -219.51         -90.04          
33      150         -101.01         8.04            -132.68         -91.84          
34      150         -100.30         10.98           -120.23         -21.58          
35      150         -98.48          10.12           -118.12         -21.77          
36      150         -100.67         12.62           -219.72         -91.53          
37      150         -99.73          10.68           -120.60         -13.07          
38      150         -100.66         13.62           -219.00         -32.12          
39      150         -101.04         8.77            -123.29         -90.58          
40      150         -99.49          12.73           -118.85         -13.14          
41      150         -100.73         8.31            -121.54         -91.26          
42      150         -100.28         8.15            -120.93         -91.35          
43      150         -101.03         13.06           -216.68         -46.96          
44      150         -101.77         8.55            -122.04         -87.32          
45      150         -100.08         7.70            -118.83         -90.64          
46      150         -101.04         14.10           -218.01         -30.24          
47      150         -100.15         9.51            -120.74         -41.32          
48      150         -101.02         8.95            -120.37         -58.44          
49      150         -101.26         8.18            -132.71         -90.99          
50      150         -100.22         8.16            -119.57         -90.17          
51      150         -101.04         8.13            -119.35         -90.97          
52      150         -101.51         8.59            -119.58         -63.60          
53      150         -98.88          9.77            -123.39         -24.95          
54      150         -100.41         13.34           -218.92         -34.00          
55      150         -99.57          15.18           -217.20         -15.65          
56      150         -100.88         8.38            -123.24         -89.54          
57      150         -101.55         9.87            -154.18         -51.99          
58      150         -99.92          10.63           -135.32         -22.04          
59      150         -101.14         8.20            -129.83         -91.37          
60      150         -101.08         8.12            -119.94         -91.27          
61      150         -100.23         14.20           -219.52         -18.87          
62      150         -100.37         13.48           -217.32         -33.99          
63      150         -101.13         13.78           -217.97         -21.30          
64      150         -99.27          8.98            -119.45         -32.13          
65      150         -101.28         8.35            -120.84         -89.34          
66      150         -100.59         13.37           -218.30         -50.90          
67      150         -98.73          15.38           -219.48         -28.53          
68      150         -100.90         7.72            -123.75         -91.80          
69      150         -102.03         12.18           -218.91         -91.32          
70      150         -101.43         12.55           -218.73         -90.05          
71      150         -100.05         7.45            -118.38         -91.67          
72      150         -98.33          11.75           -119.18         -17.48          
73      150         -98.61          14.42           -218.72         -21.73          
74      150         -100.15         13.33           -217.27         -38.83          
75      150         -99.63          8.83            -120.37         -47.17          
76      150         -100.89         13.65           -219.25         -29.34          
