environment: HopperBulletEnv-v0
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 100
	sigma: 1.0
	checkpoint_frequency: 10
	hof_size: 5
brain
	type: LSTM_NumPy
	normalize_input: False
	normalize_input_target: 5
	lstm_num_layers: 1
	use_biases: True
episode_runner
	type: Visualize
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 20
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0

Genome Size: 240
Inputs: Box(15,)
Outputs: Box(3,)
Commit: eb385b02c14f0c04cded4f5f76a42635291e0f31


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         28.63           10.92           14.72           62.56           
1       100         35.16           13.53           14.67           75.86           
2       100         41.21           13.46           18.70           80.93           
3       100         47.98           12.66           17.87           76.56           
4       100         53.86           19.12           22.46           214.34          
5       100         53.14           10.02           21.25           73.46           
6       100         54.55           9.68            30.32           77.57           
7       100         54.20           10.82           17.85           81.95           
8       100         52.40           11.13           15.75           80.80           
9       100         54.54           10.15           16.54           71.33           
10      100         54.14           9.76            23.81           81.64           
11      100         54.80           8.21            29.82           71.99           
12      100         53.51           11.44           21.09           75.36           
13      100         64.42           65.31           28.98           651.10          
14      100         55.16           12.83           19.60           91.88           
15      100         54.31           12.03           16.32           85.94           
16      100         61.32           56.35           25.59           610.19          
17      100         60.74           61.50           23.07           661.38          
18      100         55.16           12.71           25.59           88.71           
19      100         55.51           15.90           22.14           102.40          
20      100         81.79           112.03          21.92           721.25          
21      100         75.68           97.00           13.88           607.67          
22      100         78.31           100.56          19.61           673.35          
23      100         86.06           102.61          22.55           746.91          
24      100         164.73          228.79          22.44           784.42          
25      100         146.62          209.96          17.74           777.99          
26      100         185.42          249.40          16.17           795.94          
27      100         136.68          204.07          19.10           789.47          
28      100         169.59          227.54          16.78           800.44          
29      100         234.30          266.18          16.65           799.44          
30      100         274.22          293.18          16.63           787.02          
31      100         251.75          304.22          14.61           796.92          
32      100         256.14          287.37          20.39           791.71          
33      100         274.33          304.37          18.85           795.45          
34      100         229.95          272.54          16.70           795.11          
35      100         301.08          308.78          18.00           795.30          
36      100         336.14          305.43          18.70           796.13          
37      100         325.29          309.41          19.80           802.19          
38      100         359.79          312.96          15.99           804.34          
39      100         295.98          297.15          17.24           810.07          
40      100         372.52          319.47          20.98           796.86          
41      100         344.26          309.44          17.63           791.16          
42      100         341.65          307.87          16.02           789.14          
43      100         352.16          322.77          16.54           797.92          
44      100         414.21          323.09          15.46           803.03          
45      100         371.60          339.13          20.80           829.59          
46      100         437.87          331.56          16.75           893.15          
47      100         335.19          318.26          17.13           807.18          
48      100         362.03          323.48          17.64           809.38          
49      100         411.65          343.71          14.68           811.55          
50      100         338.02          329.20          13.18           805.29          
51      100         395.99          337.11          17.54           806.78          
52      100         475.71          337.72          19.63           823.53          
53      100         369.05          321.05          19.96           807.27          
54      100         355.43          332.61          15.75           812.27          
55      100         403.29          335.53          17.78           810.47          
56      100         428.41          330.49          12.16           807.78          
57      100         438.09          327.35          23.07           809.88          
58      100         425.51          330.05          18.34           813.18          
59      100         392.38          329.45          20.98           811.31          
60      100         396.46          329.65          19.01           810.97          
61      100         464.74          329.72          20.54           813.39          
62      100         355.40          323.15          19.38           812.27          
63      100         405.62          320.24          19.07           810.09          
64      100         433.46          336.60          19.44           809.78          
65      100         452.54          329.72          12.86           808.82          
66      100         466.86          320.46          16.99           817.01          
67      100         458.07          339.00          11.32           809.11          
68      100         440.73          322.14          21.02           884.85          
69      100         513.81          314.37          15.27           795.10          
70      100         467.89          330.73          19.29           815.90          
71      100         446.03          335.70          22.46           809.77          
72      100         493.18          313.92          25.35           800.25          
73      100         459.65          329.90          20.06           808.92          
74      100         471.66          323.60          22.92           812.13          
75      100         488.24          323.68          22.25           807.95          
76      100         502.69          308.62          21.92           877.10          
77      100         528.34          311.05          23.25           811.65          
78      100         461.63          331.78          16.27           905.50          
79      100         525.48          319.66          22.44           848.15          
80      100         412.90          343.87          23.87           833.91          
81      100         484.05          330.23          23.98           860.22          
82      100         427.35          329.81          18.27           813.04          
83      100         500.19          320.34          23.43           827.67          
84      100         466.18          331.32          22.50           803.62          
85      100         499.90          328.74          21.51           839.54          
86      100         482.69          314.90          16.37           867.69          
87      100         561.45          305.91          24.83           902.47          
88      100         489.34          325.93          18.31           866.75          
89      100         468.10          334.07          22.72           896.12          
90      100         418.91          349.24          23.14           870.25          
91      100         527.06          334.37          23.60           893.99          
92      100         533.57          323.50          23.82           912.03          
93      100         517.40          330.96          22.81           893.18          
94      100         553.64          302.48          22.00           865.67          
95      100         508.69          313.59          24.82           862.18          
96      100         506.67          333.14          20.56           865.47          
97      100         493.07          329.97          24.38           886.61          
98      100         532.75          318.59          23.71           917.47          
99      100         521.02          317.96          21.93           839.34          
100     100         521.98          339.75          19.57           912.54          

Time elapsed: 3958.0450 seconds
