environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 830
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 20
	extra_from_hof: 3
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 100
	mu: 20
	lambda_: 1000
	mutpb: 0.8
novelty
	behavior_from_observation: True
	distance: NCD
	max_recorded_behaviors: 100
	recorded_behaviors_per_generation: 2
	novelty_nearest_k: 5
	novelty_weight: 1.0
	behavioral_interval: 10
	behavioral_max_length: 50
brain
	type: CTRNN
	number_neurons: 100
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 4
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	type: Standard
	max_steps_per_run: 1500
	max_steps_penalty: 0

Genome Size: 3394
Inputs: Box(16, 16)
Outputs: Discrete(6)
Commit: c930304a49116c6ea408e601c08c56a043645150


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1022        66.25           65.32           0.00            150.00          
1       1024        116.25          52.60           0.00            175.00          
2       1026        101.25          52.72           0.00            150.00          
3       1028        110.00          47.04           0.00            150.00          
4       1030        137.50          12.50           125.00          150.00          
5       1032        176.25          33.05           125.00          250.00          
6       1034        198.75          46.42           150.00          275.00          
7       1036        196.25          44.91           150.00          300.00          
8       1038        232.50          47.50           175.00          300.00          
9       1040        255.00          73.99           175.00          375.00          
10      1042        258.75          42.77           175.00          350.00          
11      1044        321.25          29.87           275.00          375.00          
12      1046        303.75          66.74           175.00          400.00          
13      1048        352.50          73.70           225.00          450.00          
14      1050        345.00          40.00           300.00          450.00          
15      1052        352.50          62.70           250.00          425.00          
16      1054        351.25          39.90           275.00          400.00          
17      1056        341.25          38.14           250.00          400.00          
18      1058        335.00          18.37           275.00          350.00          
19      1060        347.50          26.10           300.00          400.00          
20      1062        333.75          30.90           275.00          400.00          
21      1064        342.50          29.69           300.00          400.00          
22      1066        317.50          22.50           275.00          375.00          
23      1068        371.25          72.14           275.00          475.00          
24      1070        342.50          28.61           275.00          400.00          
25      1072        367.50          45.48           275.00          425.00          
26      1074        348.75          33.98           300.00          425.00          
27      1076        363.75          27.92           275.00          400.00          
28      1078        387.50          36.66           325.00          475.00          
29      1080        360.00          26.69           325.00          400.00          
30      1082        346.25          19.80           300.00          375.00          
31      1084        360.00          33.91           300.00          425.00          
32      1086        375.00          36.23           300.00          450.00          
33      1088        355.00          31.22           300.00          400.00          
34      1090        357.50          23.85           325.00          400.00          
35      1092        361.25          31.10           300.00          400.00          
36      1094        356.25          34.35           300.00          450.00          
37      1096        352.50          35.27           300.00          450.00          
38      1098        366.25          29.87           300.00          400.00          
39      1100        382.50          32.69           325.00          425.00          
40      1102        376.25          39.90           325.00          450.00          
41      1104        377.50          24.87           325.00          425.00          
42      1106        376.25          29.02           325.00          425.00          
43      1108        382.50          23.85           325.00          400.00          
44      1110        382.50          28.61           325.00          400.00          
45      1112        366.25          29.87           325.00          425.00          
46      1114        367.50          43.37           225.00          425.00          
47      1116        361.25          51.52           275.00          450.00          
48      1118        401.25          62.49           325.00          500.00          
49      1120        360.00          24.24           300.00          400.00          
50      1122        370.00          23.18           325.00          425.00          
51      1122        373.75          26.78           300.00          425.00          
52      1122        376.25          52.72           325.00          500.00          
53      1122        368.75          29.45           300.00          425.00          
54      1122        377.50          27.27           325.00          450.00          
55      1122        340.00          30.00           275.00          400.00          
56      1122        363.75          36.64           300.00          400.00          
57      1122        382.50          42.65           325.00          475.00          
58      1122        350.00          37.91           275.00          400.00          
59      1122        378.75          57.16           300.00          525.00          
60      1122        400.00          30.62           350.00          450.00          
61      1122        377.50          30.52           325.00          425.00          
62      1122        406.25          35.24           350.00          475.00          
63      1122        382.50          41.16           300.00          475.00          
64      1122        380.00          28.06           325.00          425.00          
65      1122        377.50          35.27           300.00          450.00          
66      1122        383.75          21.32           350.00          425.00          
67      1122        402.50          41.76           350.00          475.00          
68      1122        398.75          25.59           350.00          450.00          
69      1122        380.00          32.21           325.00          425.00          
70      1122        400.00          41.08           350.00          475.00          
71      1122        398.75          30.08           350.00          450.00          
72      1122        395.00          34.10           350.00          450.00          
73      1122        405.00          35.00           350.00          475.00          
74      1122        375.00          37.08           325.00          450.00          
75      1122        413.75          45.74           300.00          475.00          
76      1122        410.00          45.69           325.00          475.00          
77      1122        397.50          30.52           325.00          450.00          
78      1122        403.75          42.04           325.00          475.00          
79      1122        367.50          22.50           325.00          400.00          
80      1122        390.00          44.30           325.00          475.00          
81      1122        416.25          50.17           325.00          500.00          
82      1122        392.50          37.17           325.00          475.00          
83      1122        406.25          45.33           350.00          475.00          
84      1122        418.75          54.13           300.00          500.00          
85      1122        385.00          21.51           325.00          425.00          
86      1122        371.25          40.52           300.00          450.00          
87      1122        415.00          40.62           325.00          475.00          
88      1122        393.75          33.42           350.00          450.00          
89      1122        430.00          47.83           350.00          475.00          
90      1122        387.50          37.50           325.00          500.00          
91      1122        360.00          18.37           325.00          375.00          
92      1122        381.25          56.39           275.00          500.00          
93      1122        415.00          40.62           350.00          475.00          
94      1122        398.75          21.61           350.00          450.00          
95      1122        406.25          41.74           300.00          475.00          
96      1122        368.75          35.24           325.00          425.00          
97      1122        402.50          52.97           325.00          500.00          
98      1122        388.75          49.67           275.00          475.00          
99      1122        363.75          42.19           250.00          425.00          
100     1122        406.25          40.21           350.00          475.00          
101     1122        381.25          39.43           325.00          450.00          
102     1122        382.50          51.30           325.00          475.00          
103     1122        393.75          39.43           350.00          475.00          
104     1122        412.50          59.95           325.00          500.00          
105     1122        392.50          43.37           325.00          475.00          
106     1122        372.50          34.37           325.00          500.00          
107     1122        413.75          41.44           325.00          500.00          
108     1122        427.50          52.38           350.00          525.00          
109     1122        398.75          47.09           325.00          475.00          
110     1122        401.25          41.44           325.00          475.00          
111     1122        403.75          38.95           325.00          450.00          
112     1122        398.75          50.91           325.00          500.00          
113     1122        385.00          52.08           300.00          475.00          
114     1122        371.25          31.89           325.00          425.00          
115     1122        383.75          40.52           325.00          475.00          
116     1122        402.50          58.58           275.00          500.00          
117     1122        400.00          48.09           325.00          475.00          
118     1122        381.25          37.81           300.00          475.00          
119     1122        398.75          55.61           300.00          500.00          
120     1122        408.75          42.04           350.00          475.00          
121     1122        373.75          39.11           300.00          475.00          
122     1122        418.75          37.81           350.00          475.00          
123     1122        416.25          48.27           350.00          500.00          
124     1122        410.00          40.62           350.00          500.00          
125     1122        415.00          32.98           375.00          525.00          
126     1122        418.75          44.63           350.00          475.00          
127     1122        412.50          32.11           350.00          450.00          
128     1122        400.00          33.54           350.00          450.00          
129     1122        391.25          16.35           350.00          425.00          
130     1122        388.75          31.10           350.00          450.00          
131     1122        411.25          37.48           325.00          475.00          
132     1122        421.25          42.04           350.00          500.00          
133     1122        408.75          36.46           350.00          475.00          
134     1122        413.75          33.98           350.00          500.00          
135     1122        433.75          25.34           400.00          475.00          
136     1122        417.50          38.00           350.00          475.00          
137     1122        383.75          33.80           325.00          450.00          
138     1122        413.75          50.30           325.00          500.00          
139     1122        421.25          45.60           350.00          500.00          
140     1122        375.00          42.57           300.00          450.00          
141     1122        410.00          52.08           350.00          500.00          
142     1122        402.50          37.00           350.00          475.00          
143     1122        373.75          31.10           325.00          425.00          
144     1122        415.00          56.12           325.00          500.00          
145     1122        391.25          34.71           325.00          475.00          
146     1122        412.50          49.69           325.00          500.00          
147     1122        381.25          39.43           300.00          450.00          
148     1122        408.75          71.27           300.00          500.00          
149     1122        400.00          53.62           375.00          525.00          
150     1122        388.75          34.89           325.00          450.00          
151     1122        420.00          43.01           325.00          475.00          
152     1122        415.00          47.04           350.00          475.00          
153     1122        411.25          42.19           350.00          475.00          
154     1122        435.00          48.99           325.00          475.00          
155     1122        385.00          39.05           300.00          450.00          
156     1122        405.00          40.77           350.00          475.00          
157     1122        373.75          21.61           350.00          450.00          
158     1122        373.75          25.59           350.00          425.00          
159     1122        353.75          30.90           275.00          400.00          
160     1122        412.50          58.36           300.00          500.00          
161     1122        388.75          34.89           350.00          450.00          
162     1122        417.50          61.29           325.00          500.00          
163     1122        405.00          45.83           325.00          500.00          
164     1122        406.25          53.55           325.00          525.00          
165     1122        397.50          43.95           325.00          500.00          
166     1122        402.50          49.94           325.00          475.00          
167     1122        411.25          45.05           350.00          500.00          
168     1122        397.50          49.94           325.00          500.00          
169     1122        386.25          60.97           300.00          500.00          
170     1122        402.50          57.50           325.00          500.00          
171     1122        391.25          50.79           350.00          500.00          
172     1122        436.25          40.68           325.00          475.00          
173     1122        368.75          46.69           275.00          450.00          
174     1122        373.75          45.74           300.00          450.00          
175     1122        357.50          30.72           300.00          425.00          
176     1122        380.00          52.80           325.00          500.00          
177     1122        368.75          28.37           325.00          450.00          
178     1122        386.25          39.90           325.00          475.00          
179     1122        393.75          56.39           300.00          500.00          
180     1122        382.50          47.50           300.00          450.00          
181     1122        367.50          41.91           300.00          475.00          
182     1122        402.50          41.00           350.00          450.00          
183     1122        403.75          35.60           350.00          450.00          
184     1122        370.00          34.10           325.00          450.00          
185     1122        386.25          50.30           300.00          475.00          
186     1122        350.00          22.36           325.00          375.00          
187     1122        372.50          17.50           325.00          425.00          
188     1122        375.00          38.73           325.00          450.00          
189     1122        388.75          41.44           325.00          475.00          
190     1122        380.00          28.06           300.00          425.00          
191     1122        371.25          33.80           325.00          425.00          
192     1122        380.00          26.93           325.00          425.00          
193     1122        381.25          28.37           325.00          425.00          
194     1122        400.00          35.36           350.00          450.00          
195     1122        395.00          45.83           325.00          475.00          
196     1122        442.50          29.69           375.00          500.00          
197     1122        420.00          42.28           350.00          500.00          
198     1122        426.25          45.05           375.00          500.00          
199     1122        433.75          42.04           350.00          500.00          
200     1122        418.75          20.73           400.00          475.00          
201     1122        405.00          31.22           350.00          475.00          
202     1122        418.75          20.73           375.00          450.00          
203     1122        417.50          35.44           350.00          475.00          
204     1122        408.75          28.80           350.00          450.00          
205     1122        421.25          35.60           350.00          475.00          
206     1122        416.25          35.60           350.00          475.00          
207     1122        378.75          38.14           300.00          425.00          
208     1122        406.25          40.98           350.00          475.00          
209     1122        432.50          36.31           375.00          500.00          
210     1122        446.25          38.95           375.00          500.00          
211     1122        396.25          18.16           350.00          425.00          
212     1122        438.75          47.75           350.00          525.00          
213     1122        421.25          53.78           275.00          500.00          
214     1122        413.75          58.88           325.00          525.00          
215     1122        426.25          52.13           325.00          500.00          
216     1122        447.50          46.03           375.00          525.00          
217     1122        446.25          39.75           325.00          475.00          
218     1122        452.50          24.87           400.00          475.00          
219     1122        445.00          43.73           375.00          525.00          
220     1122        442.50          17.85           375.00          450.00          
221     1122        446.25          33.80           375.00          475.00          
222     1122        361.25          45.05           225.00          475.00          
223     1122        442.50          34.55           350.00          500.00          
224     1122        438.75          31.10           375.00          475.00          
225     1122        440.00          18.37           400.00          475.00          
226     1122        432.50          57.06           350.00          525.00          
227     1122        443.75          37.81           375.00          525.00          
228     1122        395.00          34.10           350.00          475.00          
229     1122        432.50          38.81           350.00          500.00          
230     1122        447.50          35.27           375.00          500.00          
231     1122        457.50          31.72           400.00          500.00          
232     1122        476.25          42.92           375.00          525.00          
233     1122        463.75          39.11           375.00          500.00          
234     1122        386.25          61.99           300.00          475.00          
235     1122        425.00          46.10           350.00          500.00          
236     1122        421.25          42.77           350.00          500.00          
237     1122        448.75          31.10           375.00          500.00          
238     1122        425.00          54.20           350.00          525.00          
239     1122        443.75          45.33           375.00          525.00          
240     1122        411.25          48.40           325.00          475.00          
241     1122        448.75          34.89           375.00          500.00          
242     1122        465.00          39.84           375.00          525.00          
243     1122        452.50          36.14           400.00          525.00          
244     1122        497.50          35.27           425.00          525.00          
245     1122        480.00          35.88           400.00          525.00          
246     1122        465.00          59.90           350.00          525.00          
247     1122        438.75          27.92           400.00          475.00          
248     1122        450.00          44.02           375.00          525.00          
249     1122        445.00          47.17           350.00          525.00          
250     1122        416.25          40.52           350.00          475.00          
251     1122        446.25          42.04           375.00          525.00          
252     1122        465.00          47.70           375.00          525.00          
253     1122        456.25          46.01           375.00          525.00          
