environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 230
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 20
	extra_from_hof: 3
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 10
	mu: 20
	lambda_: 100
	mutpb: 0.8
	efficiency_weight: 0.05
novelty
	behavior_from_observation: True
	distance: NCD
	max_recorded_behaviors: 100
	recorded_behaviors_per_generation: 2
	novelty_nearest_k: 5
	novelty_weight: 1.5
	behavioral_interval: 5
	behavioral_max_length: 50
brain
	type: CTRNN
	number_neurons: 50
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 4
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 500
	max_steps_penalty: 0

Genome Size: 7316
Inputs: Box(32, 32)
Outputs: Discrete(6)
Commit: 4921c2d5759e6e93843c4dce6b83a857ec4cc7cd


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       525         -99.27          2.85            -105.21         -94.05          
1       530         -98.23          1.06            -102.18         -97.22          
2       535         -97.36          1.00            -98.50          -95.51          
3       540         -93.76          9.99            -98.73          -50.92          
4       545         -88.07          15.80           -96.82          -50.60          
5       550         -85.17          12.59           -96.95          -58.16          
6       555         -57.24          24.86           -83.10          -0.99           
7       560         -49.67          17.34           -65.16          -6.43           
8       565         -44.80          9.76            -61.07          -27.10          
9       570         -27.07          20.07           -80.35          -0.60           
10      575         -5.89           52.67           -47.17          151.20          
11      575         -8.24           22.19           -47.88          49.11           
12      575         7.74            22.53           -26.71          42.01           
13      575         8.69            23.92           -19.94          50.23           
14      575         24.53           36.96           -9.68           136.86          
15      575         27.20           26.01           0.09            75.20           
16      575         41.74           30.98           1.39            84.38           
17      575         70.12           17.84           27.15           101.94          
18      575         78.13           16.80           53.06           115.54          
19      575         84.74           20.91           15.71           109.95          
20      575         96.75           14.73           64.11           115.80          
21      575         82.86           36.32           16.90           150.56          
22      575         97.50           36.37           38.41           206.47          
23      575         110.65          31.16           28.04           190.50          
24      575         116.22          22.08           81.15           189.38          
25      575         108.57          26.21           58.14           162.19          
26      575         142.48          17.52           113.14          168.28          
27      575         148.63          14.24           126.22          173.87          
28      575         153.42          23.07           92.91           174.86          
29      575         162.96          19.23           99.10           187.43          
30      575         183.27          9.42            166.38          198.41          
31      575         174.16          17.91           131.28          203.13          
32      575         182.02          8.76            162.13          190.68          
33      575         185.91          13.40           160.90          206.31          
34      575         179.36          12.85           158.59          203.65          
35      575         190.72          16.14           158.48          213.05          
36      575         191.58          13.84           155.38          206.20          
37      575         182.52          21.23           131.27          211.92          
38      575         187.50          14.37           152.33          204.85          
39      575         193.12          8.94            172.89          211.47          
40      575         193.86          10.15           173.50          211.38          
41      575         197.08          11.61           182.28          213.84          
42      575         200.09          13.46           184.58          222.69          
43      575         206.12          12.24           181.91          241.19          
44      575         204.50          10.80           179.91          218.09          
45      575         205.08          29.95           89.87           231.99          
46      575         215.48          12.42           200.65          241.33          
47      575         195.07          20.78           142.05          215.37          
48      575         191.38          29.14           93.16           216.01          
49      575         200.50          7.76            185.28          212.78          
50      575         201.40          10.19           181.47          215.06          
51      575         210.23          6.86            196.97          222.60          
52      575         210.17          5.05            203.75          220.13          
53      575         204.77          8.77            181.12          215.39          
54      575         210.36          6.53            191.22          218.46          
55      575         209.83          9.92            195.72          230.40          
56      575         213.94          8.05            203.18          227.35          
57      575         205.59          11.63           178.71          219.21          
58      575         210.45          8.79            186.66          220.85          
59      575         208.62          3.90            199.68          215.98          
60      575         203.70          7.24            193.02          217.70          
61      575         201.89          12.27           161.21          214.85          
62      575         206.82          8.79            192.68          221.72          
63      575         200.12          14.55           174.33          219.21          
64      575         208.90          7.19            195.39          225.76          
65      575         213.79          6.39            203.25          222.67          
66      575         211.35          7.34            197.44          220.53          
67      575         209.24          11.33           173.55          222.86          
68      575         209.08          5.49            199.19          217.87          
69      575         212.66          7.64            189.66          220.96          
70      575         217.85          3.79            208.39          223.84          
71      575         213.79          6.75            190.07          222.38          
72      575         209.29          10.70           178.10          218.34          
73      575         196.65          23.23           122.69          217.20          
74      575         199.79          9.92            176.51          208.44          
75      575         204.69          10.04           181.24          215.09          
76      575         202.26          19.12           140.44          217.38          
77      575         207.21          20.54           132.88          227.16          
78      575         196.72          46.35           4.89            217.00          
79      575         214.37          6.43            199.74          224.84          
80      575         213.07          3.32            207.29          220.85          
81      575         216.50          6.03            198.78          221.86          
82      575         214.70          8.87            189.97          228.32          
83      575         214.60          8.87            190.84          227.82          
84      575         217.34          5.81            208.92          230.09          
85      575         224.58          4.73            211.20          229.13          
86      575         221.28          3.46            211.63          225.77          
87      575         223.15          5.22            210.80          231.40          
88      575         225.94          5.39            210.03          232.50          
89      575         218.67          5.26            202.38          225.92          
90      575         222.62          6.67            208.35          235.20          
91      575         224.75          3.22            219.28          232.34          
92      575         217.96          13.95           163.95          230.00          
93      575         225.88          3.79            216.99          231.21          
94      575         224.09          9.98            193.74          237.39          
95      575         216.45          12.46           187.40          239.28          
96      575         217.77          9.83            198.46          236.02          
97      575         202.69          39.87           58.13           239.78          
98      575         194.36          65.20           30.55           240.93          
99      575         194.15          65.05           27.01           236.47          
100     575         196.01          42.87           97.58           238.32          
101     575         207.12          41.25           76.74           227.10          
102     575         208.63          29.19           107.79          234.13          
103     575         221.90          23.12           132.26          247.88          
104     575         217.13          15.95           176.27          237.60          
105     575         209.82          20.94           143.98          240.15          
106     575         215.40          12.12           191.36          241.95          
107     575         209.06          7.43            202.12          227.95          
108     575         208.89          9.98            195.35          227.80          
109     575         209.97          13.04           188.57          229.09          
110     575         216.64          7.21            202.54          230.05          
111     575         223.42          10.81           198.45          239.50          
112     575         212.47          20.47           155.51          232.22          
113     575         220.89          11.93           185.06          229.85          
114     575         222.18          7.41            202.21          234.52          
115     575         227.61          6.25            218.58          239.91          
116     575         228.18          4.60            220.31          237.31          
117     575         230.66          7.44            200.17          237.67          
118     575         227.93          17.43           161.94          241.61          
119     575         232.24          3.23            225.74          237.49          
120     575         231.51          7.59            220.00          243.97          
121     575         237.83          5.37            229.93          249.38          
