environment: QbertNoFrameskip-v4
random_seed: -1
number_generations: 500
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 3
	mu: 300
	extra_from_hof: 1
	lambda_: 600
	mutpb: 0.8
	efficiency_weight: 0.05
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
	ctrnn_conf
		type: CTRNN
		number_neurons: 20
		neuron_activation: relu
		neuron_activation_inplace: False
		use_bias: True
		delta_t: 0.1
		normalize_input: False
		normalize_input_target: 2
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_y0: False
		set_principle_diagonal_elements_of_W_negative: False
		parameter_perturbations: 0.0
		w_mask: logarithmic
		w_mask_param: 2
		v_mask: logarithmic
		v_mask_param: 2
		t_mask: logarithmic
		t_mask_param: 2
novelty
	behavioral_interval: -1
	behavioral_max_length: 2
	behavior_source: observation
	distance: euclid
	max_recorded_behaviors: 100
	recorded_behaviors_per_generation: 1
	novelty_nearest_k: 80
	novelty_weight: 1.0
episode_runner
	number_fitness_runs: 2
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0
	keep_env_seed_fixed_during_generation: True
	use_autoencoder: False

Genome Size: 3033
Inputs: Box(32, 32, 3)
Outputs: Discrete(6)
Commit: fa2d87ad1809c0e4490aefcf35b9e118e366ff87


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       901         41.89           55.98           0.00            162.50          
1       902         70.67           58.14           0.00            137.50          
2       903         91.22           53.44           0.00            175.00          
3       904         100.40          46.10           0.00            162.50          
4       905         101.67          47.06           0.00            187.50          
5       906         103.15          44.16           0.00            162.50          
6       907         102.57          46.08           0.00            187.50          
7       908         102.81          45.60           0.00            175.00          
8       909         98.47           48.26           0.00            225.00          
9       910         99.90           48.00           0.00            262.50          
10      911         96.18           51.33           0.00            200.00          
11      912         95.15           48.20           0.00            237.50          
12      913         97.75           48.37           0.00            250.00          
13      914         100.68          46.45           0.00            237.50          
14      915         103.60          45.25           0.00            225.00          
15      916         103.54          50.06           0.00            250.00          
16      917         102.94          45.67           0.00            237.50          
17      918         97.46           48.79           0.00            200.00          
18      919         96.58           51.22           0.00            262.50          
19      920         101.62          48.80           0.00            262.50          
20      921         103.06          46.20           0.00            262.50          
21      922         100.17          50.12           0.00            262.50          
22      923         105.99          49.94           0.00            275.00          
23      924         103.50          56.91           0.00            287.50          
24      925         107.21          59.90           0.00            275.00          
25      926         113.96          58.14           0.00            287.50          
26      927         118.54          63.63           0.00            325.00          
27      928         132.25          54.99           0.00            337.50          
28      929         123.81          58.45           0.00            287.50          
29      930         128.86          53.59           0.00            300.00          
30      931         128.65          58.39           0.00            300.00          
31      932         132.83          63.41           0.00            300.00          
32      933         130.44          63.66           0.00            337.50          
33      934         130.40          61.93           0.00            350.00          
34      935         136.11          65.65           0.00            350.00          
35      936         130.96          57.39           0.00            325.00          
36      937         136.49          60.05           0.00            300.00          
37      938         143.17          67.38           0.00            325.00          
