environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 10
	extra_from_hof: 1
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 0
	mu: 30
	lambda_: 10000
	mutpb: 0.8
	efficiency_weight: 0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
		conv_size1: 3
		conv_feat1: 5
		maxp_size1: 3
		maxp_stride1: 3
		conv_size2: 3
		conv_feat2: 5
		maxp_size2: 4
		maxp_stride2: 2
	ctrnn_conf
		type: CTRNN
		number_neurons: 30
		delta_t: 0.5
		normalize_input: False
		normalize_input_target: 5
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_y0: True
		set_principle_diagonal_elements_of_W_negative: True
		v_mask: logarithmic
		v_mask_param: 4
		w_mask: logarithmic
		w_mask_param: 4
		t_mask: logarithmic
		t_mask_param: 2
		parameter_perturbations: 0.001
		neuron_activation: relu
		neuron_activation_inplace: False
		use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 1000
	max_steps_penalty: 0
	use_autoencoder: False
	environment_attributes
		screen_size: 32

Genome Size: 2562
Inputs: Box(64, 64, 3)
Outputs: Discrete(6)
Commit: d62ac3b0c3888575f61524a02d63b9336fcf8ac3


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       10030       44.59           73.25           0.00            2000.00         
1       10030       97.74           117.51          0.00            2000.00         
2       10030       157.70          151.22          0.00            1150.00         
3       10030       189.06          167.78          0.00            1075.00         
4       10030       195.47          176.05          0.00            1175.00         
5       10030       209.90          179.88          0.00            1200.00         
6       10030       221.26          181.95          0.00            1175.00         
7       10030       212.80          178.87          0.00            1175.00         
8       10030       182.07          174.55          0.00            1175.00         
9       10030       187.19          178.77          0.00            1150.00         
10      10030       210.72          176.06          0.00            1100.00         
11      10030       222.12          177.94          0.00            1150.00         
12      10030       242.43          182.97          0.00            1200.00         
13      10030       238.43          176.82          0.00            1250.00         
14      10030       234.68          183.15          0.00            1150.00         
15      10030       218.85          176.66          0.00            1175.00         
16      10030       221.18          177.38          0.00            1150.00         
17      10030       226.56          174.84          0.00            1150.00         
18      10030       227.52          174.36          0.00            1175.00         
19      10030       238.49          182.35          0.00            1150.00         
20      10030       252.80          190.31          0.00            1150.00         
21      10030       276.84          205.05          0.00            1225.00         
22      10030       279.28          206.08          0.00            1200.00         
23      10030       280.08          204.13          0.00            1250.00         
24      10030       285.54          204.43          0.00            1200.00         
25      10030       282.53          195.99          0.00            1225.00         
26      10030       306.85          205.92          0.00            1200.00         
27      10030       306.26          203.13          0.00            1200.00         
28      10030       312.99          207.78          0.00            1200.00         
29      10030       312.93          206.57          0.00            1200.00         
30      10030       333.88          216.21          0.00            1200.00         
31      10030       365.49          227.39          0.00            1200.00         
32      10030       342.88          225.62          0.00            1200.00         
33      10030       356.01          230.96          0.00            1200.00         
34      10030       368.97          263.93          0.00            1225.00         
35      10030       326.96          220.49          0.00            1200.00         
36      10030       350.45          236.44          0.00            1200.00         
37      10030       378.34          239.37          0.00            1200.00         
38      10030       362.62          242.59          0.00            1225.00         
39      10030       357.84          237.30          0.00            1200.00         
40      10030       361.58          245.48          0.00            1200.00         
41      10030       367.87          242.54          0.00            1200.00         
42      10030       374.42          258.37          0.00            1200.00         
43      10030       370.29          241.21          0.00            1200.00         
44      10030       373.52          256.34          0.00            1200.00         
45      10030       362.25          254.28          0.00            1200.00         
46      10030       363.04          253.45          0.00            1225.00         
47      10030       370.54          250.52          0.00            1225.00         
48      10030       376.21          254.60          0.00            1225.00         
49      10030       387.89          260.96          0.00            1200.00         
50      10030       379.40          252.86          0.00            1200.00         
51      10030       392.60          258.31          0.00            1200.00         
52      10030       399.89          274.81          0.00            1250.00         
53      10030       391.48          263.22          0.00            1225.00         
54      10030       388.93          261.94          0.00            1200.00         
55      10030       406.13          277.90          0.00            1225.00         
56      10030       401.20          281.30          0.00            1200.00         
57      10030       394.88          271.45          0.00            1225.00         
58      10030       385.00          272.80          0.00            1200.00         
59      10030       396.25          275.78          0.00            1200.00         
60      10030       407.68          280.03          0.00            1225.00         
61      10030       408.40          265.37          0.00            1225.00         
62      10030       412.39          271.23          0.00            1225.00         
63      10030       409.07          266.58          0.00            1225.00         
64      10030       416.26          263.06          0.00            1225.00         
65      10030       414.74          265.11          0.00            1225.00         
66      10030       411.48          267.17          0.00            1275.00         
67      10030       405.33          267.29          0.00            1225.00         
68      10030       407.83          267.80          0.00            1225.00         
69      10030       413.65          261.99          0.00            1225.00         
70      10030       429.23          260.21          0.00            1200.00         
71      10030       437.55          271.07          0.00            1200.00         
72      10030       436.02          264.44          0.00            1225.00         
73      10030       443.45          270.88          0.00            1225.00         
74      10030       444.23          269.96          0.00            1225.00         
75      10030       439.89          272.66          0.00            1225.00         
76      10030       425.75          265.49          0.00            1225.00         
77      10030       435.80          263.06          0.00            1225.00         
78      10030       423.05          268.47          0.00            1200.00         
79      10030       439.90          276.19          0.00            1200.00         
80      10030       439.32          283.46          0.00            1225.00         
81      10030       436.38          274.44          0.00            1225.00         
82      10030       429.00          277.84          0.00            1225.00         
83      10030       424.91          273.04          0.00            1225.00         
84      10030       415.81          263.77          0.00            1225.00         
85      10030       414.90          270.88          0.00            1225.00         
86      10030       435.79          287.54          0.00            1200.00         
87      10030       443.71          294.91          0.00            1200.00         
88      10030       496.65          344.60          0.00            1200.00         
89      10030       423.45          255.33          0.00            1200.00         
90      10030       443.91          278.40          0.00            1200.00         
91      10030       435.25          281.86          0.00            1225.00         
92      10030       433.77          278.53          0.00            1200.00         
93      10030       428.64          266.02          0.00            1225.00         
94      10030       440.24          277.60          0.00            1200.00         
95      10030       437.56          270.31          0.00            1200.00         
96      10030       434.55          271.40          0.00            1200.00         
97      10030       444.73          283.45          0.00            1225.00         
98      10030       441.59          283.32          0.00            1225.00         
99      10030       416.83          261.22          0.00            1200.00         

Time elapsed: 36284.7650 seconds
