environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 0
	mu: 10
	extra_from_hof: 1
	lambda_: 500
	mutpb: 0.8
	efficiency_weight: 0.0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
		conv_size1: 5
		conv_feat1: 5
		maxp_size1: 4
		maxp_stride1: 4
		conv_size2: 5
		conv_feat2: 5
		maxp_size2: 4
		maxp_stride2: 1
	ctrnn_conf
		type: CTRNN
		number_neurons: 15
		neuron_activation: relu
		neuron_activation_inplace: False
		use_bias: True
		delta_t: 0.05
		normalize_input: False
		normalize_input_target: 2
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_y0: False
		set_principle_diagonal_elements_of_W_negative: False
		parameter_perturbations: 0.0
		w_mask: logarithmic
		w_mask_param: 8
		v_mask: logarithmic
		v_mask_param: 8
		t_mask: logarithmic
		t_mask_param: 4
episode_runner
	number_fitness_runs: 20
	max_steps_per_run: 100
	reuse_env: False
	keep_env_seed_fixed_during_generation: True

Genome Size: 2337
Inputs: Box(64, 64, 3)
Outputs: Discrete(15)
Commit: 54c11d68d4601d11814cd0fc562983a38b046b3a


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       510         0.15            0.25            0.00            1.00            
1       510         0.36            0.40            0.00            2.50            
2       510         0.02            0.10            0.00            1.00            
3       510         0.07            0.18            0.00            1.00            
4       510         0.33            0.24            0.00            1.00            
5       510         0.15            0.23            0.00            1.00            
6       510         0.03            0.12            0.00            1.00            
7       510         0.04            0.14            0.00            1.00            
8       510         0.32            0.34            0.00            2.00            
9       510         0.00            0.05            0.00            0.50            
10      510         0.35            0.49            0.00            2.00            
11      510         0.37            0.31            0.00            1.00            
12      510         0.07            0.18            0.00            1.00            
13      510         0.12            0.30            0.00            1.50            
14      510         0.08            0.19            0.00            1.00            
15      510         0.39            0.31            0.00            1.50            
16      510         0.47            0.31            0.00            1.50            
17      510         0.04            0.13            0.00            0.50            
18      510         0.41            0.34            0.00            2.00            
19      510         0.33            0.37            0.00            1.50            
20      510         0.19            0.27            0.00            1.50            
21      510         0.58            0.47            0.00            2.00            
22      510         0.47            0.39            0.00            2.00            
23      510         0.36            0.33            0.00            1.50            
24      510         0.02            0.09            0.00            0.50            
25      510         0.20            0.27            0.00            1.00            
26      510         0.50            0.23            0.00            1.00            
27      510         0.71            0.52            0.00            2.50            
28      510         0.05            0.15            0.00            0.50            
29      510         0.27            0.26            0.00            1.00            
30      510         0.11            0.22            0.00            1.00            
31      510         0.56            0.27            0.00            1.50            
32      510         1.21            0.42            0.00            2.00            
33      510         0.42            0.36            0.00            1.50            
34      510         1.17            0.43            0.00            2.00            
35      510         1.11            0.48            0.00            2.00            
36      510         0.09            0.19            0.00            1.00            
37      510         1.37            0.48            0.50            3.00            
38      510         0.67            0.39            0.00            2.50            
39      510         0.15            0.24            0.00            1.00            
40      510         0.34            0.42            0.00            1.50            
41      510         0.12            0.26            0.00            1.00            
42      510         0.34            0.38            0.00            1.50            
43      510         0.65            0.23            0.50            1.50            
44      510         0.63            0.22            0.00            1.50            
45      510         0.70            0.31            0.00            2.00            
46      510         1.47            0.47            0.00            2.50            
47      510         0.15            0.23            0.00            0.50            
48      510         0.46            0.16            0.00            1.00            
49      510         0.90            0.40            0.00            2.50            
50      510         1.14            0.44            0.50            2.50            
51      510         1.55            0.55            0.00            3.00            
52      510         1.54            0.38            0.00            2.50            
53      510         0.69            0.29            0.00            1.50            
54      510         0.32            0.24            0.00            1.00            
55      510         0.65            0.25            0.00            1.00            
56      510         0.76            0.30            0.00            1.50            
57      510         0.49            0.27            0.00            1.00            
58      510         0.52            0.09            0.50            1.00            
59      510         0.34            0.32            0.00            1.50            
60      510         0.73            0.46            0.00            2.00            
61      510         1.12            0.30            0.00            2.00            
62      510         1.20            0.43            0.00            2.50            
63      510         0.44            0.31            0.00            1.50            
64      510         0.37            0.38            0.00            1.50            
65      510         0.51            0.36            0.00            1.50            
66      510         0.94            0.31            0.00            1.50            
67      510         1.70            0.41            0.00            3.50            
68      510         0.53            0.21            0.00            1.50            
69      510         1.01            0.25            0.00            2.00            
70      510         1.03            0.45            0.00            2.50            
71      510         1.97            0.61            0.50            4.00            
72      510         0.72            0.43            0.00            2.00            
73      510         0.23            0.26            0.00            1.00            
74      510         0.29            0.28            0.00            1.00            
75      510         0.83            0.34            0.00            2.00            
76      510         0.59            0.44            0.00            2.50            
77      510         1.10            0.23            0.50            2.00            
78      510         0.01            0.08            0.00            0.50            
79      510         1.08            0.39            0.00            2.50            
80      510         0.01            0.07            0.00            0.50            
81      510         0.35            0.34            0.00            1.50            
82      510         0.03            0.12            0.00            1.00            
83      510         0.85            0.45            0.00            2.00            
84      510         1.16            0.43            0.00            2.50            
85      510         0.27            0.32            0.00            1.50            
86      510         0.79            0.39            0.50            3.00            
87      510         0.96            0.30            0.00            2.00            
88      510         1.57            0.43            0.00            2.50            
89      510         1.45            0.45            0.50            2.50            
90      510         1.84            0.50            0.00            3.00            
91      510         1.09            0.44            0.50            2.50            
92      510         0.42            0.34            0.00            1.50            
93      510         0.22            0.26            0.00            1.00            
94      510         2.19            0.68            0.50            4.00            
95      510         0.55            0.44            0.00            2.00            
96      510         0.87            0.38            0.50            2.00            
97      510         0.96            0.44            0.00            2.00            
98      510         0.64            0.36            0.00            1.50            
99      510         0.92            0.46            0.00            2.00            
100     510         0.03            0.12            0.00            0.50            
101     510         1.55            0.22            1.00            3.00            
102     510         0.59            0.34            0.00            2.00            
103     510         0.78            0.51            0.00            2.00            
104     510         1.59            0.42            0.00            3.00            
105     510         0.90            0.40            0.00            2.00            
106     510         1.05            0.37            0.00            2.50            
107     510         1.87            0.35            0.00            2.50            
108     510         0.29            0.37            0.00            1.50            
109     510         1.10            0.46            0.00            2.00            
110     510         1.19            0.37            0.00            2.50            
111     510         1.71            0.57            0.00            3.00            
112     510         0.30            0.34            0.00            1.50            
113     510         0.44            0.43            0.00            2.00            
114     510         0.80            0.38            0.00            2.00            
115     510         1.30            0.50            0.00            3.00            
116     510         0.84            0.33            0.00            2.00            
117     510         0.60            0.21            0.00            1.50            
118     510         0.30            0.34            0.00            1.50            
119     510         0.40            0.32            0.00            1.50            
120     510         1.34            0.47            0.50            2.50            
121     510         0.89            0.44            0.00            2.00            
122     510         0.99            0.49            0.00            2.50            
123     510         1.01            0.24            0.00            2.00            
124     510         0.88            0.35            0.00            2.00            
125     510         0.40            0.35            0.00            1.50            
126     510         0.94            0.17            0.50            1.50            
127     510         0.50            0.40            0.00            1.50            
128     510         0.42            0.39            0.00            2.00            
129     510         0.43            0.19            0.00            1.00            
130     510         1.45            0.53            0.00            2.50            
131     510         0.78            0.29            0.00            2.00            
132     510         0.44            0.34            0.00            1.50            
133     510         0.93            0.39            0.00            2.00            
134     510         0.76            0.36            0.00            2.00            
135     510         1.07            0.49            0.00            2.50            
136     510         1.24            0.48            0.00            2.50            
137     510         0.70            0.27            0.00            1.50            
138     510         0.77            0.46            0.00            2.00            
139     510         0.95            0.57            0.00            3.00            
140     510         1.41            0.68            0.00            3.00            
141     510         1.99            0.37            0.00            3.00            
142     510         0.13            0.24            0.00            1.00            
143     510         0.43            0.35            0.00            1.50            
144     510         0.06            0.17            0.00            1.00            
145     510         0.22            0.29            0.00            1.00            
146     510         2.24            0.52            0.50            3.50            
147     510         1.53            0.42            0.00            2.50            
148     510         0.57            0.22            0.00            1.50            
149     510         0.13            0.23            0.00            1.00            
150     510         0.99            0.43            0.50            2.00            
151     510         1.38            0.61            0.00            3.00            
152     510         1.15            0.31            0.50            2.00            
153     510         0.08            0.19            0.00            0.50            
154     510         0.68            0.40            0.00            1.50            
155     510         0.33            0.36            0.00            1.50            
156     510         1.15            0.40            0.00            2.50            
157     510         0.63            0.28            0.00            1.50            
158     510         0.33            0.26            0.00            1.00            
159     510         2.27            0.51            0.50            3.50            
160     510         1.09            0.41            0.00            2.50            
161     510         1.81            0.58            0.50            3.50            
162     510         1.57            0.48            0.00            3.00            
163     510         1.53            0.41            0.50            2.50            
164     510         1.24            0.48            0.00            2.50            
165     510         0.41            0.35            0.00            1.50            
166     510         0.61            0.48            0.00            2.00            
167     510         0.73            0.46            0.00            2.00            
168     510         0.70            0.34            0.00            1.50            
169     510         0.45            0.23            0.00            1.00            
170     510         0.46            0.24            0.00            1.00            
171     510         0.48            0.25            0.00            1.50            
172     510         0.20            0.26            0.00            1.00            
173     510         1.11            0.21            0.50            2.00            
174     510         1.47            0.43            0.50            2.50            
175     510         0.43            0.31            0.00            1.50            
176     510         0.91            0.35            0.00            1.50            
177     510         0.10            0.21            0.00            1.00            
178     510         0.35            0.41            0.00            2.00            
179     510         0.43            0.24            0.00            1.00            
180     510         0.18            0.27            0.00            1.00            
181     510         1.34            0.59            0.00            3.50            
182     510         1.43            0.25            0.50            2.00            
183     510         0.27            0.34            0.00            1.50            
184     510         0.75            0.34            0.00            2.00            
185     510         0.73            0.46            0.00            2.50            
186     510         1.23            0.37            0.50            2.00            
187     510         1.03            0.50            0.00            2.50            
188     510         2.03            0.56            0.50            3.50            
189     510         0.48            0.42            0.00            2.00            
190     510         0.50            0.39            0.00            1.50            
191     510         0.43            0.30            0.00            1.00            
192     510         1.23            0.49            0.00            2.50            
193     510         0.58            0.20            0.00            1.50            
194     510         0.20            0.28            0.00            1.50            
195     510         0.49            0.24            0.00            1.50            
196     510         1.25            0.57            0.00            3.00            
197     510         1.80            0.45            0.00            3.00            
198     510         1.12            0.33            0.50            2.00            
199     510         1.70            0.32            0.50            2.50            

Time elapsed: 20004.7269 seconds
