environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 1000
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 0
	mu: 300
	extra_from_hof: 0
	lambda_: 1000
	mutpb: 0.8
	efficiency_weight: 0.0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CTRNN
	number_neurons: 30
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 2
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	parameter_perturbations: 0.0
	w_mask: logarithmic
	w_mask_param: 32
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 4
episode_runner
	number_fitness_runs: 10
	max_steps_per_run: 100
	reuse_env: True
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr
		screen_size: 16

Genome Size: 4532
Inputs: Box(16, 16, 3)
Outputs: Discrete(15)
Commit: 44fa27e78c7569104af94da7f5ce950b00ab9390


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1300        0.02            0.13            0.00            1.00            
1       1300        0.01            0.10            0.00            1.00            
2       1300        0.17            0.39            0.00            2.00            
3       1300        0.04            0.20            0.00            1.00            
4       1300        0.08            0.28            0.00            1.00            
5       1300        0.01            0.08            0.00            1.00            
6       1300        0.28            0.45            0.00            1.00            
7       1300        0.01            0.10            0.00            1.00            
8       1300        0.18            0.39            0.00            2.00            
9       1300        0.00            0.00            0.00            0.00            
10      1300        0.08            0.27            0.00            2.00            
11      1300        0.20            0.40            0.00            1.00            
12      1300        0.01            0.07            0.00            1.00            
13      1300        0.15            0.36            0.00            2.00            
14      1300        0.00            0.00            0.00            0.00            
15      1300        0.01            0.07            0.00            1.00            
16      1300        0.16            0.36            0.00            1.00            
17      1300        0.88            0.68            0.00            3.00            
18      1300        0.02            0.13            0.00            2.00            
19      1300        0.01            0.08            0.00            1.00            
20      1300        0.00            0.05            0.00            1.00            
21      1300        0.50            0.52            0.00            2.00            
22      1300        0.07            0.26            0.00            1.00            
23      1300        0.01            0.10            0.00            2.00            
24      1300        0.50            0.50            0.00            1.00            
25      1300        0.02            0.13            0.00            1.00            
26      1300        0.01            0.08            0.00            1.00            
27      1300        0.13            0.33            0.00            1.00            
28      1300        0.48            0.58            0.00            2.00            
29      1300        0.00            0.06            0.00            1.00            
30      1300        0.24            0.43            0.00            2.00            
31      1300        0.14            0.35            0.00            1.00            
32      1300        0.42            0.63            0.00            3.00            
33      1300        0.25            0.43            0.00            1.00            
34      1300        0.03            0.19            0.00            2.00            
35      1300        0.57            0.54            0.00            3.00            
36      1300        0.07            0.25            0.00            2.00            
37      1300        0.00            0.00            0.00            0.00            
38      1300        0.03            0.16            0.00            1.00            
39      1300        0.04            0.20            0.00            2.00            
40      1300        0.63            0.54            0.00            2.00            
41      1300        0.74            0.44            0.00            1.00            
42      1300        0.03            0.17            0.00            2.00            
43      1300        0.01            0.11            0.00            1.00            
44      1300        0.07            0.25            0.00            1.00            
45      1300        0.10            0.33            0.00            2.00            
46      1300        0.84            0.75            0.00            4.00            
47      1300        0.53            0.63            0.00            3.00            
48      1300        0.00            0.03            0.00            1.00            
49      1300        0.61            0.50            0.00            2.00            
50      1300        0.00            0.00            0.00            0.00            
51      1300        0.75            0.43            0.00            1.00            
52      1300        0.11            0.32            0.00            2.00            
53      1300        0.44            0.53            0.00            3.00            
54      1300        0.01            0.10            0.00            1.00            
55      1300        0.60            0.70            0.00            3.00            
56      1300        0.19            0.41            0.00            2.00            
57      1300        0.39            0.55            0.00            3.00            
58      1300        0.05            0.22            0.00            2.00            
59      1300        0.40            0.55            0.00            2.00            
60      1300        0.10            0.30            0.00            2.00            
61      1300        0.12            0.33            0.00            2.00            
62      1300        0.92            0.50            0.00            2.00            
63      1300        0.31            0.52            0.00            3.00            
64      1300        0.80            0.49            0.00            2.00            
65      1300        0.53            0.66            0.00            3.00            
66      1300        0.28            0.45            0.00            2.00            
67      1300        0.15            0.39            0.00            3.00            
68      1300        0.08            0.27            0.00            2.00            
69      1300        1.30            0.62            0.00            3.00            
