environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 0
	mu: 10
	extra_from_hof: 1
	lambda_: 500
	mutpb: 0.8
	efficiency_weight: 0.0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
		conv_size1: 5
		conv_feat1: 5
		maxp_size1: 4
		maxp_stride1: 4
		conv_size2: 5
		conv_feat2: 5
		maxp_size2: 4
		maxp_stride2: 1
	ctrnn_conf
		type: CTRNN
		number_neurons: 15
		neuron_activation: relu
		neuron_activation_inplace: False
		use_bias: True
		delta_t: 0.05
		normalize_input: False
		normalize_input_target: 2
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_y0: False
		set_principle_diagonal_elements_of_W_negative: False
		parameter_perturbations: 0.0
		w_mask: logarithmic
		w_mask_param: 8
		v_mask: logarithmic
		v_mask_param: 8
		t_mask: logarithmic
		t_mask_param: 4
episode_runner
	number_fitness_runs: 5
	reuse_env: True
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr

Genome Size: 2337
Inputs: Box(0.0, 1.0, (64, 64, 3), float16)
Outputs: Discrete(15)
Commit: ab6e21e2826996402719b17083e40f9295413d38


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       510         0.16            0.19            0.00            0.60            
1       510         0.35            0.28            0.00            1.00            
2       510         0.00            0.03            0.00            0.40            
3       510         0.05            0.09            0.00            0.40            
4       510         0.04            0.11            0.00            0.60            
5       510         0.06            0.09            0.00            0.20            
6       510         0.08            0.10            0.00            0.60            
7       510         0.26            0.15            0.00            0.60            
8       510         0.01            0.06            0.00            0.40            
9       510         0.18            0.18            0.00            0.80            
10      510         0.03            0.07            0.00            0.20            
11      510         0.04            0.08            0.00            0.40            
12      510         0.00            0.00            0.00            0.00            
13      510         0.31            0.19            0.00            0.60            
14      510         0.00            0.02            0.00            0.20            
15      510         0.03            0.08            0.00            0.60            
16      510         0.33            0.24            0.00            1.20            
17      510         0.16            0.12            0.00            0.60            
18      510         0.17            0.11            0.00            0.80            
19      510         0.04            0.12            0.00            0.40            
20      510         0.34            0.19            0.00            0.80            
21      510         0.16            0.19            0.00            0.60            
22      510         0.39            0.24            0.00            0.80            
23      510         0.14            0.10            0.00            0.40            
24      510         0.15            0.24            0.00            1.00            
25      510         0.27            0.21            0.00            0.80            
26      510         0.49            0.33            0.00            1.60            
27      510         0.62            0.42            0.00            1.80            
28      510         0.07            0.10            0.00            0.40            
29      510         0.30            0.20            0.00            0.80            
30      510         0.01            0.06            0.00            0.60            
31      510         0.20            0.17            0.00            0.80            
32      510         0.16            0.09            0.00            0.60            
33      510         0.17            0.07            0.00            0.20            
34      510         0.31            0.17            0.00            0.60            
35      510         0.39            0.07            0.00            0.60            
36      510         0.10            0.12            0.00            0.40            
37      510         0.12            0.10            0.00            0.40            
38      510         0.69            0.28            0.00            1.80            
39      510         0.44            0.21            0.00            1.00            
40      510         0.01            0.04            0.00            0.40            
41      510         0.29            0.18            0.00            1.20            
42      510         0.02            0.07            0.00            0.40            
43      510         0.17            0.14            0.00            0.80            
44      510         0.03            0.07            0.00            0.40            
45      510         0.27            0.17            0.00            1.00            
46      510         0.04            0.08            0.00            0.40            
47      510         0.23            0.18            0.00            0.80            
48      510         0.15            0.12            0.00            0.40            
49      510         0.01            0.04            0.00            0.40            
50      510         0.13            0.19            0.00            1.00            
51      510         0.27            0.24            0.00            1.00            
52      510         0.17            0.13            0.00            0.60            
53      510         0.17            0.09            0.00            0.60            
54      510         0.34            0.33            0.00            1.40            
55      510         0.23            0.11            0.00            0.80            
56      510         0.43            0.26            0.00            1.20            
57      510         0.01            0.03            0.00            0.20            
58      510         0.02            0.09            0.00            0.80            
59      510         0.08            0.11            0.00            0.60            
60      510         0.15            0.24            0.00            0.80            
61      510         0.09            0.12            0.00            0.40            
62      510         0.25            0.12            0.00            0.80            
63      510         0.13            0.10            0.00            0.40            
64      510         0.01            0.04            0.00            0.40            
65      510         0.22            0.19            0.00            0.60            
66      510         0.11            0.10            0.00            0.40            
67      510         0.22            0.25            0.00            1.60            
68      510         0.39            0.06            0.00            0.60            
69      510         0.13            0.16            0.00            0.60            
70      510         0.29            0.17            0.00            0.80            
71      510         0.98            0.27            0.40            2.20            
72      510         0.29            0.15            0.00            0.80            
73      510         0.56            0.26            0.00            1.40            
74      510         0.22            0.20            0.00            1.00            
75      510         0.06            0.11            0.00            0.80            
76      510         0.08            0.12            0.00            0.60            
77      510         0.79            0.32            0.00            1.80            
78      510         0.02            0.06            0.00            0.40            
79      510         0.04            0.08            0.00            0.40            
80      510         0.13            0.10            0.00            0.40            
81      510         0.19            0.08            0.00            0.60            
82      510         0.39            0.16            0.00            1.00            
83      510         0.32            0.29            0.00            1.20            
84      510         0.07            0.15            0.00            0.60            
85      510         0.02            0.07            0.00            0.20            
86      510         0.47            0.20            0.00            1.20            
87      510         0.22            0.08            0.00            0.60            
88      510         0.18            0.18            0.00            0.80            
89      510         0.29            0.14            0.00            0.80            
90      510         0.44            0.12            0.00            0.80            
91      510         0.16            0.18            0.00            0.40            
92      510         0.00            0.02            0.00            0.20            
93      510         0.34            0.24            0.00            1.20            
94      510         0.51            0.27            0.00            1.40            
95      510         0.27            0.20            0.00            0.80            
96      510         0.17            0.14            0.00            1.00            
97      510         0.31            0.23            0.00            1.40            
98      510         0.11            0.10            0.00            0.40            
99      510         0.21            0.15            0.00            0.80            
100     510         0.16            0.20            0.00            0.80            
101     510         0.06            0.10            0.00            0.60            
102     510         0.30            0.17            0.00            0.80            
103     510         1.04            0.23            0.40            1.80            
104     510         0.34            0.14            0.20            0.80            
105     510         0.01            0.05            0.00            0.20            
106     510         0.18            0.16            0.00            0.60            
107     510         0.14            0.16            0.00            0.80            
108     510         0.04            0.08            0.00            0.40            
109     510         0.08            0.11            0.00            0.40            
110     510         0.42            0.23            0.00            1.40            
111     510         0.48            0.33            0.00            1.40            
112     510         0.77            0.18            0.20            1.40            
113     510         0.01            0.06            0.00            0.40            
114     510         0.18            0.19            0.00            1.00            
115     510         0.49            0.22            0.00            1.20            
116     510         0.14            0.15            0.00            0.40            
117     510         0.13            0.09            0.00            0.20            
118     510         0.02            0.07            0.00            0.80            
119     510         0.16            0.17            0.00            0.80            
120     510         0.05            0.13            0.00            0.40            
121     510         0.39            0.20            0.20            0.80            
122     510         0.16            0.12            0.00            0.80            
123     510         0.14            0.10            0.00            0.80            
124     510         0.19            0.22            0.00            1.40            
125     510         0.26            0.18            0.00            0.60            
126     510         0.07            0.11            0.00            0.40            
127     510         0.08            0.11            0.00            0.60            
128     510         0.04            0.11            0.00            0.80            
129     510         0.89            0.20            0.20            1.40            
130     510         0.73            0.28            0.20            1.20            
131     510         0.04            0.12            0.00            0.60            
132     510         0.05            0.11            0.00            0.80            
133     510         0.08            0.12            0.00            0.40            
134     510         0.17            0.21            0.00            1.40            
135     510         0.44            0.18            0.20            0.80            
