environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: CMA_ES
	population_size: 5000
	sigma: 1.0
	checkpoint_frequency: 10
	hof_size: 10
	mu: 50
	efficiency_weight: 0.0
	fix_seed_for_generation: True
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
		conv_size1: 5
		conv_feat1: 5
		maxp_size1: 4
		maxp_stride1: 4
		conv_size2: 5
		conv_feat2: 5
		maxp_size2: 4
		maxp_stride2: 1
	ctrnn_conf
		type: CTRNN
		number_neurons: 15
		neuron_activation: relu
		neuron_activation_inplace: False
		use_bias: True
		delta_t: 0.05
		normalize_input: False
		normalize_input_target: 2
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_y0: False
		set_principle_diagonal_elements_of_W_negative: False
		parameter_perturbations: 0.0
		w_mask: logarithmic
		w_mask_param: 8
		v_mask: logarithmic
		v_mask_param: 8
		t_mask: logarithmic
		t_mask_param: 4
episode_runner
	number_fitness_runs: 3
	reuse_env: True
	max_steps_per_run: 100
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr

Genome Size: 2337
Inputs: Box(0.0, 1.0, (64, 64, 3), float16)
Outputs: Discrete(15)
Commit: ab6e21e2826996402719b17083e40f9295413d38


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       5000        -50.01          62.00           -101.00         199.02          
1       5000        -61.70          48.34           -101.00         349.03          
2       5000        -15.32          97.36           -101.00         349.03          
3       5000        -48.31          58.44           -101.00         249.02          
4       5000        -67.21          32.65           -101.00         99.01           
5       5000        20.23           135.40          -101.00         555.40          
6       5000        -17.30          58.17           -101.00         249.02          
7       5000        -32.99          88.37           -101.00         404.05          
8       5000        11.06           93.21           -101.00         349.03          
9       5000        -6.27           59.03           -101.00         349.03          
10      5000        -9.21           65.79           -101.00         299.03          
11      5000        -0.11           72.81           -101.00         299.03          
12      5000        20.35           98.73           -101.00         549.04          
13      5000        -2.13           68.87           -101.00         399.03          
14      5000        36.86           81.73           -101.00         549.04          
15      5000        -2.37           106.91          -101.00         445.06          
16      5000        14.50           100.66          -101.00         566.08          
17      5000        56.46           132.82          -101.00         549.04          
18      5000        -9.15           46.01           -101.00         249.02          
19      5000        -5.25           69.38           -101.00         199.02          
20      5000        170.05          107.46          -101.00         499.06          
21      5000        1.97            100.56          -101.00         353.38          
22      5000        124.60          129.08          -101.00         837.44          
23      5000        53.28           137.27          -101.00         499.04          
24      5000        47.04           80.07           -101.00         499.04          
25      5000        4.28            77.32           -101.00         349.03          
26      5000        85.94           108.96          -101.00         399.03          
27      5000        115.11          99.73           -101.00         399.03          
28      5000        -6.15           65.43           -101.00         249.02          
29      5000        -21.60          88.29           -101.00         249.02          
30      5000        105.16          102.09          -101.00         553.40          
31      5000        59.78           115.63          -101.00         451.72          
32      5000        86.40           98.56           -101.00         399.03          
33      5000        -18.94          63.34           -101.00         299.03          
34      5000        103.44          134.92          -101.00         548.06          
35      5000        107.33          148.56          -101.00         591.09          
36      5000        178.54          117.47          -101.00         552.73          
37      5000        22.76           52.92           -101.00         342.72          
38      5000        6.17            69.34           -101.00         249.02          
39      5000        198.34          107.41          -101.00         555.06          
40      5000        31.71           96.45           -101.00         352.38          
41      5000        241.12          147.19          -101.00         861.44          
42      5000        142.68          111.27          -101.00         499.04          
43      5000        78.08           103.37          -101.00         499.04          
44      5000        32.04           84.51           -101.00         399.03          
45      5000        159.24          115.47          -101.00         542.06          
46      5000        152.23          96.32           -101.00         449.04          
47      5000        16.95           61.94           -101.00         349.03          
48      5000        11.65           88.92           -101.00         349.03          
49      5000        155.64          119.83          -101.00         649.76          
50      5000        103.21          124.92          -101.00         551.42          
