environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: CMA_ES
	population_size: 5000
	sigma: 1.0
	checkpoint_frequency: 10
	hof_size: 10
	mu: 50
	efficiency_weight: 0.0
	fix_seed_for_generation: True
brain
	type: CTRNN
	number_neurons: 15
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 2
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	parameter_perturbations: 0.0
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 4
episode_runner
	number_fitness_runs: 3
	reuse_env: True
	max_steps_per_run: 100
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr
		screen_size: 16

Genome Size: 4217
Inputs: Box(0.0, 1.0, (16, 16, 3), float16)
Outputs: Discrete(15)
Commit: ab6e21e2826996402719b17083e40f9295413d38


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       5000        -63.60          65.85           -101.00         249.02          
1       5000        -38.09          68.84           -101.00         299.03          
2       5000        -58.83          67.39           -101.00         447.72          
3       5000        -50.77          70.51           -101.00         249.02          
4       5000        -70.33          43.26           -101.00         249.02          
5       5000        -27.41          91.52           -101.00         399.03          
6       5000        -29.23          75.23           -101.00         349.03          
7       5000        -57.98          38.58           -101.00         149.02          
8       5000        -6.34           71.36           -101.00         349.03          
9       5000        25.75           89.40           -101.00         449.04          
10      5000        1.00            67.98           -101.00         299.03          
11      5000        -34.17          64.30           -101.00         449.72          
12      5000        -15.71          60.95           -101.00         401.72          
13      5000        -6.28           58.46           -101.00         249.02          
14      5000        26.83           91.27           -101.00         449.04          
15      5000        117.06          122.21          -101.00         683.07          
16      5000        105.86          103.10          -101.00         632.40          
17      5000        84.36           98.07           -101.00         499.04          
18      5000        112.28          114.67          -101.00         549.04          
19      5000        -52.13          36.28           -101.00         199.02          
20      5000        56.41           82.70           -101.00         449.04          
21      5000        81.68           118.01          -101.00         599.05          
22      5000        112.51          106.45          -101.00         494.73          
23      5000        47.68           97.53           -101.00         499.04          
24      5000        -11.73          51.11           -101.00         299.03          
25      5000        133.34          102.89          -101.00         465.41          
26      5000        48.41           78.70           -101.00         299.03          
27      5000        69.65           81.99           -101.00         301.38          
28      5000        101.35          135.21          -101.00         554.06          
29      5000        71.74           103.84          -101.00         549.04          
30      5000        35.56           80.75           -101.00         399.03          
31      5000        142.24          125.13          -101.00         560.06          
32      5000        -18.45          64.86           -101.00         349.03          
33      5000        -21.01          85.83           -101.00         498.73          
34      5000        124.48          99.56           -101.00         549.04          
35      5000        69.42           95.59           -101.00         499.04          
36      5000        175.75          88.99           -101.00         545.06          
37      5000        85.19           116.22          -101.00         684.09          
38      5000        62.36           107.88          -101.00         449.04          
39      5000        224.22          165.48          -101.00         649.05          
40      5000        30.73           98.96           -101.00         499.04          
41      5000        58.67           74.74           -101.00         299.03          
42      5000        -1.25           70.95           -101.00         449.04          
43      5000        96.65           131.55          -101.00         697.41          
44      5000        161.53          94.67           -101.00         499.06          
45      5000        203.47          117.76          -101.00         649.05          
46      5000        83.66           100.47          -101.00         499.04          
47      5000        257.60          145.77          -101.00         691.74          
48      5000        66.26           97.62           -101.00         489.73          
49      5000        111.32          123.84          -101.00         597.73          
50      5000        95.64           107.23          -101.00         483.06          
51      5000        232.92          164.39          -101.00         649.05          
52      5000        64.52           99.89           -101.00         491.39          
53      5000        100.49          103.76          -101.00         599.05          
54      5000        64.85           88.44           -101.00         439.72          
55      5000        133.64          107.64          -101.00         632.74          
56      5000        204.98          128.75          -101.00         486.06          
57      5000        117.38          104.66          -101.00         577.75          
58      5000        266.33          142.05          -101.00         599.05          
59      5000        103.49          96.45           -101.00         583.73          
60      5000        178.05          76.83           -101.00         586.07          
61      5000        157.97          112.20          -101.00         549.04          
62      5000        72.84           107.54          -101.00         499.04          
63      5000        94.60           99.80           -101.00         651.09          
64      5000        166.31          115.93          -101.00         633.40          
65      5000        101.88          90.13           -51.00          488.73          
66      5000        170.22          117.22          -101.00         724.10          
67      5000        173.02          103.99          -51.00          638.74          
68      5000        138.85          132.78          -101.00         645.74          
69      5000        67.26           81.37           -101.00         399.03          
70      5000        78.89           78.00           -101.00         349.03          
71      5000        178.91          102.73          -101.00         636.74          
72      5000        197.66          111.92          -51.00          689.07          
73      5000        214.92          91.31           -51.00          539.73          
74      5000        156.99          95.39           -101.00         549.04          
75      5000        201.00          102.09          -101.00         672.09          
76      5000        338.12          123.65          -51.00          699.05          
77      5000        389.31          114.34          -101.00         699.05          
78      5000        327.64          147.02          -51.00          896.44          
79      5000        219.15          113.03          -101.00         638.07          
80      5000        281.14          107.12          -0.99           649.05          
81      5000        234.90          104.81          -101.00         548.40          
82      5000        207.43          116.38          -51.00          689.41          
83      5000        108.79          93.94           -101.00         499.04          
84      5000        166.43          62.06           -0.99           449.04          
85      5000        180.05          98.83           -51.00          535.40          
86      5000        61.25           86.60           -101.00         399.03          
87      5000        185.12          119.16          -101.00         599.05          
88      5000        208.63          133.27          -101.00         642.40          
89      5000        292.16          126.25          -51.00          699.05          
90      5000        296.45          131.70          -101.00         898.77          
91      5000        177.39          58.23           -0.99           491.06          
92      5000        102.90          125.52          -101.00         549.04          
93      5000        190.61          118.02          -101.00         647.07          
94      5000        237.59          111.24          -101.00         599.05          
95      5000        27.99           78.24           -101.00         399.03          
96      5000        132.74          131.00          -101.00         684.76          
97      5000        174.94          159.93          -101.00         707.41          
98      5000        114.45          112.33          -101.00         687.74          
99      5000        254.36          109.84          -101.00         646.74          
100     5000        80.34           107.76          -101.00         538.06          
101     5000        251.00          77.54           -101.00         499.04          
102     5000        97.81           95.43           -101.00         489.39          
103     5000        166.96          101.77          -101.00         499.04          
104     5000        161.72          86.15           -101.00         499.04          
105     5000        490.81          171.30          -0.99           835.44          
106     5000        36.97           77.40           -101.00         349.03          
107     5000        292.06          116.22          -51.00          649.05          
108     5000        261.28          138.70          -101.00         731.76          
109     5000        155.89          120.81          -101.00         742.41          
110     5000        340.42          149.51          -101.00         782.41          
111     5000        327.90          175.50          -101.00         778.43          
112     5000        277.36          123.67          -51.00          676.09          
113     5000        231.88          152.92          -51.00          780.43          
114     5000        113.76          85.48           -51.00          449.04          
115     5000        102.64          81.33           -101.00         540.06          
116     5000        301.57          105.22          -101.00         649.05          
117     5000        272.50          130.86          -101.00         717.76          
118     5000        274.07          139.02          -51.00          748.08          
119     5000        130.51          124.51          -101.00         549.04          
120     5000        381.73          117.71          -0.99           738.74          
121     5000        305.25          116.30          -51.00          691.76          
122     5000        311.17          79.53           -0.99           785.75          
123     5000        350.29          161.02          -51.00          882.44          
124     5000        244.59          95.21           -51.00          552.73          
125     5000        429.73          110.39          -0.99           799.06          
126     5000        192.37          129.30          -51.00          633.40          
127     5000        180.62          69.94           -51.00          499.04          
128     5000        126.87          96.52           -101.00         499.04          
129     5000        257.30          130.54          -51.00          887.77          
130     5000        285.47          70.74           -0.99           449.04          
131     5000        305.77          113.97          -0.99           685.41          
132     5000        205.98          95.20           -51.00          649.05          
133     5000        353.24          116.37          -0.99           758.41          
134     5000        197.12          80.73           -101.00         545.40          
135     5000        263.48          164.14          -51.00          783.43          
136     5000        176.80          123.56          -101.00         649.05          
137     5000        355.91          137.92          -51.00          699.05          
138     5000        187.55          117.89          -101.00         640.07          
139     5000        227.84          139.31          -0.99           749.06          
140     5000        193.75          116.78          -51.00          554.06          
141     5000        291.76          116.46          -101.00         749.06          
142     5000        261.83          82.93           -101.00         549.04          
143     5000        220.70          126.70          -101.00         645.74          
144     5000        361.28          98.27           -0.99           639.40          
145     5000        254.21          105.52          -51.00          690.43          
146     5000        296.12          114.42          -51.00          787.75          
147     5000        246.33          94.27           -51.00          644.07          
148     5000        165.33          83.27           -101.00         534.40          
149     5000        255.87          126.87          -101.00         609.73          
150     5000        321.85          105.40          -51.00          637.07          
151     5000        192.96          71.98           -51.00          486.06          
152     5000        312.60          167.68          -51.00          839.77          
153     5000        229.72          111.39          49.01           700.41          
154     5000        271.98          126.42          -51.00          693.07          
155     5000        78.68           77.68           -51.00          449.04          
156     5000        117.27          75.86           -51.00          441.06          
157     5000        223.26          119.71          -101.00         649.05          
158     5000        287.78          136.26          -0.99           824.44          
159     5000        233.10          82.67           -51.00          692.07          
160     5000        181.06          79.76           -51.00          590.40          
161     5000        281.47          86.65           -51.00          649.05          
162     5000        378.61          117.91          -51.00          742.41          
163     5000        481.76          89.32           99.01           782.75          
164     5000        455.24          170.32          -101.00         924.13          
165     5000        188.66          118.36          -0.99           600.07          
166     5000        327.35          121.88          -0.99           704.07          
167     5000        244.67          92.20           -51.00          542.40          
168     5000        362.07          136.28          -51.00          800.41          
169     5000        195.61          80.89           -101.00         549.04          
170     5000        183.48          57.72           -0.99           449.04          
171     5000        226.90          91.23           -51.00          633.07          
172     5000        123.70          80.50           -101.00         399.03          
173     5000        208.70          139.18          -101.00         649.05          
174     5000        298.31          130.71          -51.00          699.05          
175     5000        332.03          136.57          -51.00          789.41          
176     5000        332.61          133.41          -0.99           879.44          
177     5000        202.83          65.22           -0.99           549.04          
178     5000        216.84          149.85          -101.00         549.04          
179     5000        280.23          112.31          -101.00         719.43          
180     5000        277.17          94.39           -101.00         604.07          
181     5000        84.47           81.37           -101.00         486.06          
182     5000        269.91          167.61          -51.00          880.44          
183     5000        374.26          129.03          -101.00         725.10          
184     5000        130.61          113.46          -101.00         588.07          
185     5000        378.11          93.28           -51.00          699.05          
186     5000        183.63          149.40          -101.00         549.04          
187     5000        270.62          67.77           -101.00         534.40          
188     5000        190.10          83.83           -101.00         544.06          
189     5000        180.74          98.48           -51.00          549.04          
190     5000        135.04          62.36           -51.00          449.04          
191     5000        474.78          168.61          -0.99           855.75          
192     5000        119.76          90.28           -101.00         449.04          
193     5000        313.97          114.96          -0.99           695.07          
194     5000        324.99          136.34          -101.00         793.75          
195     5000        234.12          112.73          -101.00         646.40          
196     5000        448.46          138.15          -0.99           840.08          
197     5000        371.45          143.06          -0.99           792.10          
198     5000        297.19          107.18          -51.00          682.09          
199     5000        284.98          156.65          -51.00          789.43          

Time elapsed: 17269.1634 seconds
