environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: CMA_ES
	population_size: 5000
	sigma: 1.0
	checkpoint_frequency: 10
	hof_size: 10
	mu: 50
	fix_seed_for_generation: True
brain
	type: CTRNN
	number_neurons: 15
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 2
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	parameter_perturbations: 0.0
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: random
	v_mask_param: 0.1
	t_mask: logarithmic
	t_mask_param: 4
episode_runner
	number_fitness_runs: 3
	reuse_env: True
	max_steps_per_run: 100
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr
		screen_size: 16

Genome Size: 1251
Inputs: Box(0.0, 1.0, (16, 16, 3), float16)
Outputs: Discrete(15)
Commit: 37f9195b36be8e79451c091c6b58304298216dfb


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       5000        -30.79          78.92           -101.00         299.03          
1       5000        -71.81          54.34           -101.00         149.02          
2       5000        -33.11          76.34           -101.00         349.03          
3       5000        -20.75          85.81           -101.00         349.03          
4       5000        -14.76          108.07          -101.00         399.03          
5       5000        -48.14          52.64           -101.00         349.03          
6       5000        -33.53          58.76           -101.00         299.03          
7       5000        48.90           86.24           -101.00         359.05          
8       5000        -40.60          45.31           -101.00         199.02          
9       5000        9.42            75.21           -101.00         349.03          
10      5000        -17.48          83.33           -101.00         399.03          
11      5000        -14.10          53.40           -101.00         250.04          
12      5000        1.60            76.55           -101.00         396.05          
13      5000        57.08           170.82          -101.00         596.73          
14      5000        22.13           76.71           -101.00         399.03          
15      5000        -31.68          85.93           -101.00         449.04          
16      5000        48.54           67.36           -101.00         449.04          
17      5000        49.47           81.14           -101.00         349.03          
18      5000        23.18           83.06           -101.00         399.03          
19      5000        104.29          76.91           -101.00         399.03          
20      5000        -31.09          85.63           -101.00         349.03          
21      5000        -23.56          62.56           -101.00         399.03          
22      5000        163.74          120.20          -101.00         700.74          
23      5000        98.89           95.08           -101.00         447.39          
24      5000        90.50           100.38          -101.00         449.04          
25      5000        54.24           121.91          -101.00         798.10          
26      5000        30.78           88.33           -101.00         547.73          
27      5000        34.28           104.11          -101.00         545.40          
28      5000        -35.57          76.36           -101.00         394.72          
29      5000        75.11           104.43          -101.00         549.04          
30      5000        81.10           96.15           -101.00         449.04          
31      5000        -0.51           70.64           -101.00         349.03          
32      5000        59.36           99.72           -101.00         692.43          
33      5000        100.55          77.73           -101.00         395.39          
34      5000        93.10           117.63          -101.00         593.73          
35      5000        143.45          142.96          -101.00         504.06          
36      5000        91.49           121.41          -101.00         549.04          
37      5000        232.18          139.53          -101.00         655.40          
38      5000        28.44           99.68           -101.00         603.73          
39      5000        54.43           112.24          -101.00         552.06          
40      5000        239.04          135.60          -101.00         678.76          
41      5000        80.52           122.99          -101.00         607.42          
42      5000        106.64          133.72          -101.00         699.05          
43      5000        129.13          69.88           -51.00          499.04          
44      5000        168.22          138.89          -101.00         771.43          
45      5000        102.15          99.64           -101.00         499.04          
46      5000        176.22          139.21          -101.00         742.41          
47      5000        178.31          87.72           -101.00         499.04          
48      5000        71.13           89.55           -101.00         449.04          
49      5000        130.56          147.18          -101.00         599.05          
50      5000        119.67          120.34          -101.00         499.04          
51      5000        71.89           97.88           -101.00         599.05          
52      5000        59.15           104.19          -101.00         634.74          
53      5000        265.05          154.35          -101.00         794.41          
54      5000        151.77          112.52          -101.00         636.74          
55      5000        214.74          111.98          -51.00          639.40          
56      5000        88.99           109.32          -101.00         499.04          
57      5000        112.12          106.35          -101.00         599.05          
58      5000        179.58          112.81          -51.00          649.05          
59      5000        202.63          133.33          -101.00         699.05          
60      5000        29.56           89.64           -101.00         442.06          
61      5000        234.07          132.13          -101.00         598.40          
62      5000        105.81          109.10          -101.00         549.40          
63      5000        213.11          121.05          -101.00         649.05          
64      5000        181.73          86.34           -101.00         499.39          
65      5000        282.22          124.12          -101.00         799.06          
66      5000        267.05          114.03          -101.00         632.76          
67      5000        184.73          133.91          -101.00         741.76          
68      5000        136.22          97.16           -101.00         499.04          
69      5000        196.44          147.96          -51.00          649.05          
70      5000        140.71          119.07          -101.00         643.07          
71      5000        196.16          77.21           -51.00          599.05          
72      5000        420.18          142.53          49.01           734.08          
73      5000        203.33          125.55          -101.00         749.06          
74      5000        314.87          202.13          -101.00         829.10          
75      5000        334.73          142.88          -101.00         688.09          
76      5000        66.73           75.69           -101.00         399.03          
77      5000        226.90          123.11          -101.00         734.74          
78      5000        338.66          136.17          -101.00         692.07          
79      5000        141.88          104.61          -101.00         549.04          
80      5000        205.36          144.46          -101.00         649.05          
81      5000        203.71          120.80          -51.00          735.74          
82      5000        203.58          123.47          -101.00         599.05          
83      5000        236.98          137.42          -51.00          692.41          
84      5000        279.47          126.93          -101.00         693.07          
85      5000        175.42          148.29          -101.00         681.43          
86      5000        196.40          141.58          -101.00         682.76          
87      5000        406.71          158.26          -51.00          749.06          
88      5000        310.38          111.18          -101.00         649.05          
89      5000        249.08          117.23          -101.00         736.08          
90      5000        324.95          163.01          -101.00         842.77          
91      5000        100.69          133.90          -101.00         778.43          
92      5000        238.35          141.14          -101.00         692.41          
93      5000        96.40           101.37          -101.00         488.39          
94      5000        309.92          135.51          -101.00         770.77          
