environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: CMA_ES
	population_size: 5000
	sigma: 1.0
	checkpoint_frequency: 10
	hof_size: 10
	mu: 50
	fix_seed_for_generation: True
brain
	type: CTRNN
	number_neurons: 50
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 2
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	parameter_perturbations: 0.0
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: random
	v_mask_param: 0.1
	t_mask: logarithmic
	t_mask_param: 4
episode_runner
	number_fitness_runs: 3
	reuse_env: True
	max_steps_per_run: 100
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr
		screen_size: 16

Genome Size: 4230
Inputs: Box(0.0, 1.0, (16, 16, 3), float16)
Outputs: Discrete(15)
Commit: a4ef5dbe9ca978b23e60e079ea2080a180ee83d3


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       5000        -53.82          56.65           -101.00         299.03          
1       5000        -81.24          34.67           -101.00         149.02          
2       5000        -48.24          58.24           -101.00         349.03          
3       5000        -43.33          56.56           -101.00         305.05          
4       5000        2.88            88.18           -101.00         399.03          
5       5000        -25.40          110.16          -101.00         349.03          
6       5000        -6.06           84.82           -101.00         357.05          
7       5000        36.19           127.08          -101.00         484.39          
8       5000        -39.01          75.12           -101.00         299.03          
9       5000        -21.04          91.04           -101.00         308.71          
10      5000        14.41           109.29          -101.00         456.06          
11      5000        16.82           71.35           -101.00         445.06          
12      5000        12.81           62.83           -101.00         299.03          
13      5000        -53.81          34.42           -101.00         149.37          
14      5000        111.26          118.49          -101.00         454.39          
15      5000        12.78           79.72           -101.00         399.03          
16      5000        71.05           134.91          -101.00         591.40          
17      5000        32.04           71.20           -101.00         299.03          
18      5000        44.79           64.75           -101.00         399.03          
19      5000        160.96          124.62          -101.00         600.73          
20      5000        -13.68          79.08           -101.00         399.03          
21      5000        22.74           82.03           -101.00         448.39          
22      5000        136.56          97.81           -101.00         535.73          
23      5000        -30.06          62.06           -101.00         399.03          
24      5000        108.89          87.00           -101.00         489.39          
25      5000        6.04            60.50           -101.00         299.03          
26      5000        23.41           76.14           -101.00         349.03          
27      5000        14.58           84.60           -101.00         399.03          
28      5000        88.58           101.98          -101.00         554.73          
29      5000        66.86           81.80           -101.00         433.06          
30      5000        10.37           67.55           -101.00         299.03          
31      5000        166.69          138.43          -101.00         649.05          
32      5000        17.30           81.30           -101.00         449.04          
33      5000        12.93           85.55           -101.00         356.05          
34      5000        122.22          108.76          -101.00         639.09          
35      5000        141.93          107.10          -101.00         555.06          
36      5000        159.73          120.41          -101.00         787.75          
37      5000        135.55          75.35           -101.00         498.06          
38      5000        155.15          104.10          -101.00         750.74          
39      5000        191.44          129.02          -101.00         643.40          
40      5000        105.58          72.49           -101.00         435.72          
41      5000        15.41           58.38           -101.00         349.03          
42      5000        111.37          101.31          -101.00         510.39          
43      5000        171.64          123.13          -101.00         549.04          
44      5000        85.23           86.73           -101.00         399.03          
45      5000        123.78          107.72          -101.00         550.40          
46      5000        146.55          100.19          -101.00         549.04          
47      5000        159.52          116.43          -51.00          644.40          
48      5000        94.83           73.28           -101.00         434.06          
49      5000        243.36          138.56          -101.00         699.43          
50      5000        122.08          90.26           -101.00         672.43          
51      5000        26.94           104.49          -101.00         500.39          
52      5000        182.89          106.07          -101.00         583.73          
53      5000        62.33           74.21           -101.00         499.04          
54      5000        51.48           99.30           -101.00         399.03          
55      5000        274.43          151.64          -101.00         851.10          
56      5000        248.54          107.67          -51.00          743.76          
57      5000        93.50           83.28           -101.00         599.05          
58      5000        201.01          80.60           -51.00          499.04          
59      5000        90.29           64.19           -51.00          499.04          
60      5000        139.75          59.60           -101.00         492.73          
61      5000        227.17          115.46          -51.00          599.05          
62      5000        274.32          101.46          -101.00         649.05          
63      5000        199.70          105.54          -51.00          549.04          
64      5000        79.91           86.38           -101.00         399.03          
65      5000        218.84          118.59          -0.99           596.40          
66      5000        272.37          106.41          -101.00         749.06          
67      5000        176.18          126.18          -101.00         649.05          
68      5000        228.33          77.31           -0.99           587.40          
69      5000        247.91          115.27          -51.00          836.12          
70      5000        116.12          87.11           -101.00         449.04          
71      5000        177.16          105.39          -51.00          549.04          
72      5000        214.95          70.73           -51.00          500.73          
73      5000        106.22          137.09          -51.00          641.74          
74      5000        11.97           87.05           -101.00         399.03          
75      5000        357.11          77.12           -0.99           657.40          
76      5000        72.56           88.75           -101.00         499.04          
77      5000        52.94           120.83          -101.00         584.73          
78      5000        330.45          109.34          -0.99           649.05          
79      5000        197.54          134.58          -101.00         683.74          
80      5000        271.89          121.45          -0.99           742.41          
81      5000        184.95          77.72           -51.00          599.05          
82      5000        73.31           82.20           -51.00          489.39          
83      5000        279.32          118.86          -101.00         650.74          
84      5000        53.50           91.76           -101.00         449.04          
85      5000        172.76          132.40          -101.00         649.74          
86      5000        196.92          116.55          -0.99           630.42          
87      5000        7.98            71.68           -101.00         449.04          
88      5000        137.21          99.34           -51.00          637.40          
89      5000        233.26          110.62          -0.99           699.05          
90      5000        220.54          90.10           -51.00          599.05          
91      5000        222.20          159.97          -101.00         884.77          
92      5000        265.58          117.70          -51.00          733.10          
93      5000        188.38          100.84          -51.00          605.07          
94      5000        170.93          121.08          -101.00         741.41          
95      5000        204.32          115.95          -101.00         641.09          
96      5000        259.90          160.57          -51.00          795.08          
97      5000        167.37          117.23          -101.00         742.45          
98      5000        118.59          151.28          -51.00          785.43          
99      5000        221.35          98.10           -51.00          591.09          
100     5000        72.51           82.45           -101.00         433.72          
101     5000        381.14          122.03          -0.99           839.10          
102     5000        240.45          106.84          -51.00          599.05          
103     5000        148.06          92.38           -51.00          549.04          
104     5000        374.00          111.76          -0.99           741.08          
105     5000        252.24          117.35          -101.00         682.76          
106     5000        330.43          132.45          -51.00          814.12          
107     5000        246.57          99.49           -0.99           685.07          
108     5000        193.99          155.69          -51.00          799.06          
109     5000        255.82          105.21          -0.99           693.74          
110     5000        83.78           89.93           -101.00         392.72          
111     5000        229.04          102.18          -0.99           649.05          
112     5000        177.63          114.18          -51.00          596.73          
113     5000        161.59          73.73           -0.99           549.40          
114     5000        176.25          119.89          -101.00         599.05          
115     5000        69.12           117.57          -101.00         549.04          
116     5000        264.61          121.64          -51.00          646.78          
117     5000        172.18          108.42          -101.00         649.05          
118     5000        321.54          137.88          -51.00          817.46          
119     5000        205.05          89.90           -101.00         584.07          
120     5000        369.96          163.77          -51.00          844.46          
121     5000        119.41          119.41          -51.00          746.43          
122     5000        175.08          71.30           -101.00         543.40          
123     5000        152.24          113.76          -51.00          599.05          
124     5000        105.95          104.42          -101.00         582.40          
125     5000        125.19          75.13           -101.00         407.05          
126     5000        276.31          110.28          -101.00         647.07          
127     5000        164.77          112.74          -101.00         733.41          
128     5000        284.17          123.09          -101.00         700.07          
129     5000        266.71          96.94           -51.00          649.05          
130     5000        106.76          110.36          -101.00         518.42          
131     5000        180.69          134.71          -101.00         593.40          
132     5000        285.86          143.75          -51.00          700.41          
133     5000        232.96          95.38           -51.00          679.76          
134     5000        256.24          134.48          -101.00         686.07          
135     5000        296.21          113.77          -51.00          647.74          
136     5000        221.46          113.81          -101.00         649.05          
137     5000        147.40          106.64          -101.00         688.41          
138     5000        296.04          124.88          -51.00          792.41          
139     5000        240.90          103.28          -51.00          677.43          
140     5000        366.33          125.13          49.01           795.10          
141     5000        252.62          130.19          -101.00         699.05          
142     5000        135.40          140.99          -101.00         548.08          
143     5000        502.09          156.41          -101.00         851.79          
144     5000        169.03          129.54          -101.00         731.76          
145     5000        242.47          123.33          -101.00         640.07          
146     5000        216.74          117.49          -51.00          649.05          
147     5000        282.90          105.90          -0.99           649.05          
148     5000        369.01          142.01          -51.00          761.78          
149     5000        264.53          123.16          -51.00          736.08          
150     5000        256.46          90.03           -51.00          537.40          
151     5000        376.29          89.52           -0.99           799.06          
152     5000        281.44          95.14           -51.00          649.74          
153     5000        152.28          74.42           -51.00          449.04          
154     5000        180.10          90.74           -101.00         499.04          
155     5000        258.83          100.42          -51.00          645.74          
156     5000        243.18          133.07          -51.00          699.41          
157     5000        129.76          96.04           -101.00         495.73          
158     5000        176.86          110.55          -101.00         647.40          
159     5000        264.29          75.36           49.01           649.05          
160     5000        373.70          120.54          -0.99           735.12          
161     5000        306.30          103.41          -51.00          594.09          
162     5000        392.29          110.48          -101.00         698.07          
163     5000        287.48          185.02          -101.00         719.10          
164     5000        126.43          84.92           -101.00         499.04          
165     5000        364.66          144.85          -51.00          842.08          
166     5000        228.31          103.04          -51.00          682.76          
167     5000        112.23          96.11           -101.00         549.04          
168     5000        294.72          106.51          -0.99           699.07          
169     5000        310.23          112.81          -0.99           641.07          
170     5000        214.00          105.45          -51.00          587.73          
171     5000        201.82          85.60           -0.99           497.06          
172     5000        219.71          116.32          -0.99           535.06          
173     5000        28.62           52.86           -101.00         432.08          
174     5000        56.10           105.01          -101.00         399.03          
175     5000        135.64          146.95          -51.00          788.43          
176     5000        206.27          81.48           -0.99           629.09          
177     5000        273.49          121.55          -51.00          736.78          
178     5000        174.97          123.83          -51.00          639.74          
179     5000        138.44          61.85           -101.00         453.06          
180     5000        294.97          107.14          -101.00         684.41          
181     5000        192.85          121.15          -101.00         705.74          
182     5000        389.98          104.20          -0.99           702.07          
183     5000        265.80          102.04          -0.99           599.05          
184     5000        132.64          105.59          -101.00         528.08          
185     5000        222.61          132.76          -101.00         637.76          
186     5000        346.69          120.83          -51.00          697.07          
187     5000        270.18          107.17          -51.00          735.43          
188     5000        259.59          121.99          -51.00          682.41          
189     5000        319.52          115.62          -51.00          648.09          
190     5000        281.19          99.28           -0.99           638.07          
191     5000        212.05          125.14          -101.00         719.43          
192     5000        341.52          132.07          -0.99           793.41          
193     5000        263.13          104.23          -51.00          739.43          
194     5000        407.63          123.28          49.01           809.43          
195     5000        294.08          122.13          -101.00         649.05          
196     5000        177.79          133.46          -101.00         636.42          
197     5000        504.63          145.15          -101.00         845.12          
198     5000        180.17          123.96          -101.00         738.43          
199     5000        274.74          117.13          -101.00         741.08          

Time elapsed: 16477.3360 seconds
