environment: procgen:procgen-heist-v0
random_seed: -1
number_generations: 200
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 0
	mu: 10
	extra_from_hof: 1
	lambda_: 500
	mutpb: 0.8
	efficiency_weight: 0.0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
	validation_number_runs: 10
brain
	type: CNN_CTRNN
	normalize_input: False
	normalize_input_target: 0.0
	use_bias: False
	cnn_conf
		type: CNN
		normalize_input: False
		normalize_input_target: 0.0
		use_bias: False
		conv_size1: 5
		conv_feat1: 5
		maxp_size1: 4
		maxp_stride1: 4
		conv_size2: 5
		conv_feat2: 5
		maxp_size2: 4
		maxp_stride2: 1
	ctrnn_conf
		type: CTRNN
		number_neurons: 15
		neuron_activation: relu
		use_bias: True
		delta_t: 0.05
		normalize_input: False
		normalize_input_target: 2
		optimize_state_boundaries: global
		clipping_range_max: 1.0
		clipping_range_min: -1.0
		optimize_initial_neuron_state: False
		set_principle_diagonal_elements_of_W_negative: False
		parameter_perturbations: 0.0
		w_mask: logarithmic
		w_mask_param: 8
		v_mask: logarithmic
		v_mask_param: 8
		t_mask: logarithmic
		t_mask_param: 4
episode_runner
	number_fitness_runs: 5
	reuse_env: True
	keep_env_seed_fixed_during_generation: True
	environment_attributes
		type: ProcGenAttr

Genome Size: 2337
Inputs: Box(0.0, 1.0, (64, 64, 3), float16)
Outputs: Discrete(15)
Commit: d1103ccd4c8d282d946f706e363b2871f8516cd2


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       510         -925.76         70.59           -1000.00        -669.98         
1       510         -885.09         166.19          -1000.00        -291.15         
2       510         -792.69         30.17           -940.00         -699.98         
3       510         -845.17         59.01           -1000.00        -699.98         
4       510         -822.28         28.92           -909.99         -669.98         
5       510         -867.47         59.55           -940.00         -523.57         
6       510         -834.37         64.99           -940.00         -531.77         
7       510         -468.70         92.33           -759.98         -121.74         
8       510         -758.55         87.89           -1000.00        -437.36         
9       510         -513.61         66.60           -789.99         -393.16         
10      510         -921.23         52.33           -970.00         -669.98         
11      510         -791.93         70.63           -940.00         -459.96         
12      510         -839.58         45.74           -1000.00        -669.98         
13      510         -857.52         70.27           -940.00         -236.35         
14      510         -791.00         51.67           -940.00         -404.56         
15      510         -668.11         124.42          -940.00         -277.35         
16      510         -797.79         85.30           -940.00         -478.36         
17      510         -835.84         81.48           -970.00         -323.35         
18      510         -738.08         106.04          -909.99         -286.34         
19      510         -839.52         35.05           -940.00         -729.98         
20      510         -639.04         143.79          -879.99         -187.74         
21      510         -719.46         144.29          -1000.00        -143.34         
22      510         -797.57         64.90           -1000.00        -579.97         
23      510         -874.22         63.77           -970.00         -437.36         
24      510         -801.21         62.87           -940.00         -464.96         
25      510         -718.89         82.75           -879.99         -400.96         
26      510         -778.77         79.46           -940.00         -396.16         
27      510         -812.99         60.02           -940.00         -609.97         
28      510         -764.32         145.76          -970.00         -290.15         
29      510         -791.96         136.41          -1000.00        -143.14         
30      510         -666.42         126.43          -909.99         -195.54         
31      510         -696.49         137.60          -970.00         -368.36         
32      510         -678.53         133.43          -940.00         -278.75         
33      510         -777.12         109.18          -970.00         -404.16         
34      510         -774.77         88.67           -909.99         -330.35         
35      510         -727.75         87.17           -970.00         -519.97         
