environment: Reacher-v2
random_seed: 0
number_generations: 300
optimizer
	type: CMA_ES
	population_size: 200
	sigma: 1.0
	checkpoint_frequency: 10
brain
	type: LSTM_NumPy
	normalize_input: False
	normalize_input_target: 2
	lstm_num_layers: 10
	use_biases: True
episode_runner
	type: Memory
	number_fitness_runs: 50
	reuse_env: True
	observation_frames: 20
	memory_frames: 20
	action_frames: 50
	observation_mask: [4, 5, 8, 9, 10]

Genome Size: 552
Inputs: Box(11,)
Outputs: 2

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -21.88          13.54           -72.95          -8.80           
1       200         -16.62          9.87            -66.17          -8.61           
2       200         -14.50          8.33            -92.58          -9.01           
3       200         -13.47          6.04            -46.63          -8.66           
4       200         -12.86          5.90            -46.21          -8.75           
5       200         -11.97          4.42            -41.93          -8.39           
6       200         -11.97          4.69            -44.16          -8.75           
7       200         -12.16          5.41            -45.45          -8.64           
8       200         -11.76          3.69            -28.33          -8.80           
9       200         -12.07          4.84            -37.87          -8.45           
10      200         -12.55          4.97            -37.91          -9.01           
11      200         -12.20          5.48            -45.93          -8.18           
12      200         -11.85          4.25            -39.27          -8.88           
13      200         -11.61          3.52            -42.19          -8.71           
14      200         -11.88          4.24            -36.77          -8.68           
15      200         -12.00          5.02            -51.43          -8.75           
16      200         -11.39          3.86            -44.72          -8.56           
17      200         -11.36          3.22            -30.46          -8.66           
18      200         -11.04          2.28            -27.12          -8.76           
19      200         -11.23          3.79            -38.53          -8.83           
20      200         -11.43          3.45            -38.15          -8.61           
21      200         -11.30          4.03            -46.94          -8.40           
22      200         -11.11          2.84            -39.39          -8.69           
23      200         -11.18          3.21            -44.47          -8.49           
24      200         -11.18          2.64            -25.54          -8.28           
25      200         -11.55          3.66            -32.72          -8.34           
26      200         -11.17          2.80            -31.08          -8.92           
27      200         -11.50          3.41            -32.55          -8.60           
28      200         -11.17          2.58            -26.40          -8.59           
29      200         -10.99          2.63            -35.90          -8.39           
30      200         -11.00          2.33            -24.29          -8.24           
31      200         -11.09          3.07            -38.82          -8.44           
32      200         -11.32          3.34            -34.77          -8.72           
33      200         -11.10          2.45            -24.14          -8.80           
34      200         -10.90          2.76            -34.86          -8.71           
35      200         -11.02          2.45            -26.99          -8.68           
36      200         -11.38          3.02            -29.77          -8.49           
37      200         -11.51          4.25            -41.57          -8.78           
38      200         -10.97          2.13            -21.80          -8.61           
39      200         -11.25          3.85            -43.84          -8.61           
40      200         -11.25          2.62            -25.64          -8.62           
41      200         -11.21          2.44            -25.23          -8.73           
42      200         -10.80          2.07            -25.79          -8.76           
43      200         -11.25          2.61            -29.16          -8.68           
44      200         -11.03          2.24            -26.31          -8.78           
45      200         -10.94          2.34            -28.44          -8.70           
46      200         -11.04          3.03            -39.42          -8.63           
47      200         -11.02          2.61            -30.71          -8.64           
48      200         -11.07          2.30            -24.76          -8.39           
49      200         -10.91          1.82            -24.90          -8.38           
50      200         -11.15          2.21            -20.35          -8.66           
51      200         -11.32          3.17            -32.65          -8.50           
52      200         -10.94          2.61            -32.02          -8.63           
53      200         -10.94          2.26            -26.28          -8.51           
54      200         -11.00          2.19            -26.22          -8.85           
55      200         -11.34          3.20            -31.03          -8.43           
56      200         -11.05          2.57            -29.02          -8.83           
57      200         -11.01          1.93            -20.68          -8.91           
58      200         -11.09          2.52            -26.74          -8.57           
59      200         -11.26          2.96            -31.01          -8.75           
60      200         -11.04          2.31            -27.68          -8.86           
61      200         -11.42          2.71            -27.78          -8.93           
62      200         -11.13          3.25            -38.86          -8.86           
63      200         -11.08          2.30            -25.73          -8.29           
64      200         -11.36          2.79            -27.21          -8.49           
65      200         -11.77          3.25            -28.70          -8.84           
66      200         -11.05          2.29            -23.14          -8.54           
67      200         -11.24          3.03            -33.29          -8.38           
68      200         -11.33          2.80            -27.62          -8.70           
69      200         -11.54          3.39            -34.26          -8.85           
70      200         -11.23          3.12            -38.44          -8.46           
71      200         -11.25          2.96            -28.80          -8.55           
72      200         -10.89          2.03            -29.89          -8.62           
73      200         -11.07          2.63            -30.96          -8.70           
74      200         -11.10          2.38            -24.65          -8.50           
75      200         -11.35          2.66            -27.36          -8.62           
76      200         -10.98          2.41            -31.18          -8.48           
77      200         -11.33          3.80            -40.66          -8.25           
78      200         -10.93          1.78            -18.79          -8.78           
79      200         -10.91          1.77            -20.27          -8.81           
80      200         -11.25          2.61            -26.39          -8.64           
81      200         -11.17          2.59            -28.83          -8.53           
82      200         -11.13          2.66            -34.81          -8.59           
83      200         -11.26          2.56            -23.65          -8.35           
84      200         -10.88          2.58            -35.41          -8.66           
85      200         -11.28          3.13            -32.70          -8.85           
86      200         -11.10          2.71            -27.93          -8.64           
87      200         -10.87          1.92            -20.64          -8.42           
88      200         -11.04          2.82            -33.33          -8.46           
89      200         -10.75          1.90            -19.41          -8.47           
90      200         -10.65          1.88            -21.73          -8.62           
91      200         -11.01          2.46            -25.36          -8.61           
92      200         -10.74          1.62            -20.51          -8.46           
93      200         -10.75          1.50            -16.45          -8.71           
94      200         -10.94          2.16            -23.43          -8.52           
95      200         -10.64          1.40            -18.76          -8.73           
96      200         -11.02          3.70            -55.39          -8.36           
97      200         -10.65          2.00            -26.03          -8.56           
98      200         -10.92          2.09            -25.20          -8.38           
99      200         -11.05          2.35            -29.88          -8.81           
100     200         -10.50          1.53            -21.29          -8.76           
101     200         -10.76          2.40            -37.18          -8.61           
102     200         -10.63          2.03            -24.74          -8.80           
103     200         -10.87          2.33            -27.35          -8.61           
104     200         -10.55          1.51            -17.35          -8.62           
105     200         -10.70          1.94            -21.66          -8.64           
106     200         -10.60          1.81            -22.91          -8.30           
107     200         -10.72          1.61            -18.31          -8.67           
108     200         -10.69          1.95            -22.19          -8.48           
109     200         -10.54          1.34            -19.97          -8.67           
110     200         -10.74          1.90            -24.10          -8.55           
111     200         -10.72          1.95            -21.05          -8.55           
112     200         -10.58          1.58            -19.75          -8.23           
113     200         -10.84          2.27            -28.64          -8.68           
114     200         -10.60          1.60            -20.58          -8.01           
115     200         -10.76          1.98            -21.41          -8.77           
116     200         -10.34          1.26            -17.56          -8.61           
117     200         -10.43          1.32            -18.40          -8.55           
118     200         -10.65          1.77            -21.28          -8.47           
119     200         -10.67          1.59            -20.40          -8.41           
120     200         -10.77          1.89            -25.43          -8.57           
121     200         -10.65          1.59            -18.25          -8.61           
122     200         -10.73          2.39            -30.94          -8.82           
