environment: Ant-v2
random_seed: 0
number_generations: 1000
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 1
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 5
	mu: 500
	extra_from_hof: 1
	lambda_: 1000
	mutpb: 0.8
	efficiency_weight: 0.0
	fix_seed_for_generation: True
	strategy_parameter_per_gene: False
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 16
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0
	use_autoencoder: False

Genome Size: 615
Inputs: Box(111,)
Outputs: Box(8,)
Commit: 08278fc37e09feb3a068ffb71f26ec7a6f086e51


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1500        -1209.75        1149.61         -3012.27        887.85          
1       1500        -819.84         1097.80         -3021.36        954.08          
2       1500        -646.28         1075.96         -3033.35        976.81          
3       1500        -273.08         1031.58         -3050.41        994.80          
4       1500        336.56          791.75          -2999.29        1021.10         
5       1500        607.31          747.67          -3013.80        1079.10         
6       1500        681.53          752.00          -3024.57        1054.12         
7       1500        712.64          751.73          -3023.87        1029.21         
8       1500        686.85          850.41          -3060.26        1060.82         
9       1500        655.82          890.06          -3033.67        1141.11         
10      1500        720.24          787.72          -3043.36        1130.76         
11      1500        697.85          862.85          -3024.20        1287.41         
12      1500        735.46          812.43          -3015.40        1202.85         
13      1500        744.60          760.92          -3014.51        1246.23         
14      1500        778.75          742.47          -3006.26        1245.66         
15      1500        801.87          702.12          -3008.50        1353.72         
16      1500        827.69          675.69          -2947.70        1240.65         
17      1500        843.11          653.65          -2989.07        1332.58         
18      1500        835.73          680.57          -2995.86        1488.84         
19      1500        849.80          676.06          -3002.36        1389.39         
20      1500        896.05          602.10          -2990.45        1335.04         
21      1500        869.58          686.31          -2996.02        1386.03         
22      1500        913.07          643.05          -2968.69        1443.08         
23      1500        954.36          567.25          -2981.76        1453.68         
24      1500        973.59          558.84          -2983.01        1494.64         
25      1500        1029.95         472.98          -2938.81        1473.84         
26      1500        1025.76         545.13          -2969.55        1470.76         
27      1500        1020.28         589.27          -2971.29        1532.73         
28      1500        1031.84         599.58          -2997.22        1553.90         
29      1500        1021.30         602.00          -2995.82        1539.14         
30      1500        1039.46         638.45          -3003.54        1517.95         
31      1500        1040.89         653.34          -3001.08        1559.18         
32      1500        1053.57         623.10          -2997.32        1551.76         
33      1500        1113.26         550.07          -2996.81        1616.06         
34      1500        1116.22         569.98          -2979.77        1609.08         
35      1500        1126.89         544.24          -2893.35        1610.54         
36      1500        1143.04         558.01          -2992.28        1610.88         
37      1500        1149.51         555.18          -2978.43        1621.11         
38      1500        1155.79         607.87          -3001.22        1652.84         
39      1500        1197.59         553.31          -2964.27        1653.88         
40      1500        1223.97         598.38          -2996.78        1657.81         
41      1500        1276.77         554.08          -2986.94        1700.92         
42      1500        1314.94         539.75          -2983.48        1710.60         
43      1500        1334.90         508.71          -2828.84        1716.37         
44      1500        1295.85         543.46          -2990.20        1722.14         
45      1500        1359.26         457.88          -2969.33        1710.26         
46      1500        1326.39         513.02          -2999.72        1738.91         
47      1500        1368.28         494.56          -2970.16        1744.01         
48      1500        1414.74         447.64          -2991.74        1751.21         
49      1500        1412.11         471.92          -2955.09        1753.72         
50      1500        1431.54         487.22          -2978.26        1745.88         
51      1500        1485.96         430.85          -2736.04        1776.63         
52      1500        1514.07         394.60          -2814.40        1786.57         
53      1500        1544.22         330.20          -2519.54        1796.39         
54      1500        1545.67         385.70          -2935.14        1782.81         
55      1500        1607.50         267.27          -1537.81        1803.70         
56      1500        1619.28         262.14          -1305.85        1831.38         
57      1500        1649.10         252.52          -1113.02        1824.61         
58      1500        1652.94         258.48          -1220.70        1852.27         
59      1500        1669.02         240.05          -1561.17        1840.88         
60      1500        1675.08         241.26          -969.07         1830.78         
61      1500        1682.26         232.00          -693.76         1845.05         
62      1500        1676.82         237.32          -806.52         1858.82         
63      1500        1678.16         253.88          -957.67         1844.83         
64      1500        1693.69         248.02          -1045.69        1852.32         
65      1500        1695.73         259.62          -1075.16        1865.83         
66      1500        1699.89         266.11          -1168.47        1860.69         
67      1500        1710.47         241.13          -1606.89        1886.33         
68      1500        1709.51         249.15          -1169.83        1908.14         
69      1500        1705.33         281.26          -742.96         1895.39         
70      1500        1708.15         268.42          -997.80         1904.56         
71      1500        1719.84         261.05          -1089.97        1886.67         
72      1500        1733.49         227.26          -574.58         1910.86         
73      1500        1725.88         246.66          -697.13         1906.45         
74      1500        1732.81         264.13          -923.58         1912.15         
75      1500        1745.53         221.54          -1044.96        1907.78         
76      1500        1741.30         233.41          -761.16         1917.31         
77      1500        1751.10         240.11          -1335.55        1912.06         
78      1500        1749.57         238.50          -724.55         1911.61         
79      1500        1754.05         234.50          -503.55         1924.98         
80      1500        1745.84         262.13          -820.89         1930.23         
81      1500        1769.15         240.45          -696.44         1937.08         
82      1500        1764.26         270.65          -419.40         1960.89         
83      1500        1776.63         239.74          -601.30         1934.47         
84      1500        1791.30         203.69          -117.69         1938.78         
85      1500        1775.55         254.01          -948.86         1951.79         
86      1500        1775.32         264.75          -864.31         1960.64         
87      1500        1786.70         224.33          -126.15         1966.60         
88      1500        1793.60         219.57          -54.01          1945.61         
89      1500        1785.42         242.49          -700.54         1966.11         
90      1500        1785.62         243.24          -1288.26        1953.22         
91      1500        1791.55         227.07          -406.08         1965.01         
92      1500        1787.87         255.27          -977.71         1953.20         
93      1500        1799.18         229.04          -803.27         1956.71         
94      1500        1787.63         247.52          -1023.16        1959.60         
95      1500        1788.65         266.88          -1337.71        1966.70         
96      1500        1797.21         213.60          -549.01         1942.43         
97      1500        1796.19         249.17          -854.27         1974.82         
98      1500        1799.62         264.48          -1201.76        1967.35         
99      1500        1802.99         245.68          -1011.36        1977.92         
100     1500        1807.96         249.57          -1015.47        1988.51         
101     1500        1808.54         289.73          -1282.05        1970.62         
102     1500        1808.68         289.75          -1305.26        1995.86         
103     1500        1828.39         234.50          -962.22         1982.60         
104     1500        1830.18         243.82          -944.17         2002.54         
105     1500        1830.66         233.86          -770.39         2016.84         
106     1500        1823.76         262.93          -836.82         2032.85         
107     1500        1834.71         229.41          2.72            1985.16         
108     1500        1841.08         227.89          -936.44         2013.72         
109     1500        1840.13         233.21          -799.83         2009.29         
110     1500        1839.84         237.05          -946.58         2020.85         
111     1500        1829.32         276.90          -990.53         1996.64         
112     1500        1839.57         245.05          -993.57         2020.14         
113     1500        1837.36         262.15          -1427.90        2003.28         
114     1500        1852.15         190.71          -443.25         2055.17         
115     1500        1832.89         256.30          -684.87         1996.97         
116     1500        1834.15         263.17          -802.44         1999.51         
117     1500        1833.89         271.24          -961.01         2004.51         
118     1500        1844.75         231.44          -729.54         2000.93         
119     1500        1846.58         223.51          -1322.80        2021.48         
120     1500        1829.19         285.56          -1070.81        2005.07         
121     1500        1849.81         238.25          -585.41         2001.87         
122     1500        1842.21         244.30          -376.19         2030.53         
123     1500        1836.05         275.16          -958.61         2020.27         
124     1500        1842.76         282.15          -1134.94        2012.28         
125     1500        1849.06         262.99          -1050.23        2011.86         
126     1500        1846.36         251.30          -822.36         2015.84         
127     1500        1853.60         199.83          -322.29         2012.32         
128     1500        1861.64         200.34          -281.60         2017.06         
129     1500        1852.37         238.77          -918.39         2006.75         
130     1500        1848.46         237.57          -389.44         2019.84         
131     1500        1865.78         210.29          -850.55         2019.09         
132     1500        1856.81         252.48          -1334.65        2025.99         
133     1500        1852.72         262.35          -1017.44        2025.03         
134     1500        1846.95         286.31          -1128.17        2019.17         
135     1500        1857.96         248.14          -669.30         2028.98         
136     1500        1847.82         280.30          -921.53         2038.86         
137     1500        1849.29         262.09          -487.08         2034.80         
138     1500        1850.30         251.85          -759.20         2018.43         
139     1500        1861.84         262.25          -1069.95        2027.90         
140     1500        1860.08         241.70          -357.05         2060.77         
141     1500        1859.99         250.26          -514.09         2042.78         
142     1500        1860.30         250.63          -702.61         2007.84         
143     1500        1864.13         237.69          -250.73         2046.07         
144     1500        1874.22         193.77          -192.99         2049.73         
145     1500        1862.28         248.24          -512.11         2043.24         
146     1500        1877.88         201.88          -724.80         2051.32         
147     1500        1865.28         243.56          -165.57         2041.02         
148     1500        1860.25         254.74          -648.72         2033.40         
149     1500        1860.96         255.44          -865.65         2018.28         
150     1500        1873.66         214.48          -662.30         2034.40         
151     1500        1869.30         239.39          -776.36         2051.30         
152     1500        1878.07         222.14          -483.74         2064.16         
153     1500        1870.50         244.24          -861.30         2041.66         
154     1500        1865.42         251.25          -650.24         2039.67         
155     1500        1860.51         287.18          -899.23         2029.96         
156     1500        1884.24         221.00          -938.49         2050.66         
157     1500        1872.40         246.40          -742.13         2037.73         
158     1500        1870.81         259.76          -494.93         2049.37         
159     1500        1891.62         192.39          -253.95         2069.03         
160     1500        1883.70         234.81          -712.59         2047.86         
161     1500        1887.20         232.25          -553.46         2054.12         
162     1500        1888.10         231.31          -808.07         2050.88         
163     1500        1884.58         247.41          -1012.88        2037.30         
164     1500        1893.93         227.85          -845.49         2043.04         
165     1500        1889.27         244.01          -880.03         2059.52         
166     1500        1896.07         215.89          -176.36         2047.20         
167     1500        1890.61         231.44          -575.63         2036.89         
168     1500        1892.29         260.48          -770.18         2060.96         
169     1500        1891.68         270.90          -997.53         2049.98         
170     1500        1895.49         239.37          -733.35         2067.41         
171     1500        1891.82         250.64          -709.06         2058.74         
172     1500        1899.00         260.85          -904.02         2058.11         
173     1500        1890.99         258.39          -629.12         2062.42         
174     1500        1898.54         249.61          -706.99         2066.96         
175     1500        1898.60         243.47          -743.18         2052.59         
176     1500        1897.35         259.95          -1328.25        2065.47         
177     1500        1893.37         286.95          -1375.36        2078.11         
178     1500        1908.48         242.08          -614.67         2078.68         
179     1500        1902.49         247.64          -705.54         2053.71         
180     1500        1902.11         243.92          -420.44         2084.97         
181     1500        1882.12         310.17          -850.05         2090.65         
182     1500        1899.07         256.92          -1396.29        2065.16         
183     1500        1897.60         260.27          -483.57         2056.77         
184     1500        1915.65         205.02          -514.29         2084.74         
185     1500        1911.06         259.29          -1144.68        2068.32         
186     1500        1910.37         245.04          -560.61         2086.58         
187     1500        1912.70         225.74          -904.47         2079.68         
188     1500        1916.18         221.50          -845.56         2064.28         
189     1500        1916.24         240.48          -461.01         2101.71         
190     1500        1907.20         250.83          -672.23         2125.51         
191     1500        1922.95         204.88          5.26            2079.60         
192     1500        1919.35         225.51          -377.98         2106.22         
193     1500        1918.09         232.04          -204.30         2086.71         
194     1500        1918.88         228.37          -531.36         2104.59         
195     1500        1921.31         249.95          -1091.97        2124.19         
196     1500        1926.45         245.85          -1407.05        2107.61         
197     1500        1932.64         238.34          -911.40         2121.19         
198     1500        1920.83         255.88          -1034.33        2120.09         
199     1500        1921.75         263.73          -893.03         2109.56         
200     1500        1928.33         270.18          -933.63         2117.81         
201     1500        1941.78         218.55          -826.47         2109.61         
202     1500        1925.19         263.46          -1005.50        2114.73         
203     1500        1946.36         196.39          16.67           2111.28         
204     1500        1940.95         255.52          -1206.99        2157.65         
205     1500        1932.79         293.96          -1263.36        2120.29         
206     1500        1929.07         269.24          -1080.92        2129.97         
207     1500        1930.89         251.56          -523.29         2130.74         
208     1500        1939.91         246.26          -944.51         2136.25         
209     1500        1933.78         244.63          -845.11         2130.24         
210     1500        1949.76         226.62          -247.32         2132.88         
211     1500        1942.86         253.84          -594.19         2132.47         
212     1500        1950.78         244.26          -1133.06        2135.32         
213     1500        1948.41         233.13          -573.74         2133.21         
214     1500        1954.66         208.14          -493.09         2135.93         
215     1500        1946.09         261.87          -917.21         2132.12         
216     1500        1949.09         251.80          -535.97         2127.27         
217     1500        1956.44         230.54          -624.44         2129.98         
218     1500        1956.90         215.83          -738.12         2141.08         
219     1500        1959.67         235.64          -867.81         2142.76         
220     1500        1947.99         251.75          -490.75         2129.29         
221     1500        1946.98         267.18          -881.73         2126.45         
222     1500        1940.55         282.89          -823.87         2129.62         
223     1500        1950.12         261.71          -673.37         2126.45         
224     1500        1950.57         259.09          -971.88         2144.82         
225     1500        1955.14         252.52          -850.58         2161.21         
226     1500        1957.77         240.22          -784.60         2161.09         
227     1500        1964.52         214.75          -220.87         2161.77         
228     1500        1957.19         231.61          -553.24         2127.16         
229     1500        1957.64         239.46          -148.93         2138.12         
230     1500        1951.37         270.71          -837.56         2162.42         
231     1500        1957.10         256.37          -751.46         2138.22         
232     1500        1976.48         207.69          -696.77         2185.44         
233     1500        1967.22         229.13          -463.17         2154.73         
234     1500        1970.15         226.10          -760.94         2145.07         
235     1500        1956.89         271.91          -819.28         2133.51         
236     1500        1960.09         267.68          -950.78         2153.21         
237     1500        1977.30         219.35          -356.65         2156.19         
238     1500        1973.28         232.26          -976.57         2157.46         
239     1500        1973.17         230.37          -307.06         2153.00         
240     1500        1972.55         236.79          -522.65         2178.08         
241     1500        1975.60         237.37          -688.53         2180.36         
242     1500        1970.47         258.39          -868.00         2156.34         
243     1500        1973.42         242.66          -583.02         2152.35         
244     1500        1983.19         218.23          -1091.08        2158.48         
245     1500        1964.53         291.26          -754.12         2147.90         
246     1500        1971.96         257.36          -556.91         2164.63         
247     1500        1988.28         236.52          -851.00         2158.80         
248     1500        1982.70         254.67          -746.26         2189.86         
249     1500        1985.96         218.80          -431.97         2163.84         
250     1500        1978.65         249.58          -870.52         2193.80         
251     1500        1987.21         233.14          -893.38         2157.08         
252     1500        1988.93         230.83          -517.63         2164.58         
253     1500        1980.99         250.53          -715.29         2160.09         
254     1500        1987.07         241.98          -1158.36        2165.11         
255     1500        1981.63         253.54          -665.60         2184.95         
256     1500        1983.82         263.32          -826.30         2179.63         
257     1500        1985.62         248.98          -705.98         2161.34         
258     1500        1991.46         237.06          -585.10         2178.07         
259     1500        1992.46         212.52          -464.03         2173.24         
260     1500        1995.83         247.93          -650.40         2177.25         
261     1500        1987.04         249.62          -415.92         2164.94         
262     1500        1996.13         232.89          -971.86         2170.79         
263     1500        1985.67         271.99          -930.94         2182.40         
264     1500        2000.22         213.73          -305.96         2185.45         
265     1500        1982.76         270.42          -1007.63        2176.52         
266     1500        2000.32         217.63          -197.42         2173.85         
