environment: ReacherMemory-v0
random_seed: -1
number_generations: 2500
optimizer
	type: CMA_ES
	sigma: 1.0
	mu: 25
	population_size: 200
brain
	type: CTRNN
	number_neurons: 8
	neuron_activation: tanh
	use_bias: False
	delta_t: 0.05
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_initial_neuron_state: True
episode_runner
	number_fitness_runs: 25
	environment_attributes
		type: ReacherMemoryAttr
		observation_frames: 20
		memory_frames: 20
		action_frames: 50

Genome Size: 178
Inputs: Box(-inf, inf, (11,), float64)
Outputs: Box(-1.0, 1.0, (2,), float32)
Commit: 43e5040fa224ec4bc80e6f30532d967cc3f8780e


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -61.77          22.53           -102.82         -10.70          
1       200         -59.66          25.84           -105.16         -10.96          
2       200         -59.41          25.19           -105.03         -9.67           
3       200         -57.40          25.80           -105.27         -10.30          
4       200         -51.59          25.18           -102.99         -9.15           
5       200         -51.83          23.52           -99.36          -9.31           
6       200         -52.46          24.00           -104.49         -10.52          
7       200         -52.29          24.83           -105.68         -9.59           
8       200         -48.08          24.19           -103.48         -9.61           
9       200         -44.48          23.05           -104.13         -10.81          
10      200         -44.89          23.75           -105.07         -10.66          
11      200         -42.58          22.68           -98.20          -8.83           
12      200         -39.53          21.11           -101.93         -10.51          
13      200         -41.46          23.13           -102.16         -11.18          
14      200         -37.46          20.43           -94.70          -9.26           
15      200         -36.70          20.89           -92.75          -9.71           
16      200         -36.96          20.06           -85.89          -9.48           
17      200         -36.86          21.96           -99.04          -10.20          
18      200         -38.07          19.35           -93.41          -11.80          
19      200         -36.77          20.11           -95.97          -10.25          
20      200         -37.95          20.63           -94.58          -9.55           
21      200         -35.76          19.91           -93.82          -11.61          
22      200         -32.26          17.20           -88.37          -9.13           
23      200         -35.38          19.51           -87.59          -9.63           
24      200         -35.15          21.18           -97.00          -9.12           
25      200         -38.11          21.10           -88.49          -11.29          
26      200         -35.72          19.50           -95.14          -11.24          
27      200         -36.73          20.53           -99.43          -9.35           
28      200         -37.06          19.78           -87.58          -10.00          
29      200         -38.40          20.51           -104.81         -9.81           
30      200         -40.04          21.99           -98.44          -10.25          
31      200         -38.89          21.52           -96.29          -9.23           
32      200         -33.98          19.55           -96.27          -8.70           
33      200         -38.24          21.11           -101.57         -11.43          
34      200         -35.22          20.87           -98.28          -10.60          
35      200         -35.08          18.99           -82.83          -9.63           
36      200         -35.26          20.23           -105.08         -10.95          
37      200         -37.68          21.23           -98.71          -11.68          
38      200         -34.01          20.45           -90.54          -9.46           
39      200         -37.18          21.59           -95.43          -10.54          
40      200         -39.15          22.06           -99.49          -10.39          
41      200         -35.68          21.74           -103.53         -9.90           
42      200         -38.04          21.33           -94.76          -10.31          
43      200         -34.92          19.55           -91.32          -10.77          
44      200         -35.17          20.58           -103.37         -10.21          
45      200         -35.20          21.71           -101.27         -10.15          
46      200         -30.82          19.07           -88.70          -9.76           
47      200         -32.73          18.40           -89.11          -9.99           
48      200         -34.08          20.45           -103.85         -11.43          
49      200         -30.52          18.62           -93.65          -9.28           
50      200         -34.51          19.83           -97.57          -10.28          
51      200         -29.83          19.05           -98.35          -9.36           
52      200         -34.34          19.92           -95.84          -10.28          
53      200         -33.05          19.79           -102.54         -11.17          
54      200         -32.05          18.06           -95.69          -10.26          
55      200         -29.26          18.10           -92.24          -9.40           
56      200         -31.71          20.10           -94.97          -9.51           
57      200         -31.20          18.40           -87.09          -9.48           
58      200         -36.27          20.43           -95.17          -11.36          
59      200         -32.97          20.20           -105.21         -10.53          
60      200         -33.50          20.27           -105.76         -9.96           
61      200         -29.39          17.89           -92.88          -10.08          
62      200         -30.85          19.36           -88.33          -9.30           
63      200         -30.28          19.06           -89.83          -9.51           
64      200         -26.57          16.19           -80.95          -10.35          
65      200         -27.48          16.68           -87.18          -10.43          
66      200         -29.17          18.17           -88.26          -10.69          
67      200         -30.43          20.08           -101.68         -9.29           
68      200         -28.29          17.89           -91.77          -9.09           
69      200         -27.98          17.25           -92.85          -10.79          
70      200         -30.46          18.28           -87.36          -9.37           
71      200         -29.96          18.70           -90.23          -9.29           
72      200         -29.24          17.59           -85.41          -9.77           
73      200         -32.57          19.42           -100.27         -10.12          
74      200         -32.99          17.69           -94.44          -9.43           
75      200         -35.40          20.80           -100.69         -10.01          
76      200         -32.27          19.98           -97.91          -9.85           
77      200         -33.12          18.89           -87.81          -9.73           
78      200         -28.09          18.70           -103.15         -8.43           
79      200         -29.16          17.00           -82.62          -9.05           
80      200         -28.74          17.44           -92.89          -9.89           
81      200         -30.58          18.13           -102.30         -9.61           
82      200         -27.88          17.67           -82.21          -9.50           
83      200         -31.70          18.99           -89.61          -10.83          
84      200         -32.58          22.28           -95.46          -9.55           
85      200         -31.64          20.98           -90.30          -9.65           
86      200         -29.70          19.76           -100.44         -9.08           
87      200         -29.80          18.29           -87.93          -10.21          
88      200         -31.32          19.25           -96.99          -10.05          
89      200         -32.41          21.53           -103.92         -9.56           
90      200         -29.79          18.74           -96.34          -9.84           
91      200         -30.60          19.13           -94.75          -10.35          
92      200         -31.52          18.69           -96.12          -9.86           
93      200         -28.45          18.73           -100.74         -9.70           
94      200         -26.90          16.15           -85.16          -9.87           
95      200         -28.56          19.46           -99.15          -8.78           
96      200         -28.46          17.92           -86.21          -9.48           
97      200         -30.05          18.92           -88.86          -9.87           
98      200         -28.94          18.72           -89.28          -9.62           
99      200         -28.68          20.61           -97.19          -9.13           
100     200         -26.33          18.19           -96.73          -9.46           
101     200         -30.53          18.46           -88.06          -10.85          
102     200         -29.40          18.38           -93.05          -9.67           
103     200         -26.86          17.14           -94.82          -8.41           
104     200         -27.67          19.02           -99.73          -9.17           
105     200         -24.39          15.51           -83.66          -9.34           
106     200         -24.45          17.05           -91.60          -9.56           
107     200         -27.71          17.25           -84.25          -9.19           
108     200         -24.29          15.88           -84.47          -9.75           
109     200         -27.15          17.44           -97.08          -9.66           
110     200         -22.52          15.19           -84.47          -9.34           
111     200         -24.59          15.30           -87.50          -9.38           
112     200         -25.03          17.29           -90.30          -9.45           
113     200         -28.39          18.89           -95.98          -10.49          
114     200         -24.18          16.38           -85.58          -10.21          
115     200         -24.33          17.64           -98.87          -10.14          
116     200         -23.96          17.49           -92.69          -9.06           
117     200         -23.64          16.53           -98.60          -9.42           
118     200         -26.94          19.17           -106.48         -10.40          
119     200         -26.24          17.24           -78.32          -10.66          
120     200         -24.44          17.25           -100.56         -9.16           
121     200         -25.82          17.11           -93.00          -9.68           
122     200         -24.73          16.74           -100.77         -9.17           
123     200         -23.07          15.63           -97.38          -9.47           
124     200         -22.05          14.94           -72.48          -9.16           
125     200         -21.93          13.46           -73.07          -9.02           
126     200         -23.14          17.89           -90.13          -9.37           
127     200         -21.09          12.79           -76.87          -8.93           
128     200         -23.29          14.92           -87.52          -10.00          
129     200         -22.69          13.54           -79.11          -10.24          
130     200         -24.35          14.76           -82.67          -10.00          
131     200         -23.45          17.26           -89.99          -9.60           
132     200         -24.64          16.71           -87.15          -9.22           
133     200         -21.05          15.11           -81.62          -9.35           
134     200         -23.09          14.76           -80.91          -9.81           
135     200         -20.70          12.79           -93.59          -10.48          
136     200         -19.87          12.57           -82.12          -9.52           
137     200         -19.11          10.36           -66.38          -9.87           
138     200         -18.85          12.91           -89.32          -9.14           
139     200         -21.54          15.43           -89.70          -9.08           
140     200         -24.67          16.39           -79.96          -9.47           
141     200         -19.46          14.94           -94.04          -7.54           
142     200         -20.47          13.90           -82.86          -10.89          
143     200         -19.81          12.46           -69.69          -9.08           
144     200         -20.06          13.53           -77.27          -9.42           
145     200         -19.38          13.21           -81.75          -9.21           
146     200         -21.18          13.93           -74.50          -9.58           
147     200         -19.33          12.36           -89.37          -8.92           
148     200         -20.50          13.91           -86.70          -9.19           
149     200         -20.80          13.91           -83.65          -9.07           
150     200         -21.26          14.38           -89.70          -9.16           
151     200         -24.22          17.08           -90.94          -9.45           
152     200         -19.14          12.59           -74.50          -8.94           
153     200         -20.34          13.23           -82.17          -9.80           
154     200         -20.71          12.84           -62.08          -10.18          
155     200         -20.72          12.86           -75.93          -10.24          
156     200         -21.69          14.07           -76.27          -9.12           
157     200         -20.94          13.20           -82.43          -8.81           
158     200         -19.18          11.26           -68.54          -9.71           
159     200         -19.30          11.70           -73.84          -9.03           
160     200         -18.17          10.65           -62.35          -9.29           
161     200         -16.71          9.45            -62.18          -8.60           
162     200         -17.51          9.88            -67.45          -9.46           
163     200         -18.41          11.94           -75.25          -9.02           
164     200         -18.14          11.37           -65.18          -9.29           
165     200         -18.35          12.29           -89.70          -8.79           
166     200         -19.63          14.96           -91.29          -9.17           
167     200         -20.16          15.12           -86.00          -9.24           
168     200         -16.99          9.62            -76.23          -9.70           
169     200         -18.54          12.01           -67.33          -9.51           
170     200         -17.37          11.04           -63.75          -8.97           
171     200         -18.94          12.39           -62.43          -9.55           
172     200         -16.46          11.38           -82.21          -7.92           
173     200         -17.43          10.82           -69.56          -9.60           
174     200         -17.97          12.24           -79.33          -9.63           
175     200         -17.85          12.38           -86.13          -9.08           
176     200         -16.10          11.54           -73.85          -7.89           
177     200         -16.20          11.88           -95.01          -8.51           
178     200         -15.46          11.03           -75.91          -8.38           
179     200         -18.06          13.13           -88.59          -9.19           
180     200         -17.82          12.93           -90.71          -8.82           
181     200         -16.15          10.85           -69.43          -9.05           
182     200         -17.96          12.39           -77.87          -8.07           
183     200         -17.99          14.04           -89.71          -8.71           
184     200         -20.83          17.22           -82.09          -8.74           
185     200         -18.53          11.20           -69.37          -10.12          
186     200         -17.34          14.07           -105.14         -8.79           
187     200         -15.75          11.83           -67.53          -7.83           
188     200         -17.89          13.01           -82.69          -8.94           
189     200         -18.55          11.15           -72.59          -9.71           
190     200         -15.97          9.77            -62.14          -8.96           
191     200         -18.11          10.70           -69.12          -9.98           
192     200         -19.38          12.66           -73.84          -10.37          
193     200         -17.12          11.61           -65.00          -9.07           
194     200         -19.63          12.72           -101.31         -10.39          
195     200         -15.62          8.51            -68.07          -9.14           
196     200         -15.55          8.23            -58.38          -9.58           
197     200         -15.52          8.76            -58.92          -9.28           
198     200         -15.77          10.13           -65.56          -8.15           
199     200         -14.99          7.76            -69.38          -9.26           
200     200         -15.56          11.43           -80.69          -8.45           
201     200         -17.22          10.45           -81.93          -9.37           
202     200         -16.08          8.94            -65.76          -8.94           
203     200         -15.71          8.05            -51.96          -9.40           
204     200         -16.84          9.94            -75.61          -9.63           
205     200         -16.36          10.70           -77.71          -9.13           
206     200         -15.78          10.49           -88.92          -9.26           
207     200         -15.86          10.54           -87.29          -8.55           
208     200         -16.17          11.21           -90.25          -8.93           
209     200         -16.42          11.19           -93.48          -9.20           
210     200         -15.82          10.67           -74.03          -8.87           
211     200         -17.53          12.39           -106.20         -9.71           
212     200         -15.36          10.74           -75.12          -9.07           
213     200         -14.41          7.57            -70.17          -9.39           
214     200         -16.44          9.89            -89.26          -9.24           
215     200         -15.99          9.55            -71.27          -8.94           
216     200         -15.19          8.31            -60.12          -9.19           
217     200         -16.44          9.90            -83.11          -9.77           
218     200         -14.88          7.17            -48.66          -8.89           
219     200         -17.51          11.48           -70.13          -9.00           
220     200         -15.40          9.16            -61.21          -9.02           
221     200         -16.89          9.55            -59.59          -9.87           
222     200         -16.95          11.51           -77.69          -9.25           
223     200         -18.81          10.78           -77.26          -9.89           
224     200         -16.96          11.36           -62.44          -8.40           
225     200         -18.43          12.16           -87.19          -9.00           
226     200         -21.77          15.23           -88.90          -9.44           
227     200         -20.10          12.23           -62.37          -9.65           
228     200         -18.13          11.58           -67.59          -8.86           
229     200         -17.76          11.63           -72.59          -9.01           
230     200         -18.20          13.17           -67.73          -9.09           
231     200         -19.08          13.00           -64.15          -8.35           
232     200         -16.59          10.85           -67.83          -8.48           
233     200         -17.74          10.35           -74.03          -9.44           
234     200         -17.11          10.83           -78.55          -8.72           
235     200         -17.96          12.18           -76.41          -9.59           
236     200         -19.09          12.52           -66.25          -9.28           
237     200         -21.29          15.29           -78.57          -9.67           
238     200         -20.34          13.96           -87.61          -9.16           
239     200         -21.28          15.86           -74.81          -9.13           
240     200         -18.97          13.31           -78.26          -7.44           
241     200         -21.32          14.34           -70.73          -8.76           
242     200         -21.81          15.22           -92.35          -8.99           
243     200         -23.57          18.34           -84.79          -9.32           
244     200         -24.69          17.74           -85.22          -9.73           
245     200         -24.49          19.53           -100.96         -8.16           
246     200         -25.61          19.49           -82.91          -8.06           
247     200         -24.27          19.19           -97.38          -9.36           
248     200         -22.88          17.07           -82.85          -9.41           
249     200         -22.73          16.47           -88.89          -9.87           
250     200         -22.88          18.03           -90.34          -8.79           
251     200         -24.03          20.28           -93.73          -8.45           
252     200         -25.03          18.64           -92.04          -8.95           
253     200         -23.53          17.22           -83.55          -9.18           
254     200         -21.54          16.02           -88.48          -9.12           
255     200         -22.95          16.20           -83.10          -8.89           
256     200         -23.72          16.61           -87.18          -8.97           
257     200         -24.21          17.04           -74.92          -9.42           
258     200         -20.81          15.40           -80.99          -9.27           
259     200         -20.88          16.42           -88.77          -8.04           
260     200         -20.19          15.49           -88.84          -8.44           
261     200         -20.04          13.44           -75.63          -9.28           
262     200         -18.84          13.53           -77.91          -8.74           
263     200         -19.71          12.70           -77.16          -9.17           
264     200         -20.20          12.59           -61.25          -8.95           
265     200         -21.66          15.32           -89.09          -8.97           
266     200         -22.85          17.07           -90.60          -8.39           
267     200         -23.93          16.39           -88.26          -8.82           
268     200         -20.23          13.29           -84.21          -8.70           
269     200         -22.41          13.53           -70.55          -9.72           
270     200         -23.92          14.74           -69.04          -9.94           
271     200         -22.11          13.47           -65.36          -9.77           
272     200         -21.74          14.42           -65.92          -8.22           
273     200         -22.24          14.06           -70.57          -10.10          
274     200         -23.67          15.58           -78.81          -9.40           
275     200         -23.30          14.48           -72.10          -10.15          
276     200         -19.57          13.14           -68.40          -8.56           
277     200         -20.50          12.52           -63.42          -9.07           
278     200         -20.20          14.57           -78.22          -8.39           
279     200         -20.54          13.69           -78.60          -9.01           
280     200         -19.52          15.14           -95.48          -8.76           
281     200         -21.24          14.38           -66.03          -8.63           
282     200         -24.05          17.63           -81.83          -8.87           
283     200         -22.21          16.40           -88.44          -8.84           
284     200         -21.75          15.47           -83.49          -9.45           
285     200         -23.95          15.76           -73.64          -9.66           
286     200         -20.37          14.01           -77.37          -9.49           
287     200         -21.32          14.96           -86.49          -9.10           
