environment: ReacherMemory-v0
random_seed: 0
number_generations: 2500
optimizer
	type: CMA_ES
	sigma: 1.0
	mu: 25
	population_size: 100
brain
	type: CTRNN
	number_neurons: 2
	neuron_activation: tanh
	use_bias: False
	delta_t: 0.05
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_initial_neuron_state: True
episode_runner
	number_fitness_runs: 25
	environment_attributes
		type: ReacherMemoryAttr
		observation_frames: 20
		memory_frames: 20
		action_frames: 50

Genome Size: 34
Inputs: Box(-inf, inf, (11,), float64)
Outputs: Box(-1.0, 1.0, (2,), float32)
Commit: 43e5040fa224ec4bc80e6f30532d967cc3f8780e


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -36.38          22.68           -100.17         -8.63           
1       100         -41.68          24.05           -102.66         -9.28           
2       100         -40.81          24.89           -101.25         -10.40          
3       100         -33.37          19.98           -91.03          -9.89           
4       100         -32.08          21.76           -96.54          -9.94           
5       100         -33.04          21.03           -90.08          -9.64           
6       100         -32.03          20.33           -93.83          -9.36           
7       100         -34.54          24.63           -105.51         -9.44           
8       100         -30.98          20.99           -103.41         -10.22          
9       100         -34.09          20.07           -91.18          -9.92           
10      100         -32.29          21.78           -94.63          -9.61           
11      100         -27.73          18.50           -88.36          -9.97           
12      100         -30.70          19.82           -80.51          -9.93           
13      100         -31.82          19.59           -89.90          -10.31          
14      100         -28.54          20.50           -91.39          -9.65           
15      100         -28.00          18.71           -81.33          -8.45           
16      100         -29.92          21.43           -101.50         -8.66           
17      100         -29.15          21.48           -101.49         -9.62           
18      100         -32.99          21.13           -96.95          -9.08           
19      100         -29.45          19.38           -103.92         -9.06           
20      100         -29.91          17.85           -84.64          -9.49           
21      100         -27.13          14.47           -69.07          -9.88           
22      100         -30.18          21.04           -93.05          -8.74           
23      100         -27.13          18.41           -99.03          -9.92           
24      100         -20.96          12.85           -63.31          -9.26           
25      100         -20.68          11.38           -60.21          -9.44           
26      100         -17.68          9.93            -57.08          -8.64           
27      100         -23.61          17.63           -97.60          -9.06           
28      100         -21.28          14.52           -79.63          -8.93           
29      100         -22.23          14.87           -65.83          -9.81           
30      100         -18.34          12.43           -86.67          -8.77           
31      100         -19.68          12.15           -77.09          -9.59           
32      100         -16.06          10.67           -76.63          -9.22           
33      100         -15.39          7.66            -45.09          -9.36           
34      100         -15.85          8.39            -56.50          -9.01           
35      100         -17.17          11.10           -85.94          -8.89           
36      100         -15.68          7.46            -49.40          -8.26           
37      100         -15.19          8.98            -65.36          -8.97           
38      100         -14.84          6.43            -36.43          -8.83           
39      100         -15.55          7.54            -42.26          -9.40           
40      100         -15.98          8.25            -48.65          -9.30           
41      100         -15.47          7.22            -46.93          -8.52           
42      100         -14.76          6.98            -44.63          -8.26           
43      100         -15.48          8.24            -57.34          -8.99           
44      100         -13.76          4.98            -30.68          -8.29           
45      100         -13.61          5.41            -40.96          -9.31           
46      100         -13.60          3.92            -27.91          -8.86           
47      100         -14.45          7.14            -58.20          -8.80           
48      100         -14.26          5.37            -40.58          -8.93           
49      100         -14.99          7.30            -53.09          -8.31           
50      100         -15.50          6.34            -42.46          -8.91           
51      100         -14.31          5.17            -32.89          -8.90           
52      100         -13.91          7.00            -61.64          -8.53           
53      100         -15.39          7.57            -46.70          -9.15           
54      100         -15.00          6.69            -44.78          -9.06           
55      100         -14.74          6.52            -40.94          -9.31           
56      100         -15.33          7.61            -52.47          -8.73           
57      100         -14.49          6.52            -46.76          -8.25           
58      100         -14.20          6.75            -41.67          -9.00           
59      100         -13.43          4.86            -37.16          -8.96           
60      100         -14.43          6.81            -41.12          -9.05           
61      100         -14.94          7.79            -60.76          -8.54           
62      100         -14.09          6.24            -46.22          -8.33           
63      100         -14.43          5.64            -36.14          -8.91           
64      100         -15.05          7.44            -44.62          -8.76           
65      100         -12.82          4.11            -35.94          -8.47           
66      100         -12.54          3.79            -28.71          -8.84           
67      100         -12.85          4.45            -34.74          -8.24           
68      100         -12.86          4.39            -33.76          -8.93           
69      100         -12.90          5.19            -33.46          -8.46           
70      100         -13.27          6.48            -53.10          -8.77           
71      100         -13.06          4.06            -28.20          -8.51           
72      100         -12.80          5.21            -40.39          -8.48           
73      100         -13.13          4.87            -33.41          -8.14           
74      100         -13.75          5.58            -39.39          -8.86           
75      100         -12.02          3.92            -37.67          -8.81           
76      100         -12.57          5.08            -40.19          -8.36           
77      100         -12.73          4.31            -32.30          -8.32           
78      100         -14.67          7.44            -52.05          -8.40           
79      100         -13.14          4.75            -32.81          -7.92           
80      100         -13.20          5.38            -44.32          -8.42           
81      100         -12.39          5.05            -36.49          -8.38           
82      100         -11.76          2.69            -24.28          -8.87           
83      100         -12.19          4.02            -31.02          -7.91           
84      100         -12.13          4.00            -38.55          -8.61           
85      100         -12.31          3.45            -23.63          -8.53           
86      100         -11.52          2.81            -23.67          -8.45           
87      100         -11.86          4.18            -34.48          -8.33           
88      100         -11.85          3.14            -30.64          -8.44           
89      100         -11.69          3.85            -40.58          -8.62           
90      100         -11.68          3.22            -27.08          -8.12           
91      100         -12.10          4.09            -37.85          -8.30           
92      100         -12.18          3.43            -24.50          -8.25           
93      100         -11.61          3.07            -27.40          -8.29           
94      100         -11.20          2.45            -20.82          -8.40           
95      100         -11.68          4.06            -34.60          -8.07           
96      100         -11.41          3.04            -25.38          -8.13           
97      100         -11.22          2.43            -20.52          -8.12           
98      100         -11.66          4.59            -37.54          -7.95           
99      100         -10.95          2.44            -21.59          -8.05           
100     100         -11.10          2.58            -22.89          -8.41           
101     100         -10.57          2.10            -23.71          -7.77           
102     100         -11.33          3.91            -44.94          -8.42           
103     100         -11.79          4.39            -34.14          -8.25           
104     100         -10.80          2.35            -24.40          -7.78           
105     100         -12.54          4.65            -28.83          -8.46           
106     100         -11.80          3.08            -22.28          -7.83           
107     100         -11.95          3.29            -24.36          -8.60           
108     100         -11.38          3.23            -33.01          -8.35           
109     100         -11.56          3.40            -24.91          -8.54           
110     100         -11.59          3.92            -26.36          -7.81           
111     100         -10.37          1.90            -19.84          -8.35           
112     100         -10.67          2.55            -23.16          -7.95           
113     100         -10.47          2.24            -25.03          -8.18           
114     100         -10.50          2.53            -24.47          -8.14           
115     100         -10.99          3.15            -28.96          -7.91           
116     100         -11.73          4.09            -38.95          -8.25           
117     100         -10.97          2.26            -19.19          -8.33           
118     100         -10.97          2.49            -21.35          -8.06           
119     100         -12.43          4.47            -32.18          -8.07           
120     100         -11.77          3.97            -32.56          -8.63           
121     100         -10.88          2.13            -20.87          -8.34           
122     100         -10.99          1.96            -21.16          -8.30           
123     100         -11.07          2.30            -20.87          -8.56           
124     100         -10.96          2.79            -27.02          -8.16           
125     100         -10.43          1.46            -18.07          -7.93           
126     100         -10.35          1.42            -15.57          -8.14           
127     100         -10.57          1.85            -19.32          -8.11           
128     100         -10.19          1.92            -21.01          -7.68           
129     100         -10.52          2.22            -23.35          -8.13           
130     100         -11.04          3.52            -26.59          -7.98           
131     100         -10.12          1.14            -13.74          -7.30           
132     100         -10.56          2.17            -21.08          -7.87           
133     100         -10.99          3.87            -36.77          -8.25           
134     100         -10.44          2.09            -20.03          -8.38           
135     100         -10.41          1.98            -18.40          -7.61           
136     100         -10.39          1.81            -20.07          -8.05           
137     100         -10.23          1.37            -17.79          -7.30           
138     100         -10.12          1.57            -16.24          -7.80           
139     100         -10.22          1.58            -17.97          -8.40           
140     100         -10.24          1.90            -18.18          -8.30           
141     100         -9.78           1.09            -14.29          -8.02           
142     100         -10.43          2.68            -29.61          -8.25           
143     100         -10.97          2.76            -20.07          -8.29           
144     100         -10.29          2.05            -20.73          -8.04           
145     100         -10.88          3.30            -31.23          -7.73           
146     100         -10.05          1.72            -18.06          -8.06           
147     100         -10.31          1.98            -20.59          -7.74           
148     100         -10.69          3.05            -26.43          -7.25           
149     100         -10.61          2.74            -27.61          -7.81           
150     100         -10.37          2.22            -19.91          -7.50           
151     100         -9.95           1.19            -14.82          -7.89           
152     100         -10.26          1.94            -23.67          -7.75           
153     100         -10.44          2.94            -31.03          -8.04           
154     100         -10.09          1.76            -20.68          -7.55           
155     100         -10.18          2.26            -24.79          -8.00           
156     100         -10.02          1.38            -15.58          -8.10           
157     100         -10.04          2.21            -26.82          -7.44           
158     100         -10.23          2.08            -22.13          -7.85           
159     100         -9.87           1.18            -14.39          -7.75           
160     100         -9.94           1.13            -13.35          -7.62           
161     100         -9.88           1.32            -17.50          -8.25           
162     100         -10.17          2.07            -24.52          -8.17           
163     100         -9.76           1.18            -17.13          -7.74           
164     100         -10.10          1.59            -19.89          -8.17           
165     100         -9.62           1.14            -14.94          -7.71           
166     100         -9.88           1.17            -15.04          -7.75           
167     100         -9.58           0.86            -12.29          -7.66           
168     100         -9.84           1.23            -15.89          -7.74           
169     100         -9.76           1.23            -14.07          -7.39           
170     100         -10.14          2.52            -23.94          -7.78           
171     100         -9.91           1.43            -18.25          -7.94           
172     100         -9.73           1.32            -20.08          -7.53           
173     100         -9.84           1.12            -15.39          -8.14           
174     100         -9.65           0.88            -13.60          -8.28           
175     100         -9.43           0.67            -11.05          -7.71           
176     100         -9.80           1.20            -13.82          -7.80           
177     100         -9.90           1.15            -14.91          -7.60           
178     100         -9.75           1.02            -13.83          -7.57           
179     100         -9.47           0.84            -11.72          -7.81           
180     100         -9.76           1.47            -19.19          -7.60           
181     100         -9.45           0.86            -12.71          -7.94           
182     100         -9.71           0.99            -14.31          -8.11           
183     100         -9.46           0.68            -11.54          -7.98           
184     100         -9.55           1.09            -13.72          -8.05           
185     100         -9.45           0.78            -12.24          -7.93           
186     100         -9.56           0.87            -13.54          -7.83           
187     100         -9.50           1.01            -13.65          -7.63           
188     100         -9.51           1.00            -13.36          -7.67           
189     100         -9.46           0.81            -12.13          -6.72           
190     100         -9.38           0.79            -12.79          -7.87           
191     100         -9.27           0.71            -11.88          -7.71           
192     100         -9.35           0.82            -13.23          -7.64           
193     100         -9.39           0.62            -11.18          -8.11           
194     100         -9.32           0.74            -11.59          -7.78           
195     100         -9.72           1.80            -20.67          -7.91           
196     100         -9.37           0.75            -11.65          -7.88           
197     100         -9.52           0.74            -11.85          -8.14           
198     100         -9.42           0.74            -12.18          -7.92           
199     100         -9.51           0.84            -12.46          -7.71           
