environment: ReacherMemory-v0
random_seed: 0
number_generations: 2500
optimizer
	type: CMA_ES
	sigma: 1.0
	mu: 25
	population_size: 300
brain
	type: CTRNN
	number_neurons: 5
	neuron_activation: tanh
	use_bias: True
	delta_t: 0.05
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_initial_neuron_state: True
episode_runner
	number_fitness_runs: 25
	environment_attributes
		type: ReacherMemoryAttr
		observation_frames: 20
		memory_frames: 20
		action_frames: 50

Genome Size: 102
Inputs: Box(-inf, inf, (11,), float64)
Outputs: Box(-1.0, 1.0, (2,), float32)
Commit: 43e5040fa224ec4bc80e6f30532d967cc3f8780e


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       300         -53.48          25.86           -105.63         -9.41           
1       300         -55.78          26.41           -105.73         -9.50           
2       300         -51.62          26.60           -105.60         -8.29           
3       300         -49.21          24.36           -103.47         -10.01          
4       300         -49.75          24.51           -105.05         -10.00          
5       300         -45.65          23.83           -104.06         -9.51           
6       300         -45.14          23.87           -104.69         -9.89           
7       300         -43.37          23.87           -104.23         -8.99           
8       300         -42.54          22.16           -98.46          -7.81           
9       300         -39.21          22.90           -104.09         -9.27           
10      300         -37.59          21.93           -98.94          -9.40           
11      300         -38.12          21.49           -104.68         -9.19           
12      300         -35.71          20.43           -100.67         -9.08           
13      300         -35.13          20.56           -98.60          -9.55           
14      300         -33.72          19.39           -99.31          -9.29           
15      300         -32.70          18.56           -94.81          -8.85           
16      300         -32.82          18.93           -95.40          -9.24           
17      300         -35.34          21.59           -97.48          -9.40           
18      300         -34.16          19.63           -96.71          -8.54           
19      300         -31.48          18.52           -91.98          -9.14           
20      300         -35.17          18.93           -99.45          -8.38           
21      300         -32.14          18.26           -90.57          -9.05           
22      300         -32.30          18.65           -98.87          -8.80           
23      300         -33.26          18.91           -100.34         -8.44           
24      300         -34.16          18.88           -96.50          -8.64           
25      300         -33.78          20.23           -96.01          -9.77           
26      300         -35.94          20.53           -93.84          -8.73           
27      300         -34.18          19.52           -98.55          -9.57           
28      300         -33.85          17.75           -91.81          -8.84           
29      300         -35.10          19.93           -96.18          -9.19           
30      300         -36.78          20.27           -102.53         -9.49           
31      300         -36.28          21.78           -98.98          -9.20           
32      300         -33.86          19.87           -94.67          -9.40           
33      300         -32.27          19.66           -91.04          -9.08           
34      300         -35.32          19.77           -99.04          -8.58           
35      300         -29.84          17.98           -91.29          -8.91           
36      300         -30.15          18.58           -91.95          -8.69           
37      300         -31.30          18.38           -97.29          -8.46           
38      300         -32.17          19.84           -96.33          -8.97           
39      300         -30.99          18.26           -89.48          -9.53           
40      300         -30.67          18.78           -102.01         -9.18           
41      300         -32.35          19.87           -87.47          -9.30           
42      300         -32.61          19.27           -97.91          -9.19           
43      300         -32.03          19.85           -96.51          -9.12           
44      300         -29.64          18.51           -101.38         -8.73           
45      300         -30.16          17.45           -89.39          -9.09           
46      300         -30.38          18.39           -93.10          -8.78           
47      300         -27.91          18.18           -93.00          -9.28           
48      300         -28.37          16.72           -76.37          -8.64           
49      300         -25.95          16.66           -103.42         -9.01           
50      300         -25.14          15.72           -97.39          -8.54           
51      300         -24.32          14.40           -76.91          -8.93           
52      300         -24.48          15.56           -82.08          -8.63           
53      300         -25.80          15.88           -93.60          -8.82           
54      300         -27.56          17.06           -87.35          -8.04           
55      300         -24.17          15.20           -91.22          -8.68           
56      300         -22.99          13.09           -90.51          -8.61           
57      300         -22.48          13.57           -90.22          -9.14           
58      300         -22.41          13.79           -83.63          -8.38           
59      300         -21.67          13.86           -79.88          -8.06           
60      300         -22.48          14.23           -76.37          -8.92           
61      300         -22.95          13.76           -81.81          -8.92           
62      300         -22.57          13.62           -75.32          -8.61           
63      300         -21.20          13.06           -67.24          -9.14           
64      300         -20.50          12.14           -60.01          -7.70           
65      300         -20.46          13.30           -73.91          -8.26           
66      300         -22.89          14.15           -70.65          -8.55           
67      300         -19.94          12.20           -84.63          -8.46           
68      300         -21.75          12.64           -84.01          -8.85           
69      300         -21.85          14.00           -82.94          -7.70           
70      300         -22.34          14.36           -73.24          -8.61           
71      300         -21.22          13.56           -75.85          -8.45           
72      300         -20.75          12.57           -71.15          -8.62           
73      300         -19.87          12.47           -85.66          -8.01           
74      300         -18.92          11.47           -71.91          -8.21           
75      300         -18.08          10.31           -70.39          -8.89           
76      300         -19.60          11.82           -71.61          -8.55           
77      300         -17.24          9.89            -71.10          -8.79           
78      300         -19.73          11.89           -73.54          -8.57           
79      300         -17.98          10.43           -67.17          -8.33           
80      300         -16.62          9.00            -61.50          -9.03           
81      300         -17.92          10.51           -61.69          -8.62           
82      300         -17.67          10.46           -61.51          -8.41           
83      300         -17.19          10.43           -78.09          -8.50           
84      300         -17.02          9.96            -69.29          -8.47           
85      300         -16.74          9.56            -66.91          -8.58           
86      300         -16.64          8.88            -58.31          -8.22           
87      300         -16.29          8.77            -55.95          -8.32           
88      300         -16.33          8.93            -58.80          -8.96           
89      300         -17.52          10.66           -67.78          -7.74           
90      300         -17.49          9.89            -58.69          -8.79           
91      300         -17.78          10.93           -67.61          -8.28           
92      300         -18.52          12.02           -70.75          -8.75           
93      300         -18.70          11.85           -70.30          -8.64           
94      300         -18.45          11.52           -62.57          -8.40           
95      300         -17.38          10.11           -68.93          -8.57           
96      300         -19.89          12.36           -66.39          -8.04           
97      300         -17.85          11.64           -75.23          -7.73           
98      300         -18.95          11.41           -65.29          -7.59           
