environment: ReacherMemory-v0
random_seed: -1
number_generations: 20000
optimizer
	type: CMA_ES
	sigma: 1.0
	mu: 25
	population_size: 100
brain
	type: CTRNN
	number_neurons: 5
	neuron_activation: tanh
	use_bias: True
	delta_t: 0.05
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_initial_neuron_state: True
episode_runner
	number_fitness_runs: 25
	environment_attributes
		type: ReacherMemoryAttr
		observation_frames: 20
		memory_frames: 20
		action_frames: 50

Genome Size: 102
Inputs: Box(-inf, inf, (11,), float64)
Outputs: Box(-1.0, 1.0, (2,), float32)
Commit: 43e5040fa224ec4bc80e6f30532d967cc3f8780e


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       100         -56.35          24.58           -104.32         -9.45           
1       100         -47.89          25.63           -103.99         -9.49           
2       100         -51.39          26.79           -105.48         -10.96          
3       100         -46.38          24.54           -103.05         -12.59          
4       100         -44.74          26.30           -105.15         -10.11          
5       100         -39.01          21.78           -93.91          -10.84          
6       100         -41.50          21.10           -102.24         -12.21          
7       100         -41.39          25.73           -102.80         -9.43           
8       100         -39.99          23.36           -105.07         -10.52          
9       100         -34.87          19.91           -100.00         -9.58           
10      100         -37.26          22.39           -98.76          -10.72          
11      100         -38.31          19.69           -98.75          -10.39          
12      100         -37.31          22.30           -99.61          -10.62          
13      100         -45.51          25.10           -96.75          -11.37          
14      100         -37.62          24.31           -100.32         -9.00           
15      100         -41.10          21.33           -99.32          -9.74           
16      100         -40.92          24.16           -102.04         -11.33          
17      100         -40.62          21.79           -101.43         -9.84           
18      100         -39.09          23.22           -90.91          -9.93           
19      100         -34.55          23.35           -100.70         -10.37          
20      100         -36.68          24.12           -103.01         -10.78          
21      100         -37.03          22.26           -105.65         -11.56          
22      100         -32.06          19.68           -98.05          -10.24          
23      100         -36.06          20.74           -94.39          -11.67          
24      100         -34.40          21.33           -100.32         -10.35          
25      100         -36.82          22.07           -104.83         -9.99           
26      100         -33.00          18.66           -78.84          -11.88          
27      100         -35.43          21.72           -96.76          -9.54           
28      100         -39.98          22.91           -104.31         -10.76          
29      100         -34.23          23.89           -96.19          -8.83           
30      100         -38.11          24.40           -103.92         -9.54           
31      100         -37.51          22.00           -101.69         -10.28          
32      100         -32.19          19.62           -83.20          -9.50           
33      100         -32.52          19.98           -84.03          -10.20          
34      100         -35.16          20.84           -104.81         -10.12          
35      100         -38.03          21.87           -88.04          -10.25          
36      100         -34.83          20.98           -95.43          -10.16          
37      100         -31.36          21.39           -92.30          -10.25          
38      100         -32.15          22.22           -102.49         -10.63          
39      100         -32.48          22.10           -93.37          -9.31           
40      100         -34.23          22.27           -98.82          -9.50           
41      100         -37.54          24.58           -102.58         -10.63          
42      100         -32.80          21.84           -97.72          -9.20           
43      100         -37.45          23.04           -100.32         -11.39          
44      100         -30.47          20.58           -99.23          -10.67          
45      100         -29.49          21.45           -90.80          -10.24          
46      100         -31.68          21.79           -95.31          -9.85           
47      100         -30.86          20.65           -102.60         -10.08          
48      100         -27.65          20.07           -93.48          -9.57           
49      100         -27.09          18.95           -98.84          -10.30          
50      100         -28.95          20.19           -103.91         -9.60           
51      100         -28.01          17.78           -88.69          -8.92           
52      100         -29.98          21.31           -95.52          -10.66          
53      100         -31.60          22.02           -100.29         -9.82           
54      100         -27.36          18.40           -94.17          -9.59           
55      100         -27.25          17.65           -83.96          -9.73           
56      100         -22.46          13.14           -67.53          -9.80           
57      100         -28.65          19.16           -89.90          -10.18          
58      100         -26.70          17.48           -91.90          -9.71           
59      100         -21.90          16.68           -93.68          -9.56           
60      100         -22.28          16.82           -81.52          -8.93           
61      100         -24.35          17.61           -93.90          -9.94           
62      100         -16.04          9.76            -64.13          -8.78           
63      100         -19.16          11.33           -64.20          -10.32          
64      100         -19.14          10.92           -56.84          -10.47          
65      100         -17.06          9.38            -49.74          -9.41           
66      100         -19.28          12.53           -64.66          -8.84           
67      100         -20.71          15.27           -89.73          -9.70           
68      100         -21.57          14.66           -74.52          -10.26          
69      100         -21.47          14.96           -87.57          -10.58          
70      100         -17.97          11.42           -72.62          -9.41           
71      100         -18.43          9.29            -62.23          -9.61           
72      100         -18.43          9.38            -55.51          -9.62           
73      100         -18.59          9.32            -45.90          -9.60           
74      100         -17.94          9.22            -50.57          -9.50           
75      100         -19.10          10.14           -58.94          -9.60           
76      100         -19.97          11.79           -68.75          -10.12          
77      100         -18.74          9.70            -49.89          -9.94           
78      100         -17.53          10.70           -72.68          -10.00          
79      100         -18.73          10.03           -63.75          -9.78           
80      100         -15.49          8.09            -46.77          -8.68           
81      100         -17.25          9.39            -61.86          -9.51           
82      100         -16.50          8.76            -54.51          -9.82           
83      100         -18.24          10.67           -56.79          -9.59           
84      100         -17.06          9.50            -47.27          -8.86           
85      100         -19.12          12.27           -70.26          -10.13          
86      100         -16.68          8.63            -48.35          -9.16           
87      100         -16.23          9.77            -59.11          -9.12           
88      100         -16.23          9.47            -70.05          -8.68           
89      100         -18.47          8.43            -47.10          -9.94           
90      100         -17.84          10.55           -57.23          -9.45           
91      100         -18.09          11.09           -64.22          -8.62           
92      100         -17.05          8.72            -62.69          -9.67           
93      100         -18.96          11.63           -73.13          -8.88           
94      100         -20.30          12.16           -74.19          -10.45          
95      100         -17.43          10.66           -69.59          -8.56           
96      100         -19.22          11.15           -85.10          -9.95           
97      100         -17.29          10.01           -52.55          -9.28           
98      100         -18.02          9.72            -57.20          -9.53           
99      100         -18.18          9.93            -52.87          -9.57           
100     100         -16.40          9.87            -68.09          -8.13           
101     100         -17.38          11.25           -69.62          -9.44           
102     100         -18.95          12.40           -63.31          -9.23           
103     100         -16.50          8.67            -52.49          -9.09           
104     100         -15.28          6.83            -46.13          -9.27           
105     100         -17.31          12.45           -71.56          -9.18           
106     100         -18.82          11.20           -68.34          -10.22          
107     100         -14.70          8.76            -57.38          -7.74           
108     100         -16.75          9.38            -51.91          -9.28           
109     100         -17.15          9.31            -65.77          -9.27           
110     100         -19.16          12.50           -66.54          -10.09          
111     100         -15.34          8.56            -59.20          -9.18           
112     100         -16.09          8.19            -63.41          -9.83           
113     100         -16.70          7.96            -54.03          -10.10          
114     100         -18.51          10.70           -61.60          -9.72           
115     100         -16.46          9.82            -46.35          -9.19           
116     100         -18.95          11.31           -59.94          -9.76           
117     100         -16.37          10.20           -75.57          -9.68           
118     100         -19.08          12.44           -65.55          -8.71           
119     100         -19.18          11.62           -59.24          -9.68           
120     100         -15.85          10.04           -49.90          -8.17           
121     100         -16.73          8.06            -44.14          -9.11           
122     100         -14.73          7.38            -44.34          -8.60           
123     100         -17.00          9.98            -70.62          -9.78           
124     100         -15.82          8.36            -49.71          -9.52           
125     100         -15.73          9.60            -59.98          -8.12           
126     100         -14.26          6.87            -41.57          -8.62           
127     100         -14.68          10.57           -78.57          -8.49           
128     100         -15.00          6.74            -41.27          -8.93           
129     100         -13.91          7.15            -47.50          -8.36           
130     100         -14.30          7.43            -46.53          -8.24           
131     100         -14.08          7.67            -47.70          -7.56           
132     100         -13.81          6.15            -45.41          -9.18           
133     100         -14.15          8.41            -63.74          -8.15           
134     100         -13.87          4.72            -36.96          -9.70           
135     100         -13.45          5.20            -43.69          -9.54           
136     100         -13.01          5.03            -35.17          -9.13           
137     100         -14.39          8.01            -45.93          -8.62           
138     100         -13.61          5.77            -40.62          -9.04           
139     100         -13.49          5.77            -45.46          -8.63           
140     100         -13.76          5.92            -39.94          -8.73           
141     100         -12.86          4.35            -37.90          -9.19           
142     100         -13.70          7.65            -47.82          -8.36           
143     100         -10.84          3.65            -35.05          -8.78           
144     100         -14.45          5.35            -36.31          -10.07          
145     100         -12.22          5.60            -38.07          -8.30           
146     100         -12.55          4.69            -30.80          -8.46           
147     100         -12.72          5.76            -51.31          -8.78           
148     100         -14.20          5.38            -32.06          -9.57           
149     100         -14.13          6.54            -39.61          -8.73           
150     100         -12.80          4.59            -34.70          -8.84           
151     100         -14.04          6.42            -39.44          -9.50           
152     100         -12.56          5.00            -35.71          -8.79           
153     100         -12.96          5.09            -32.74          -9.08           
154     100         -14.28          7.66            -51.44          -9.03           
155     100         -11.56          4.32            -25.81          -8.05           
156     100         -12.77          5.49            -40.57          -9.33           
157     100         -14.50          8.14            -46.38          -8.23           
158     100         -14.54          7.77            -54.96          -9.15           
159     100         -12.41          5.70            -40.92          -8.72           
160     100         -14.66          7.09            -52.62          -9.32           
161     100         -14.78          7.02            -51.74          -9.66           
162     100         -13.57          8.36            -54.30          -8.36           
163     100         -13.59          7.59            -51.15          -8.84           
