environment: ReacherMemory-v0
random_seed: -1
number_generations: 3000
optimizer
	type: CMA_ES
	population_size: 1200
	sigma: 1.0
	mu: 100
brain
	type: CTRNN
	number_neurons: 10
	neuron_activation: tanh
	use_bias: False
	delta_t: 0.05
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_initial_neuron_state: True
episode_runner
	number_fitness_runs: 25
	environment_attributes
		type: ReacherMemoryAttr
		observation_frames: 20
		memory_frames: 20
		action_frames: 50

Genome Size: 240
Inputs: Box(-inf, inf, (11,), float64)
Outputs: Box(-1.0, 1.0, (2,), float32)
Commit: 43e5040fa224ec4bc80e6f30532d967cc3f8780e


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1200        -74.29          17.96           -106.32         -22.18          
1       1200        -72.23          18.41           -105.47         -18.44          
2       1200        -70.43          18.85           -104.98         -16.91          
3       1200        -69.51          18.43           -105.67         -20.14          
4       1200        -68.17          19.24           -105.29         -17.20          
5       1200        -68.75          18.99           -106.19         -16.20          
6       1200        -65.70          19.70           -105.20         -10.34          
7       1200        -65.82          20.17           -105.21         -14.69          
8       1200        -64.64          20.82           -106.07         -12.54          
9       1200        -64.12          20.28           -104.39         -13.09          
10      1200        -64.02          20.77           -106.53         -13.95          
11      1200        -64.36          20.42           -105.42         -13.39          
12      1200        -65.01          20.95           -105.19         -12.90          
13      1200        -63.98          20.94           -105.09         -14.61          
14      1200        -60.19          21.36           -104.25         -10.85          
15      1200        -61.96          21.86           -105.05         -12.66          
16      1200        -63.37          21.74           -108.99         -13.50          
17      1200        -61.49          21.80           -106.58         -12.68          
18      1200        -61.61          21.71           -106.20         -12.05          
19      1200        -62.65          22.25           -107.08         -12.53          
20      1200        -63.47          21.64           -110.92         -12.40          
21      1200        -62.52          22.49           -106.41         -12.02          
22      1200        -63.47          21.98           -107.88         -14.11          
23      1200        -63.84          22.07           -107.21         -14.53          
24      1200        -63.74          22.70           -106.12         -13.62          
25      1200        -64.30          21.83           -106.84         -14.95          
26      1200        -62.42          21.45           -105.48         -11.14          
27      1200        -64.01          21.64           -106.78         -12.98          
28      1200        -64.43          21.67           -106.30         -12.88          
29      1200        -64.20          21.72           -106.54         -14.13          
30      1200        -63.14          21.58           -106.26         -12.21          
31      1200        -62.30          22.23           -108.70         -12.91          
32      1200        -63.10          22.12           -107.27         -12.21          
33      1200        -61.20          22.28           -108.89         -11.84          
34      1200        -59.81          23.26           -106.29         -12.13          
35      1200        -59.56          22.77           -105.43         -12.69          
36      1200        -61.07          22.67           -106.37         -13.19          
37      1200        -59.79          22.60           -105.60         -11.84          
38      1200        -60.21          22.74           -106.45         -12.70          
39      1200        -60.86          22.44           -108.15         -12.47          
40      1200        -60.18          22.40           -105.01         -11.31          
41      1200        -59.68          23.25           -106.83         -12.53          
42      1200        -60.24          22.96           -108.51         -10.59          
43      1200        -59.47          23.02           -106.08         -12.11          
44      1200        -60.15          22.93           -107.26         -12.62          
45      1200        -59.65          23.30           -107.26         -12.47          
46      1200        -59.78          23.43           -108.48         -13.57          
47      1200        -58.79          23.15           -105.98         -11.70          
48      1200        -58.73          23.77           -105.44         -12.39          
49      1200        -59.27          23.05           -106.95         -11.15          
50      1200        -57.60          23.92           -107.04         -13.24          
