environment: ReacherMemory-v0
random_seed: 0
number_generations: 2500
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 200
	sigma: 1.0
	checkpoint_frequency: 10
	hof_size: 10
	mu: 25
	efficiency_weight: 0.0
	fix_seed_for_generation: False
brain
	type: ConcatenatedBrain_LSTM
	normalize_input: False
	normalize_input_target: 5
	use_bias: True
	feed_forward_front
		type: FeedForward_NumPy
		normalize_input: False
		normalize_input_target: 2
		use_bias: True
		hidden_layers: [16]
		non_linearity: relu
		indirect_encoding: False
		cppn_hidden_layers: [10, 10]
	lstm
		type: LSTMNumPy
		normalize_input: False
		normalize_input_target: 5
		use_bias: True
		lstm_num_layers: 1
	feed_forward_back
		type: FeedForward_NumPy
		normalize_input: False
		normalize_input_target: 2
		use_bias: True
		hidden_layers: [8]
		non_linearity: relu
		indirect_encoding: False
		cppn_hidden_layers: [10, 10]
episode_runner
	number_fitness_runs: 25
	reuse_env: True
	keep_env_seed_fixed_during_generation: True
	max_steps_per_run: 0
	max_steps_penalty: 0
	use_autoencoder: False
	environment_attributes
		observation_frames: 20
		memory_frames: 20
		action_frames: 50

Genome Size: 1386
Inputs: Box(11,)
Outputs: Box(2,)
Commit: ccd987150599c83e702991e3b13ad3cdc4000914


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -543.99         1119.92         -9344.03        -9.64           
1       200         -388.24         854.09          -5727.01        -8.61           
2       200         -193.52         486.12          -4354.62        -9.42           
3       200         -83.21          227.39          -1427.77        -8.82           
4       200         -170.88         681.11          -6817.56        -9.09           
5       200         -91.42          658.41          -9171.74        -8.99           
6       200         -58.24          217.33          -2050.25        -9.40           
7       200         -82.29          313.08          -3176.89        -9.08           
8       200         -75.87          469.38          -5859.94        -9.69           
9       200         -27.34          91.44           -885.68         -9.33           
10      200         -52.57          218.01          -2181.36        -9.47           
11      200         -40.55          147.66          -1544.21        -8.87           
12      200         -31.63          102.38          -1052.25        -9.37           
13      200         -44.64          191.67          -2421.34        -9.27           
14      200         -69.12          278.83          -2179.08        -9.73           
15      200         -37.61          117.94          -934.10         -9.60           
16      200         -39.73          168.45          -2013.91        -9.02           
17      200         -70.96          275.42          -2571.76        -8.85           
18      200         -33.22          98.21           -985.20         -9.86           
19      200         -30.27          94.35           -939.43         -9.03           
20      200         -33.66          145.74          -1938.79        -8.99           
21      200         -27.59          114.22          -1463.64        -9.54           
22      200         -30.64          99.82           -1191.69        -9.32           
23      200         -66.07          301.50          -3487.98        -8.07           
24      200         -62.92          209.91          -1622.66        -9.44           
25      200         -102.37         458.87          -4722.99        -9.57           
26      200         -103.12         315.52          -2359.24        -9.03           
27      200         -244.27         1720.75         -21166.06       -9.60           
28      200         -31.31          125.24          -1590.56        -9.12           
29      200         -39.60          150.18          -1873.36        -9.04           
30      200         -182.32         1205.99         -13048.97       -9.46           
31      200         -42.08          246.44          -3278.98        -9.41           
32      200         -38.31          219.91          -2963.80        -9.39           
33      200         -31.58          125.27          -1470.83        -9.11           
34      200         -41.04          287.60          -3959.08        -9.20           
35      200         -26.84          127.25          -1526.75        -8.99           
36      200         -69.26          360.95          -4083.56        -9.30           
