environment: Ant-v3
random_seed: 0
number_generations: 1000
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 1000
	sigma: 0.2
	checkpoint_frequency: 0
	hof_size: 20
	mu: 150
brain
	type: CTRNN
	number_neurons: 30
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 8
	w_mask: logarithmic
	w_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
	neuron_activation: tanh
	neuron_activation_inplace: False
	use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0

Genome Size: 1096
Inputs: Box(111,)
Outputs: Box(8,)
Commit: 8a001c9fdbb01a2bc401fa1b558b6778ad023887


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1000        911.87          94.78           312.59          1169.66         
1       1000        923.11          87.61           362.37          1168.42         
2       1000        932.68          76.89           496.78          1018.33         
3       1000        944.65          65.63           249.58          1041.96         
4       1000        944.34          59.83           594.47          1068.58         
5       1000        949.61          58.76           575.41          1038.89         
6       1000        951.68          57.73           374.11          1054.93         
7       1000        955.94          51.83           470.02          1073.78         
8       1000        957.47          46.40           658.93          1020.38         
9       1000        959.49          49.60           583.11          1067.87         
10      1000        960.79          46.15           615.27          1076.70         
11      1000        958.95          49.48           528.69          1049.98         
12      1000        958.57          49.00           617.47          1041.07         
13      1000        957.28          51.09           606.09          1155.60         
14      1000        959.86          47.24           661.91          1168.98         
15      1000        961.30          46.97           479.66          1060.32         
16      1000        959.17          48.74           584.81          1055.13         
17      1000        959.00          52.20           604.54          1120.33         
18      1000        959.29          50.81           608.59          1033.60         
19      1000        958.25          48.27           667.70          1093.05         
20      1000        958.44          50.34           666.14          1082.74         
21      1000        955.47          55.06           627.53          1068.11         
22      1000        957.80          52.20           655.68          1062.22         
23      1000        958.62          50.09           582.91          1087.13         
24      1000        955.28          53.21           607.43          1045.50         
25      1000        955.74          53.06           597.45          1087.32         
26      1000        963.30          45.84           630.09          1081.04         
27      1000        958.16          52.59           663.48          1147.91         
28      1000        958.16          56.50           423.72          1082.56         
29      1000        959.05          55.21           606.69          1114.63         
30      1000        957.77          55.17           184.71          1126.14         
31      1000        957.66          60.72           81.68           1196.26         
32      1000        955.42          59.77           581.12          1139.00         
33      1000        949.78          69.27           301.17          1149.58         
34      1000        958.66          54.52           615.33          1145.22         
35      1000        957.65          66.63           160.77          1159.35         
36      1000        960.51          60.04           526.58          1205.48         
37      1000        959.62          68.25           73.45           1201.52         
38      1000        959.46          64.83           435.13          1222.32         
39      1000        956.78          80.56           29.91           1197.82         
40      1000        955.26          85.77           26.27           1222.80         
41      1000        958.36          75.93           521.28          1307.15         
42      1000        952.84          94.88           13.81           1313.81         
