environment: Ant-v2
random_seed: 0
number_generations: 1000
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 1000
	sigma: 0.2
	checkpoint_frequency: 0
	hof_size: 20
	mu: 25
brain
	type: CTRNN
	number_neurons: 40
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: False
	v_mask: logarithmic
	v_mask_param: 32
	w_mask: logarithmic
	w_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.001
	neuron_activation: tanh
	neuron_activation_inplace: False
	use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0

Genome Size: 1014
Inputs: Box(111,)
Outputs: Box(8,)
Commit: 5bd3ffb0ea8e0d66244f377cbd1b3421ca690ab8


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1000        912.35          96.27           351.89          1041.99         
1       1000        917.52          91.70           -123.04         1047.10         
2       1000        907.24          95.53           260.15          1062.12         
3       1000        894.86          110.77          187.95          1038.03         
4       1000        907.72          104.99          -105.92         1028.19         
5       1000        893.73          117.50          210.37          1010.13         
6       1000        896.79          112.29          23.50           1011.26         
7       1000        897.38          109.43          324.06          1019.20         
8       1000        903.17          106.40          -16.29          1010.80         
9       1000        897.44          116.14          126.12          1027.43         
10      1000        899.62          112.07          -347.11         1033.48         
11      1000        902.81          112.82          160.65          1046.35         
12      1000        895.32          114.96          214.62          1019.98         
13      1000        900.09          112.30          150.03          1081.40         
14      1000        901.80          111.14          -10.76          1052.16         
15      1000        909.39          98.46           243.72          1047.20         
16      1000        900.29          107.13          21.77           1098.34         
17      1000        889.97          121.57          37.55           1111.12         
18      1000        902.65          116.17          104.35          1076.43         
19      1000        902.22          110.63          122.95          1056.01         
20      1000        908.51          106.69          134.50          1075.35         
21      1000        906.27          121.62          -29.43          1278.03         
22      1000        904.86          122.17          28.34           1142.53         
23      1000        906.32          111.77          318.79          1129.43         
24      1000        897.61          131.69          129.80          1227.87         
25      1000        901.90          126.05          38.11           1306.35         
26      1000        899.29          144.08          54.41           1298.09         
27      1000        885.30          153.97          10.12           1292.75         
28      1000        876.80          179.93          16.73           1407.76         
29      1000        886.34          175.05          -3.12           1471.41         
30      1000        877.74          212.31          0.66            1508.77         
31      1000        874.20          217.02          29.70           1840.52         
32      1000        893.02          224.16          28.92           1717.21         
33      1000        886.14          260.48          -175.03         1877.41         
34      1000        877.71          264.16          -10.13          1884.53         
35      1000        880.53          255.43          -8.36           1903.85         
36      1000        860.51          290.41          -8.27           1753.00         
37      1000        887.09          301.52          -5.71           1771.01         
38      1000        861.87          304.64          3.17            1888.55         
39      1000        833.38          328.69          -304.97         1973.53         
40      1000        846.77          335.52          -61.25          1799.42         
41      1000        852.83          361.42          -113.29         1873.25         
42      1000        866.68          353.35          -286.29         1895.80         
43      1000        891.85          352.93          -485.35         1929.53         
44      1000        875.39          356.23          -173.99         2024.97         
45      1000        879.43          355.01          -322.15         1909.99         
46      1000        890.08          354.95          -104.38         1849.60         
47      1000        897.26          373.54          -240.07         1989.67         
