environment: Ant-v2
random_seed: 0
number_generations: 1000
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 1000
	sigma: 0.2
	checkpoint_frequency: 0
	hof_size: 20
	mu: 25
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 32
	w_mask: logarithmic
	w_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
	neuron_activation: relu
	neuron_activation_inplace: False
	use_bias: True
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0

Genome Size: 615
Inputs: Box(111,)
Outputs: Box(8,)
Commit: 5bd3ffb0ea8e0d66244f377cbd1b3421ca690ab8


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1000        914.61          93.15           209.14          1016.28         
1       1000        914.99          88.64           350.47          1024.01         
2       1000        912.85          98.28           292.35          1060.11         
3       1000        911.13          94.05           398.71          1043.73         
4       1000        917.06          92.94           387.92          1028.77         
5       1000        920.92          86.75           151.07          1056.73         
6       1000        913.57          102.53          301.06          1136.95         
7       1000        917.46          99.61           17.60           1038.78         
8       1000        916.97          99.44           28.96           1054.17         
9       1000        913.26          112.08          -35.23          1342.70         
10      1000        910.78          103.36          227.33          1124.25         
11      1000        910.70          108.67          55.15           1195.07         
12      1000        913.30          111.39          40.49           1206.74         
13      1000        920.57          96.36           10.36           1196.97         
14      1000        903.89          116.93          73.15           1172.80         
15      1000        909.70          112.02          79.22           1190.61         
16      1000        908.06          126.77          24.06           1221.79         
17      1000        915.28          119.13          10.44           1196.56         
18      1000        914.98          130.05          13.68           1213.83         
19      1000        916.60          134.85          -1.84           1349.15         
20      1000        904.24          152.10          35.87           1397.01         
21      1000        908.40          165.82          14.18           1382.39         
22      1000        916.44          154.50          29.20           1473.82         
23      1000        914.30          184.07          6.58            1569.59         
24      1000        906.14          187.22          2.93            1488.02         
25      1000        889.59          230.88          6.46            1556.65         
26      1000        863.70          253.75          -584.89         1690.42         
27      1000        900.79          245.31          11.00           1759.46         
28      1000        894.70          231.37          10.85           1549.06         
29      1000        901.53          264.90          -171.01         1926.80         
30      1000        893.58          267.59          -155.26         1848.95         
31      1000        910.48          273.01          9.32            1791.82         
32      1000        897.28          295.52          -31.86          2027.74         
33      1000        887.00          320.89          -254.10         1995.69         
34      1000        897.38          300.42          -135.53         1880.40         
35      1000        834.93          337.27          -89.01          1891.66         
36      1000        865.70          297.87          8.33            1763.80         
37      1000        891.64          314.49          0.47            1974.81         
38      1000        870.56          321.75          -191.91         1825.49         
39      1000        878.45          338.89          -334.01         1914.18         
40      1000        862.59          368.38          -78.31          1903.44         
41      1000        846.94          369.79          -263.78         1963.97         
42      1000        862.59          377.27          -296.29         2197.08         
43      1000        907.85          356.66          -209.77         1951.07         
44      1000        869.15          385.31          -80.11          2044.47         
45      1000        884.16          400.29          -150.01         1986.25         
46      1000        875.93          396.46          -186.05         2041.22         
47      1000        892.63          412.96          -401.34         2283.58         
48      1000        888.64          438.07          -323.36         2379.00         
49      1000        889.81          475.54          -633.80         2307.39         
50      1000        839.89          495.90          -662.65         2329.63         
51      1000        893.42          468.35          -10.71          2298.55         
52      1000        889.30          514.47          -333.54         2275.34         
53      1000        883.64          506.70          -900.70         2283.13         
54      1000        894.83          522.86          -168.95         2312.80         
55      1000        851.50          503.92          -219.43         2334.99         
56      1000        851.04          503.47          -395.59         2271.35         
57      1000        874.17          498.74          -274.67         2454.30         
58      1000        830.24          534.32          -610.78         2410.99         
59      1000        850.84          555.40          -327.74         2517.98         
60      1000        889.56          534.35          -184.37         2324.86         
61      1000        860.29          498.82          -425.18         2343.15         
62      1000        886.02          528.64          -108.71         2375.78         
63      1000        887.33          551.25          -280.87         2366.30         
64      1000        907.47          570.79          -490.04         2533.06         
65      1000        884.54          563.63          -379.10         2343.96         
66      1000        872.69          582.64          -71.87          2485.67         
67      1000        885.59          581.42          -526.50         2356.00         
68      1000        881.40          605.96          -201.06         2458.08         
69      1000        856.46          588.89          -335.55         2417.30         
70      1000        887.81          577.22          -315.65         2393.45         
71      1000        903.95          595.66          -338.96         2500.04         
72      1000        859.33          628.14          -332.80         2478.51         
73      1000        842.28          605.50          -202.61         2572.56         
74      1000        844.47          620.89          -130.40         2583.98         
75      1000        784.09          610.16          -236.21         2493.76         
76      1000        825.96          654.38          -203.55         2565.17         
77      1000        791.14          655.10          -272.01         2464.02         
78      1000        726.83          624.07          -173.38         2528.42         
79      1000        775.40          625.97          -94.50          2601.08         
80      1000        792.09          624.25          -400.74         2396.34         
81      1000        841.97          650.18          -106.60         2832.98         
82      1000        832.93          648.20          -276.29         2503.81         
83      1000        852.79          670.56          -255.99         2628.35         
84      1000        792.42          671.64          -67.49          2641.14         
85      1000        871.79          676.38          -157.02         2736.05         
86      1000        765.56          691.91          -266.46         2664.30         
87      1000        835.08          689.24          -224.17         2673.18         
88      1000        837.28          679.90          -408.28         2797.77         
89      1000        839.25          692.57          -356.44         2685.69         
90      1000        851.71          687.29          -423.05         2664.99         
91      1000        812.81          693.05          -93.41          2572.01         
92      1000        792.72          708.76          -253.07         2645.04         
93      1000        832.78          714.29          -152.03         2574.45         
94      1000        840.45          699.00          -15.58          2629.41         
95      1000        828.09          678.08          -76.20          2752.96         
96      1000        784.79          661.35          -255.20         2643.15         
97      1000        876.21          733.54          -70.72          2748.80         
98      1000        911.56          742.15          -117.61         2665.96         
99      1000        868.58          726.05          -120.08         2729.65         
100     1000        859.11          747.36          -76.43          2611.40         
101     1000        831.38          724.87          -150.49         2546.05         
102     1000        778.36          706.23          -255.60         2712.91         
103     1000        808.24          739.49          -46.23          2841.04         
104     1000        854.46          759.19          -269.16         2653.21         
105     1000        795.93          747.08          -862.89         2723.78         
106     1000        816.20          754.08          -242.73         2788.97         
107     1000        748.48          726.96          -179.12         2759.93         
108     1000        830.36          743.86          -101.61         2800.95         
109     1000        808.97          724.66          -63.49          2732.44         
110     1000        819.94          760.82          -102.14         2708.46         
111     1000        832.12          759.59          -227.72         2839.78         
112     1000        840.05          748.73          -271.46         2763.34         
113     1000        949.11          775.82          -122.86         2680.06         
114     1000        905.77          756.30          -146.49         2739.77         
115     1000        960.82          777.96          -236.92         2661.19         
116     1000        954.01          786.25          -327.50         2820.74         
117     1000        932.95          810.70          -57.66          2786.05         
118     1000        925.57          789.60          -593.34         2741.62         
119     1000        894.10          782.11          -336.49         2786.30         
120     1000        956.81          778.05          -595.97         2790.33         
121     1000        943.14          802.10          -56.07          2713.38         
122     1000        959.71          795.68          -153.84         2772.38         
