environment: Ant-v2
random_seed: 0
number_generations: 1000
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 1000
	sigma: 0.2
	checkpoint_frequency: 0
	hof_size: 20
	mu: 25
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: False
	v_mask: logarithmic
	v_mask_param: 32
	w_mask: logarithmic
	w_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
	neuron_activation: tanh
	neuron_activation_inplace: False
	use_bias: False
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	max_steps_per_run: 0
	max_steps_penalty: 0

Genome Size: 675
Inputs: Box(111,)
Outputs: Box(8,)
Commit: 5bd3ffb0ea8e0d66244f377cbd1b3421ca690ab8


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1000        918.59          85.79           436.65          1093.73         
1       1000        905.44          99.92           258.48          1065.76         
2       1000        913.89          93.85           268.65          1069.85         
3       1000        915.91          97.13           71.22           1086.95         
4       1000        916.29          90.82           409.51          1083.63         
5       1000        918.59          86.09           324.39          1104.38         
6       1000        920.80          87.74           305.21          1069.71         
7       1000        922.57          85.94           161.07          1124.62         
8       1000        918.49          96.90           186.57          1311.89         
9       1000        914.79          100.92          57.26           1151.09         
10      1000        917.34          104.49          72.26           1172.39         
11      1000        910.26          122.81          -23.80          1219.65         
12      1000        913.94          111.20          69.65           1203.31         
13      1000        915.24          122.50          21.11           1366.21         
14      1000        928.20          124.04          17.31           1209.97         
15      1000        906.35          178.90          16.69           1311.27         
16      1000        903.54          197.37          16.49           1354.91         
17      1000        883.16          217.71          7.07            1434.29         
18      1000        892.92          244.49          14.36           1390.05         
19      1000        882.24          273.12          7.34            1501.01         
20      1000        857.63          310.87          0.54            1495.27         
21      1000        832.25          361.28          -0.57           1723.32         
22      1000        773.70          386.07          -28.77          1535.52         
23      1000        763.28          405.82          2.86            1669.11         
24      1000        808.72          396.67          -65.08          1641.50         
