environment: LunarLander-v2
random_seed: 0
number_generations: 200
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 500
	sigma: 1.0
	checkpoint_frequency: 0
	hof_size: 5
	mu: 0
brain
	type: CTRNN
	number_neurons: 10
	use_bias: True
	neuron_activation: tanh
	neuron_activation_inplace: False
	delta_t: 0.1
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: learned
	v_mask_param: 95
	w_mask: learned
	w_mask_param: 80
	t_mask: learned
	t_mask_param: 90
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 5
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 242
Inputs: Box(8,)
Outputs: Discrete(4)
Commit: 8a001c9fdbb01a2bc401fa1b558b6778ad023887


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -467.41         249.89          -1585.16        -85.80          
1       500         -450.92         258.98          -2718.04        -96.89          
2       500         -474.81         244.60          -1677.76        -84.45          
3       500         -488.64         276.09          -2511.48        -97.66          
4       500         -475.42         252.56          -1852.14        -85.50          
5       500         -462.96         245.90          -1829.66        -90.57          
6       500         -463.96         251.89          -2022.94        -80.65          
7       500         -484.87         269.91          -1983.40        -104.78         
8       500         -468.45         259.47          -1876.45        -82.01          
9       500         -459.54         234.03          -1454.59        -70.56          
10      500         -446.22         230.73          -1484.01        -81.07          
11      500         -451.53         255.41          -1713.45        -74.94          
12      500         -439.06         264.72          -2041.59        -84.49          
13      500         -439.67         254.37          -2230.13        -91.73          
14      500         -438.74         251.93          -2043.25        -89.74          
15      500         -433.47         267.79          -2166.47        -69.45          
16      500         -441.34         310.13          -3812.08        -50.64          
17      500         -397.65         249.09          -1575.29        -75.76          
18      500         -397.72         249.26          -2083.14        -76.86          
19      500         -403.57         240.26          -1647.94        -87.21          
20      500         -366.58         227.46          -1184.74        -58.05          
21      500         -345.50         233.40          -1863.16        -76.81          
22      500         -370.60         297.47          -3391.09        -45.77          
23      500         -353.32         251.93          -1759.92        -70.36          
24      500         -331.54         223.25          -1292.58        -39.56          
25      500         -331.11         245.83          -1848.89        -63.74          
26      500         -301.38         238.78          -1445.99        -58.63          
27      500         -293.70         246.07          -1988.82        -51.26          
28      500         -270.07         221.16          -2222.15        -62.44          
29      500         -248.91         185.79          -1112.12        -58.05          
30      500         -255.54         216.94          -1841.30        -40.60          
31      500         -240.04         202.86          -1811.66        -59.44          
32      500         -222.46         176.02          -1598.37        -82.70          
33      500         -237.10         200.33          -1893.78        -40.60          
34      500         -224.16         198.60          -1656.58        -61.78          
35      500         -214.62         168.96          -1517.52        -52.53          
36      500         -201.08         168.83          -1781.23        -68.84          
37      500         -184.42         136.86          -1250.09        -61.47          
38      500         -195.61         145.72          -1179.55        -55.42          
39      500         -190.35         160.33          -1709.69        -51.01          
40      500         -187.94         145.06          -1044.21        -73.45          
41      500         -179.37         128.67          -1011.46        -52.68          
42      500         -166.78         116.47          -1087.28        -75.91          
43      500         -163.67         101.24          -1111.21        -50.64          
44      500         -171.94         121.60          -1025.38        -51.54          
45      500         -163.25         118.44          -1435.08        -61.78          
46      500         -168.69         138.11          -1375.18        -70.19          
47      500         -162.91         121.75          -1183.40        -76.81          
48      500         -156.50         105.80          -1416.21        -61.37          
49      500         -148.59         67.94           -584.74         -60.81          
50      500         -154.21         92.28           -1167.60        -63.53          
51      500         -159.63         129.86          -1947.31        -75.00          
52      500         -164.42         116.65          -1317.48        -74.59          
53      500         -151.82         99.02           -1288.13        -52.53          
54      500         -158.96         99.18           -802.50         -60.81          
55      500         -154.72         98.33           -1029.94        -80.69          
56      500         -153.12         93.97           -903.11         -58.05          
57      500         -162.76         139.47          -1549.53        -50.64          
58      500         -148.48         84.07           -1320.79        -40.60          
59      500         -151.92         94.39           -1199.16        -62.44          
60      500         -141.24         63.25           -829.45         -52.53          
61      500         -151.81         92.75           -1022.07        -58.05          
62      500         -162.15         140.79          -1996.34        -71.23          
63      500         -151.05         85.64           -988.58         -71.16          
64      500         -153.90         93.76           -1402.55        -65.06          
65      500         -146.92         79.79           -937.64         -60.29          
66      500         -147.91         82.63           -1104.40        -62.44          
67      500         -142.82         62.09           -742.32         -40.60          
68      500         -153.84         107.07          -1172.01        -60.29          
69      500         -143.17         68.03           -760.08         -68.82          
70      500         -140.79         74.00           -1310.73        -72.79          
71      500         -136.07         45.32           -753.65         -77.05          
72      500         -137.87         45.75           -694.61         -60.29          
73      500         -135.10         27.44           -388.51         -51.54          
74      500         -142.13         59.17           -722.76         -40.60          
75      500         -145.80         71.90           -906.53         -73.69          
76      500         -142.49         71.27           -1126.90        -51.54          
77      500         -133.79         31.31           -405.52         -58.48          
78      500         -142.41         86.04           -1448.70        -77.05          
79      500         -143.47         68.22           -740.09         -51.54          
80      500         -142.08         60.00           -833.85         -58.48          
81      500         -141.25         60.88           -726.96         -52.53          
82      500         -138.15         49.10           -760.19         -58.48          
83      500         -142.27         70.67           -1053.93        -62.44          
84      500         -140.16         52.11           -707.88         -58.63          
85      500         -135.49         41.09           -658.96         -50.64          
86      500         -136.40         36.96           -715.92         -74.29          
87      500         -136.87         34.60           -485.61         -58.48          
88      500         -136.15         43.66           -869.24         -67.31          
89      500         -132.60         20.97           -260.13         -58.05          
90      500         -139.82         90.73           -1887.37        -71.02          
91      500         -134.58         27.25           -360.81         -50.64          
92      500         -135.96         30.80           -672.69         -67.31          
93      500         -132.73         20.71           -284.84         -68.82          
94      500         -134.47         29.50           -590.77         -62.44          
95      500         -133.37         24.86           -453.74         -51.54          
96      500         -136.23         51.89           -929.78         -58.05          
97      500         -132.66         28.85           -485.87         -50.64          
98      500         -134.21         27.04           -434.91         -75.67          
99      500         -134.62         28.99           -484.21         -71.23          
100     500         -133.87         30.36           -501.96         -61.37          
101     500         -136.53         35.41           -598.65         -72.79          
102     500         -133.33         29.05           -452.13         -1.66           
103     500         -135.13         51.81           -1159.37        -46.05          
104     500         -135.50         34.75           -646.96         -40.60          
105     500         -138.07         56.10           -987.03         -59.44          
106     500         -135.96         48.57           -707.14         -40.60          
107     500         -136.32         57.67           -1209.44        -63.53          
108     500         -137.08         53.89           -933.76         -59.44          
109     500         -135.03         39.87           -735.39         -72.26          
110     500         -134.64         26.24           -424.40         -58.05          
111     500         -135.08         43.76           -803.33         -61.78          
112     500         -133.77         33.61           -550.90         -1.66           
