environment: LunarLander-v2
random_seed: 0
number_generations: 200
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 500
	sigma: 0.5
	checkpoint_frequency: 0
	hof_size: 5
	mu: 20
brain
	type: CTRNN
	number_neurons: 10
	use_bias: True
	neuron_activation: relu
	neuron_activation_inplace: False
	delta_t: 0.1
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: learned
	v_mask_param: 95
	w_mask: learned
	w_mask_param: 90
	t_mask: learned
	t_mask_param: 95
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 5
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 242
Inputs: Box(8,)
Outputs: Discrete(4)
Commit: 8a001c9fdbb01a2bc401fa1b558b6778ad023887


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       500         -439.99         278.99          -2706.92        -83.14          
1       500         -455.77         265.38          -1473.78        -77.05          
2       500         -441.14         297.21          -2767.57        -70.36          
3       500         -440.41         259.81          -1418.23        -73.85          
4       500         -411.26         274.24          -2397.91        -75.00          
5       500         -370.03         264.92          -1651.05        -58.63          
6       500         -343.94         245.87          -1732.86        -79.86          
7       500         -342.73         252.07          -1380.66        -77.79          
8       500         -288.37         213.75          -1191.81        -50.64          
9       500         -271.23         223.51          -1222.00        -58.05          
10      500         -230.69         201.57          -1228.51        -75.91          
11      500         -206.58         167.00          -1031.55        -72.26          
12      500         -220.41         176.07          -1359.33        -60.81          
13      500         -213.76         168.00          -1122.58        -61.37          
14      500         -196.56         136.49          -724.89         -50.64          
15      500         -167.49         110.54          -779.06         -58.48          
16      500         -178.01         124.81          -899.33         -58.48          
17      500         -169.65         111.70          -656.05         -52.53          
18      500         -197.44         181.33          -1979.39        -68.37          
19      500         -173.52         122.23          -1163.48        -70.55          
20      500         -168.36         110.41          -759.42         -40.60          
21      500         -165.93         111.07          -1087.20        -71.19          
22      500         -161.94         95.65           -638.24         -62.44          
23      500         -159.02         97.31           -782.67         -51.54          
24      500         -167.48         111.24          -1183.07        -61.37          
25      500         -165.88         98.28           -906.32         -70.01          
26      500         -160.69         90.67           -633.75         -75.76          
27      500         -154.82         83.25           -1159.24        -68.82          
28      500         -145.69         62.83           -723.67         -77.41          
29      500         -156.40         83.55           -683.67         -40.60          
30      500         -152.52         87.50           -1034.71        -50.64          
31      500         -155.98         80.07           -580.07         -58.48          
32      500         -152.01         79.92           -689.52         -74.06          
33      500         -168.76         127.27          -1086.40        -82.70          
34      500         -172.84         133.96          -1051.47        -58.05          
35      500         -181.23         148.85          -1661.06        -58.63          
36      500         -156.58         102.70          -1056.02        -62.48          
37      500         -168.73         127.14          -1288.38        -59.44          
38      500         -153.47         83.91           -952.57         -62.44          
39      500         -160.70         95.83           -1084.21        -39.31          
40      500         -170.66         123.51          -1218.47        -52.53          
41      500         -173.95         122.92          -940.85         -73.69          
42      500         -168.47         113.08          -1019.58        -50.64          
43      500         -168.52         132.50          -1633.50        -68.41          
44      500         -166.57         130.53          -1345.50        -79.77          
45      500         -161.36         114.80          -1065.60        -52.53          
46      500         -158.49         119.21          -1750.17        -70.55          
47      500         -146.20         71.55           -765.81         -58.63          
48      500         -150.84         90.18           -895.86         -68.41          
49      500         -135.97         39.05           -514.56         -61.37          
50      500         -151.88         90.56           -783.40         -60.29          
51      500         -175.92         138.82          -1027.63        -71.19          
52      500         -162.78         105.85          -1190.14        -77.05          
53      500         -168.41         124.31          -999.37         -76.19          
54      500         -163.87         109.07          -914.91         -58.63          
55      500         -147.65         85.94           -1299.63        -59.38          
56      500         -172.53         117.35          -1394.91        -73.69          
57      500         -164.09         97.74           -727.99         -67.31          
58      500         -164.10         119.00          -1153.39        -63.39          
59      500         -160.84         96.67           -848.74         -30.56          
60      500         -168.18         117.52          -1202.87        -60.29          
61      500         -169.40         108.04          -773.83         -72.93          
62      500         -165.16         102.38          -686.92         -1.66           
63      500         -167.63         103.28          -818.56         -77.04          
64      500         -157.21         89.84           -974.77         -60.29          
65      500         -162.95         99.16           -873.09         -58.68          
66      500         -148.28         72.51           -1024.37        -50.64          
67      500         -143.85         53.20           -609.78         -62.44          
68      500         -145.65         59.03           -588.90         -58.63          
69      500         -142.42         54.53           -636.35         -60.29          
70      500         -133.81         29.83           -469.89         -1.66           
71      500         -133.77         31.15           -532.83         -61.47          
72      500         -134.36         27.05           -538.87         -71.53          
73      500         -134.48         38.99           -618.90         -60.98          
74      500         -133.61         29.90           -459.63         -51.54          
75      500         -131.96         20.18           -216.98         -60.98          
76      500         -132.08         19.10           -225.69         -64.80          
77      500         -132.61         20.63           -243.39         -74.18          
78      500         -136.59         33.20           -497.00         -71.16          
79      500         -136.06         33.99           -544.38         -63.53          
80      500         -133.80         28.82           -547.84         -79.24          
81      500         -135.09         30.32           -445.43         -67.20          
82      500         -132.97         32.92           -548.24         -1.66           
83      500         -138.10         52.65           -610.89         -1.66           
84      500         -132.90         40.54           -776.88         -38.81          
85      500         -136.03         31.96           -643.69         -67.31          
86      500         -136.30         43.08           -546.05         -67.31          
87      500         -135.43         43.80           -711.84         -63.74          
88      500         -132.42         25.38           -469.98         -46.45          
89      500         -134.13         26.50           -467.19         -76.81          
90      500         -133.05         20.72           -315.07         -71.16          
91      500         -133.84         27.05           -508.72         -74.79          
92      500         -133.41         38.21           -573.36         -70.55          
93      500         -139.45         59.63           -950.59         -82.28          
94      500         -144.64         73.25           -738.16         -75.91          
95      500         -144.22         77.17           -1118.45        -50.64          
96      500         -158.12         93.98           -803.96         -52.53          
97      500         -151.99         78.73           -772.58         -70.36          
98      500         -152.05         85.02           -706.41         -58.05          
99      500         -147.55         67.07           -749.01         -75.81          
100     500         -154.22         97.27           -1135.09        -51.54          
101     500         -155.94         121.97          -1602.58        -67.31          
102     500         -148.20         82.48           -1096.44        -60.29          
103     500         -144.23         59.55           -832.14         -79.41          
104     500         -140.42         51.76           -691.07         -68.67          
105     500         -139.33         36.14           -578.18         -50.64          
106     500         -137.38         48.58           -1049.41        -40.60          
107     500         -144.39         66.17           -1224.72        -68.37          
108     500         -138.24         43.05           -585.28         -57.85          
109     500         -141.78         63.11           -794.71         -51.54          
110     500         -137.23         47.90           -714.69         -60.98          
111     500         -138.84         54.56           -699.39         -51.54          
112     500         -139.70         60.09           -969.23         -40.60          
113     500         -143.10         73.52           -1052.91        -40.60          
114     500         -143.84         84.10           -1029.59        -67.97          
115     500         -148.94         79.29           -769.60         -75.76          
