environment: LunarLander-v2
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 400
	sigma: 0.1
	checkpoint_frequency: 0
	hof_size: 5
	mu: 5
brain
	type: CTRNN
	number_neurons: 10
	use_bias: True
	neuron_activation: tanh
	neuron_activation_inplace: False
	delta_t: 1.0
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: dense
	v_mask_param: 1
	w_mask: dense
	w_mask_param: 1
	t_mask: dense
	t_mask_param: 1
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 3
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 242
Inputs: Box(8,)
Outputs: Discrete(4)
Commit: 8a001c9fdbb01a2bc401fa1b558b6778ad023887


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       400         -493.00         312.18          -2520.73        -88.84          
1       400         -496.60         259.76          -2759.07        -68.05          
2       400         -404.58         318.51          -3655.33        -62.85          
3       400         -351.10         241.82          -1732.94        -32.74          
4       400         -312.91         208.97          -1641.92        19.19           
5       400         -325.16         277.25          -2095.74        -34.00          
6       400         -283.40         201.20          -1931.44        65.53           
7       400         -247.06         189.77          -1337.77        72.35           
8       400         -328.12         252.64          -2233.65        70.09           
9       400         -248.16         168.25          -848.56         5.82            
10      400         -246.49         167.00          -1271.07        93.58           
11      400         -227.03         159.16          -791.42         122.36          
12      400         -167.67         114.39          -832.07         138.28          
13      400         -185.45         141.24          -728.84         71.24           
14      400         -155.07         109.88          -665.59         175.17          
15      400         -167.95         130.53          -666.26         137.26          
16      400         -161.46         117.58          -700.87         97.01           
17      400         -184.16         159.00          -1612.97        65.40           
18      400         -217.20         167.77          -783.65         101.50          
19      400         -242.01         192.01          -714.79         120.23          
20      400         -230.58         178.95          -739.14         71.44           
21      400         -158.79         134.25          -720.67         129.58          
22      400         -111.06         92.86           -538.84         199.31          
23      400         -104.36         74.78           -443.90         137.67          
24      400         -129.78         97.38           -471.53         110.51          
25      400         -127.24         110.21          -600.75         177.12          
26      400         -156.12         129.46          -611.04         218.49          
27      400         -117.59         118.15          -486.86         241.05          
28      400         -151.15         137.66          -620.63         191.02          
29      400         -135.41         115.17          -630.68         161.66          
30      400         -192.55         129.78          -582.06         145.21          
31      400         -161.62         128.64          -522.17         156.85          
32      400         -136.80         121.92          -590.19         146.13          
33      400         -175.27         137.31          -581.80         253.34          
34      400         -121.61         115.90          -521.86         213.17          
35      400         -117.70         130.81          -586.15         218.27          
36      400         -137.63         141.84          -638.57         160.91          
37      400         -116.69         114.02          -632.95         159.08          
38      400         -122.37         127.70          -572.77         150.51          
39      400         -96.62          106.61          -529.92         222.40          
40      400         -107.88         126.88          -625.55         216.30          
41      400         -137.45         161.35          -670.26         242.40          
42      400         -167.77         150.16          -657.07         214.28          
43      400         -150.41         146.19          -869.28         170.25          
44      400         -108.07         120.61          -627.50         246.74          
45      400         -111.71         103.33          -407.74         229.52          
46      400         -117.40         104.46          -367.82         173.37          
47      400         -117.09         104.85          -415.36         266.86          
48      400         -155.32         134.95          -507.71         255.26          
49      400         -132.26         123.59          -441.38         245.16          
50      400         -137.13         120.98          -483.12         201.78          
51      400         -108.79         112.42          -469.75         261.66          
52      400         -75.07          114.13          -432.54         259.02          
53      400         -85.56          130.83          -485.21         251.33          
54      400         -61.52          125.43          -468.78         288.34          
55      400         -52.70          117.64          -435.45         273.23          
56      400         -73.07          136.21          -482.80         288.98          
57      400         -37.02          133.64          -537.35         252.52          
58      400         -34.57          140.38          -444.56         251.72          
59      400         -48.80          135.86          -485.51         299.24          
60      400         -72.05          169.72          -523.92         276.78          
61      400         -106.95         166.67          -587.59         246.58          
62      400         -113.84         189.69          -575.65         274.03          
63      400         -38.46          164.33          -510.83         275.44          
64      400         -27.27          180.50          -628.76         286.08          
65      400         -19.62          177.65          -616.43         278.02          
66      400         16.11           156.59          -588.67         277.64          
67      400         -9.79           180.12          -591.45         274.57          
68      400         -47.70          183.08          -646.22         285.75          
69      400         16.72           150.86          -575.71         291.61          
70      400         8.70            171.42          -556.65         270.37          
71      400         22.43           142.42          -559.99         287.90          
72      400         3.93            155.59          -600.27         285.15          
73      400         13.97           156.23          -561.52         299.61          
74      400         8.08            164.46          -687.90         285.74          
75      400         24.27           171.38          -657.45         284.88          
76      400         28.89           139.25          -550.66         291.35          
77      400         40.51           127.37          -485.89         291.28          
78      400         20.55           129.30          -586.18         280.91          
79      400         61.37           115.20          -311.37         295.84          
80      400         67.04           131.30          -506.07         283.68          
81      400         68.31           142.91          -542.82         283.42          
82      400         14.09           142.35          -617.12         292.00          
83      400         -0.90           145.36          -506.29         295.15          
84      400         -19.97          170.31          -650.33         286.94          
85      400         29.09           148.09          -572.05         294.64          
86      400         82.43           145.11          -674.66         297.26          
87      400         101.88          120.59          -280.49         296.70          
88      400         75.61           133.98          -350.62         292.57          
89      400         68.11           144.31          -385.18         285.26          
90      400         89.72           129.51          -338.26         302.82          
91      400         106.77          127.49          -530.75         297.67          
92      400         132.96          111.53          -414.94         298.28          
