environment: LunarLander-v2
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: CMA_ES
	population_size: 400
	sigma: 0.02
	checkpoint_frequency: 0
	hof_size: 5
	mu: 5
brain
	type: CTRNN
	number_neurons: 5
	use_bias: True
	neuron_activation: relu
	neuron_activation_inplace: False
	delta_t: 1.2
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: dense
	v_mask_param: 1
	w_mask: dense
	w_mask_param: 1
	t_mask: dense
	t_mask_param: 1
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 3
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 97
Inputs: Box(8,)
Outputs: Discrete(4)
Commit: 8a001c9fdbb01a2bc401fa1b558b6778ad023887


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       400         -474.13         278.30          -2513.11        -60.76          
1       400         -370.49         233.90          -1698.99        -26.82          
2       400         -331.08         272.12          -2073.25        47.05           
3       400         -324.14         212.70          -1586.80        92.29           
4       400         -293.23         181.31          -1314.11        -2.95           
5       400         -290.21         176.83          -813.48         33.85           
6       400         -290.32         184.65          -1456.31        0.51            
7       400         -284.24         152.14          -879.61         14.05           
8       400         -238.93         147.72          -730.91         4.32            
9       400         -211.72         142.35          -846.52         24.18           
10      400         -207.80         124.47          -656.25         0.19            
11      400         -191.92         122.77          -666.27         35.07           
12      400         -168.19         110.27          -579.12         -3.70           
13      400         -134.09         83.32           -593.47         238.38          
14      400         -165.72         98.41           -544.55         133.12          
15      400         -206.46         119.77          -687.62         22.89           
16      400         -196.52         120.89          -658.10         30.59           
17      400         -152.42         94.27           -629.67         18.08           
18      400         -153.46         99.77           -531.66         52.67           
19      400         -150.18         89.43           -439.76         71.34           
20      400         -143.86         103.63          -612.17         137.59          
21      400         -213.73         134.42          -687.21         76.85           
22      400         -218.61         144.26          -662.39         86.86           
23      400         -234.17         143.68          -689.49         67.90           
24      400         -167.80         116.40          -549.11         83.47           
25      400         -181.20         122.65          -550.00         156.75          
26      400         -197.28         142.10          -616.84         149.27          
27      400         -189.09         141.60          -658.11         130.16          
28      400         -160.82         164.38          -1152.39        230.73          
29      400         -158.41         191.58          -1431.11        232.07          
30      400         -127.40         172.68          -706.27         264.88          
31      400         -70.11          169.05          -848.30         272.75          
32      400         -163.05         201.71          -1063.96        242.82          
33      400         -110.15         189.78          -821.66         254.54          
34      400         -150.74         198.21          -1249.14        254.59          
35      400         -128.21         205.06          -1099.10        263.96          
36      400         -168.06         193.10          -638.88         268.50          
37      400         -120.10         193.49          -616.24         262.60          
38      400         -127.60         181.03          -626.07         266.97          
39      400         -169.54         178.37          -671.77         264.88          
40      400         -129.87         166.06          -664.95         253.24          
41      400         -123.01         168.60          -605.84         268.84          
42      400         -155.12         166.95          -617.80         258.99          
43      400         -165.97         173.19          -686.80         257.62          
44      400         -118.21         167.65          -625.21         257.23          
45      400         -156.25         178.97          -621.76         251.15          
46      400         -164.54         190.82          -735.70         257.49          
47      400         -155.00         203.39          -694.06         266.51          
48      400         -108.66         188.21          -690.04         272.59          
49      400         -116.75         178.31          -633.78         271.20          
50      400         -97.14          158.61          -637.52         259.08          
51      400         -72.24          144.66          -596.18         279.16          
52      400         -54.55          149.24          -580.70         290.28          
53      400         -65.43          183.27          -741.41         270.71          
54      400         -130.09         185.20          -658.02         289.06          
55      400         -150.41         191.43          -628.05         274.71          
56      400         -177.61         204.97          -681.37         278.18          
57      400         -177.71         210.86          -653.44         254.34          
58      400         -125.17         207.11          -643.36         297.37          
59      400         -43.21          174.15          -610.54         302.42          
60      400         -66.00          177.90          -550.65         301.28          
61      400         -33.10          158.14          -515.94         283.78          
62      400         33.52           135.30          -379.34         282.95          
63      400         0.41            150.61          -431.91         279.33          
64      400         -13.43          158.89          -554.07         292.38          
65      400         33.55           143.41          -401.56         288.20          
66      400         -16.15          172.59          -584.57         288.54          
67      400         2.88            163.39          -498.39         289.79          
68      400         8.05            156.46          -496.78         296.11          
69      400         7.88            158.76          -544.72         288.41          
70      400         50.58           132.31          -416.18         301.60          
71      400         49.77           130.68          -518.67         290.32          
72      400         31.71           133.91          -430.10         280.60          
73      400         57.12           128.25          -340.88         294.49          
74      400         75.66           138.73          -389.83         304.27          
75      400         65.92           127.36          -329.86         291.30          
76      400         45.26           144.86          -432.27         307.05          
77      400         87.69           134.47          -589.80         296.96          
78      400         67.73           209.32          -2625.96        292.89          
79      400         115.51          133.07          -786.97         296.16          
80      400         86.20           176.26          -736.59         293.16          
81      400         103.80          168.02          -1675.17        293.44          
82      400         102.01          133.12          -892.67         301.59          
83      400         119.79          122.66          -323.77         295.92          
84      400         126.44          130.98          -411.28         297.80          
85      400         92.91           138.25          -386.83         286.68          
86      400         -0.46           317.55          -3376.54        287.48          
87      400         63.93           178.79          -1134.41        288.57          
88      400         63.76           191.70          -1275.28        294.51          
89      400         55.57           160.95          -902.34         289.94          
90      400         59.16           146.78          -1322.16        288.83          
91      400         47.74           168.83          -1574.99        293.48          
92      400         17.86           172.39          -1353.65        299.05          
93      400         23.10           132.63          -482.02         292.79          
94      400         30.85           185.58          -1531.95        293.81          
95      400         65.82           212.61          -2008.81        307.64          
96      400         76.22           297.13          -3609.58        296.89          
97      400         20.38           317.58          -1795.45        299.17          
98      400         61.16           228.20          -1831.44        297.99          
99      400         75.33           215.03          -971.62         299.29          
100     400         117.18          133.52          -479.35         299.04          

Time elapsed: 1171.2129 seconds
