environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 20
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 100
	mu: 20
	extra_from_hof: 0
	lambda_: 1000
	mutpb: 0.8
	efficiency_weight: 0.1
novelty
	behavioral_interval: 1
	behavioral_max_length: 100
	behavior_from_observation: True
	distance: NCD
	max_recorded_behaviors: 30
	recorded_behaviors_per_generation: 3
	novelty_nearest_k: 5
	novelty_weight: 1.0
brain
	type: CTRNN
	number_neurons: 40
	use_bias: True
	neuron_activation: relu
	neuron_activation_inplace: False
	delta_t: 1.5
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 16
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 4828
Inputs: Box(32, 32)
Outputs: Discrete(6)
Commit: 5b8b659cbe3f9b8c62fa75fe64aba52103be260a


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1023        146.25          35.60           100.00          225.00          
1       1026        142.50          11.46           125.00          150.00          
2       1029        148.75          5.45            125.00          150.00          
3       1032        150.00          0.00            150.00          150.00          
4       1035        161.25          16.72           150.00          200.00          
5       1038        157.50          16.01           150.00          200.00          
6       1041        160.00          12.25           150.00          175.00          
7       1044        177.50          19.20           150.00          225.00          
8       1047        181.25          10.83           175.00          200.00          
9       1050        197.50          10.90           175.00          225.00          
10      1053        196.25          8.93            175.00          200.00          
11      1053        200.00          0.00            200.00          200.00          
12      1053        198.75          5.45            175.00          200.00          
13      1053        200.00          0.00            200.00          200.00          
14      1053        200.00          0.00            200.00          200.00          
15      1053        200.00          0.00            200.00          200.00          
16      1053        200.00          0.00            200.00          200.00          
17      1053        200.00          0.00            200.00          200.00          
18      1053        200.00          0.00            200.00          200.00          
19      1053        200.00          0.00            200.00          200.00          
20      1053        200.00          0.00            200.00          200.00          
21      1053        200.00          0.00            200.00          200.00          
22      1053        203.75          8.93            200.00          225.00          
23      1053        207.50          11.46           200.00          225.00          
24      1053        208.75          11.92           200.00          225.00          
25      1053        207.50          11.46           200.00          225.00          
26      1053        206.25          10.83           200.00          225.00          
27      1053        210.00          12.25           200.00          225.00          
28      1053        220.00          10.00           200.00          225.00          
29      1053        216.25          11.92           200.00          225.00          
30      1053        213.75          12.44           200.00          225.00          
31      1053        217.50          11.46           200.00          225.00          
32      1053        218.75          13.40           175.00          225.00          
33      1053        208.75          14.31           175.00          225.00          
34      1053        208.75          11.92           200.00          225.00          
35      1053        203.75          8.93            200.00          225.00          
36      1053        211.25          12.44           200.00          225.00          
37      1053        217.50          11.46           200.00          225.00          
38      1053        211.25          20.12           150.00          225.00          
39      1053        222.50          10.90           175.00          225.00          
40      1053        215.00          20.00           150.00          225.00          
41      1053        220.00          15.00           175.00          225.00          
42      1053        223.75          5.45            200.00          225.00          
43      1053        212.50          26.81           150.00          225.00          
44      1053        220.00          10.00           200.00          225.00          
45      1053        216.25          22.74           150.00          225.00          
46      1053        226.25          5.45            225.00          250.00          
47      1053        220.00          16.96           150.00          225.00          
48      1053        215.00          24.24           150.00          225.00          
49      1053        217.50          22.50           150.00          225.00          
50      1053        221.25          16.35           150.00          225.00          
51      1053        223.75          5.45            200.00          225.00          
52      1053        223.75          5.45            200.00          225.00          
53      1053        216.25          18.16           150.00          225.00          
54      1053        222.50          7.50            200.00          225.00          
55      1053        212.50          30.10           125.00          225.00          
56      1053        225.00          0.00            225.00          225.00          
57      1053        221.25          16.35           150.00          225.00          
58      1053        212.50          26.81           150.00          225.00          
59      1053        220.00          16.96           150.00          225.00          
60      1053        225.00          0.00            225.00          225.00          
61      1053        225.00          0.00            225.00          225.00          
62      1053        221.25          16.35           150.00          225.00          
63      1053        213.75          23.01           150.00          225.00          
64      1053        225.00          0.00            225.00          225.00          
65      1053        223.75          5.45            200.00          225.00          
66      1053        225.00          0.00            225.00          225.00          
67      1053        216.25          22.74           150.00          225.00          
68      1053        217.50          11.46           200.00          225.00          
69      1053        221.25          8.93            200.00          225.00          
70      1053        221.25          11.92           175.00          225.00          
71      1053        225.00          0.00            225.00          225.00          
72      1053        225.00          0.00            225.00          225.00          
73      1053        222.50          15.61           175.00          250.00          
74      1053        218.75          13.40           175.00          225.00          
