environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 20
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 100
	mu: 20
	extra_from_hof: 0
	lambda_: 1000
	mutpb: 0.8
	efficiency_weight: 0.1
novelty
	behavioral_interval: 1
	behavioral_max_length: 100
	behavior_from_observation: True
	distance: NCD
	max_recorded_behaviors: 30
	recorded_behaviors_per_generation: 3
	novelty_nearest_k: 5
	novelty_weight: 1.0
brain
	type: CTRNN
	number_neurons: 40
	use_bias: True
	neuron_activation: relu
	neuron_activation_inplace: False
	delta_t: 1.0
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 4
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 6882
Inputs: Box(32, 32)
Outputs: Discrete(6)
Commit: 5b8b659cbe3f9b8c62fa75fe64aba52103be260a


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1023        132.50          17.85           125.00          175.00          
1       1026        155.00          26.93           125.00          225.00          
2       1029        157.50          26.34           125.00          200.00          
3       1032        157.50          29.69           125.00          225.00          
4       1035        141.25          21.32           125.00          200.00          
5       1038        163.75          34.89           125.00          225.00          
6       1041        180.00          37.58           125.00          250.00          
7       1044        202.50          46.03           150.00          275.00          
8       1047        231.25          48.01           150.00          300.00          
9       1050        218.75          41.74           175.00          325.00          
10      1053        222.50          40.23           150.00          325.00          
11      1053        211.25          41.44           150.00          275.00          
12      1053        200.00          36.23           150.00          250.00          
13      1053        205.00          35.00           125.00          250.00          
14      1053        240.00          68.65           125.00          325.00          
15      1053        193.75          53.55           150.00          300.00          
16      1053        171.25          21.32           125.00          200.00          
17      1053        197.50          35.27           150.00          275.00          
18      1053        241.25          70.39           150.00          400.00          
19      1053        210.00          37.42           125.00          275.00          
20      1053        215.00          51.48           125.00          275.00          
21      1053        218.75          45.33           150.00          300.00          
22      1053        190.00          32.98           125.00          250.00          
23      1053        221.25          29.87           175.00          275.00          
24      1053        251.25          37.48           150.00          325.00          
25      1053        225.00          52.44           125.00          325.00          
26      1053        258.75          32.86           175.00          350.00          
27      1053        270.00          12.75           225.00          275.00          
28      1053        246.25          52.60           150.00          325.00          
29      1053        251.25          77.25           125.00          475.00          
30      1053        258.75          44.21           200.00          350.00          
31      1053        232.50          44.09           150.00          275.00          
32      1053        246.25          50.17           175.00          325.00          
33      1053        243.75          58.56           150.00          325.00          
34      1053        257.50          48.15           150.00          325.00          
35      1053        258.75          42.77           175.00          350.00          
36      1053        287.50          58.36           150.00          400.00          
37      1053        261.25          51.52           150.00          325.00          
38      1053        282.50          50.68           175.00          325.00          
39      1053        248.75          49.67           125.00          325.00          
40      1053        243.75          55.27           150.00          325.00          
41      1053        291.25          77.97           125.00          425.00          
42      1053        238.75          30.08           175.00          300.00          
43      1053        248.75          40.68           150.00          300.00          
44      1053        256.25          62.19           150.00          375.00          
45      1053        232.50          28.61           175.00          275.00          
46      1053        236.25          47.75           150.00          325.00          
47      1053        245.00          29.15           200.00          300.00          
48      1053        237.50          42.94           150.00          300.00          
49      1053        267.50          39.61           200.00          325.00          
50      1053        255.00          37.58           175.00          325.00          
51      1053        261.25          36.64           175.00          325.00          
52      1053        261.25          42.92           200.00          350.00          
53      1053        270.00          12.75           250.00          300.00          
54      1053        248.75          21.61           200.00          300.00          
55      1053        256.25          33.42           200.00          300.00          
56      1053        266.25          32.86           200.00          325.00          
57      1053        256.25          29.45           175.00          325.00          
58      1053        262.50          20.16           200.00          300.00          
59      1053        266.25          28.80           200.00          325.00          
60      1053        267.50          28.61           200.00          325.00          
61      1053        275.00          34.46           225.00          325.00          
62      1053        278.75          28.80           200.00          350.00          
63      1053        282.50          46.17           200.00          425.00          
64      1053        272.50          36.14           200.00          325.00          
65      1053        247.50          30.52           175.00          300.00          
66      1053        271.25          30.90           200.00          350.00          
67      1053        290.00          28.94           275.00          400.00          
68      1053        288.75          18.50           250.00          325.00          
69      1053        298.75          68.23           200.00          450.00          
70      1053        281.25          23.55           250.00          325.00          
71      1053        280.00          35.00           200.00          325.00          
72      1053        286.25          35.77           225.00          400.00          
73      1053        317.50          42.65           250.00          400.00          
74      1053        268.75          26.07           225.00          325.00          
75      1053        266.25          34.71           175.00          325.00          
76      1053        266.25          29.87           175.00          300.00          
77      1053        263.75          26.78           200.00          300.00          
78      1053        271.25          34.71           200.00          325.00          
79      1053        300.00          55.34           225.00          450.00          
80      1053        286.25          33.05           200.00          325.00          
81      1053        283.75          32.86           225.00          325.00          
82      1053        312.50          55.06           250.00          450.00          
83      1053        283.75          29.87           225.00          325.00          
84      1053        270.00          36.74           225.00          325.00          
85      1053        270.00          33.17           175.00          325.00          
86      1053        300.00          0.00            300.00          300.00          
87      1053        308.75          25.34           250.00          325.00          
88      1053        292.50          31.72           225.00          325.00          
89      1053        291.25          33.80           225.00          325.00          
90      1053        300.00          31.62           225.00          325.00          
91      1053        316.25          18.16           250.00          325.00          
92      1053        312.50          16.77           275.00          325.00          
93      1053        318.75          10.83           300.00          325.00          
94      1053        308.75          11.92           300.00          325.00          
95      1053        306.25          17.46           250.00          325.00          
96      1053        312.50          14.79           275.00          325.00          
97      1053        325.00          0.00            325.00          325.00          
98      1053        311.25          23.01           225.00          325.00          
99      1053        320.00          16.96           250.00          325.00          
100     1053        322.50          27.27           275.00          425.00          

Time elapsed: 8929.9736 seconds
