environment: QbertNoFrameskip-v4
random_seed: 0
number_generations: 100
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 20
	checkpoint_frequency: 10
	initial_gene_range: 2
	tournsize: 100
	mu: 20
	extra_from_hof: 0
	lambda_: 1000
	mutpb: 0.8
	efficiency_weight: 0.1
novelty
	behavioral_interval: 1
	behavioral_max_length: 100
	behavior_from_observation: True
	distance: NCD
	max_recorded_behaviors: 30
	recorded_behaviors_per_generation: 3
	novelty_nearest_k: 5
	novelty_weight: 1.0
brain
	type: CTRNN
	number_neurons: 40
	use_bias: True
	neuron_activation: tanh
	neuron_activation_inplace: False
	delta_t: 1.5
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 16
	w_mask: logarithmic
	w_mask_param: 4
	t_mask: logarithmic
	t_mask_param: 4
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True

Genome Size: 4828
Inputs: Box(32, 32)
Outputs: Discrete(6)
Commit: 5b8b659cbe3f9b8c62fa75fe64aba52103be260a


--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       1023        150.00          38.73           125.00          250.00          
1       1026        147.50          38.65           125.00          250.00          
2       1029        142.50          23.85           125.00          200.00          
3       1032        151.25          26.78           125.00          200.00          
4       1035        147.50          22.22           125.00          175.00          
5       1038        176.25          25.59           125.00          225.00          
6       1041        188.75          37.48           125.00          250.00          
7       1044        170.00          35.00           125.00          250.00          
8       1047        165.00          31.02           125.00          250.00          
9       1050        176.25          24.33           125.00          225.00          
10      1053        186.25          37.48           125.00          275.00          
11      1053        202.50          37.83           125.00          300.00          
12      1053        210.00          45.00           150.00          275.00          
13      1053        211.25          33.98           150.00          275.00          
14      1053        213.75          42.19           150.00          275.00          
15      1053        215.00          45.69           150.00          275.00          
16      1053        241.25          73.86           150.00          425.00          
17      1053        208.75          63.38           150.00          400.00          
18      1053        226.25          46.42           175.00          375.00          
19      1053        210.00          24.24           150.00          250.00          
20      1053        208.75          50.17           150.00          300.00          
21      1053        210.00          50.87           150.00          350.00          
22      1053        198.75          36.64           150.00          300.00          
23      1053        210.00          33.91           150.00          250.00          
24      1053        216.25          29.87           150.00          300.00          
25      1053        240.00          52.68           150.00          375.00          
26      1053        245.00          55.11           150.00          350.00          
27      1053        250.00          57.01           175.00          350.00          
28      1053        216.25          32.86           150.00          275.00          
29      1053        255.00          39.21           200.00          350.00          
30      1053        267.50          82.58           200.00          475.00          
31      1053        207.50          41.91           150.00          300.00          
32      1053        223.75          54.47           150.00          325.00          
33      1053        583.75          981.62          175.00          3525.00         
34      1053        273.75          61.48           175.00          350.00          
35      1053        278.75          56.61           200.00          375.00          
36      1053        255.00          60.00           175.00          375.00          
37      1053        268.75          58.03           150.00          350.00          
38      1053        230.00          30.21           175.00          250.00          
39      1053        222.50          46.03           150.00          350.00          
40      1053        268.75          66.56           175.00          425.00          
41      1053        268.75          52.96           175.00          350.00          
42      1053        241.25          47.61           150.00          375.00          
43      1053        298.75          59.41           200.00          400.00          
44      1053        241.25          52.60           175.00          325.00          
45      1053        282.50          50.68           200.00          400.00          
46      1053        261.25          50.30           150.00          350.00          
47      1053        296.25          51.40           225.00          375.00          
48      1053        313.75          80.42           200.00          450.00          
49      1053        313.75          81.96           200.00          475.00          
50      1053        325.00          70.71           200.00          425.00          
51      1053        276.25          61.48           200.00          400.00          
52      1053        242.50          48.15           175.00          375.00          
53      1053        231.25          45.33           175.00          350.00          
54      1053        265.00          60.93           175.00          350.00          
55      1053        267.50          53.68           175.00          350.00          
56      1053        286.25          65.90           150.00          375.00          
57      1053        286.25          58.88           150.00          350.00          
58      1053        335.00          25.50           250.00          350.00          
59      1053        293.75          48.01           200.00          350.00          
60      1053        457.50          643.24          150.00          3250.00         
61      1053        332.50          34.55           225.00          350.00          
62      1053        638.75          954.48          200.00          3500.00         
63      1053        316.25          48.91           200.00          350.00          
64      1053        328.75          27.70           275.00          350.00          
65      1053        338.75          20.12           275.00          350.00          
66      1053        335.00          16.58           300.00          350.00          
67      1053        343.75          37.81           200.00          400.00          
68      1053        318.75          27.24           250.00          350.00          
69      1053        751.25          1008.26         200.00          3150.00         
70      1053        313.75          44.35           225.00          350.00          
71      1053        325.00          30.62           225.00          350.00          
72      1053        325.00          45.41           200.00          350.00          
73      1053        456.25          642.69          200.00          3250.00         
74      1053        336.25          14.74           300.00          350.00          
75      1053        493.75          672.63          300.00          3425.00         
76      1053        355.00          40.00           300.00          450.00          
77      1053        650.00          908.36          325.00          3375.00         
78      1053        498.75          648.39          350.00          3325.00         
79      1053        497.50          648.70          325.00          3325.00         
80      1053        341.25          22.74           275.00          350.00          
81      1053        348.75          5.45            325.00          350.00          
82      1053        348.75          5.45            325.00          350.00          
83      1053        778.75          1035.32         325.00          3375.00         
84      1053        903.75          1120.05         325.00          3150.00         
85      1053        787.50          1044.97         325.00          3275.00         
86      1053        346.25          8.93            325.00          350.00          
87      1053        348.75          5.45            325.00          350.00          
88      1053        343.75          10.83           325.00          350.00          
89      1053        346.25          8.93            325.00          350.00          
90      1053        353.75          22.74           325.00          450.00          
91      1053        1228.75         1348.43         325.00          3425.00         
92      1053        488.75          610.76          300.00          3150.00         
93      1053        621.25          868.52          200.00          3225.00         
94      1053        348.75          5.45            325.00          350.00          
95      1053        497.50          642.94          350.00          3300.00         
96      1053        631.25          847.93          325.00          3175.00         
97      1053        348.75          5.45            325.00          350.00          
98      1053        348.75          5.45            325.00          350.00          
99      1053        347.50          7.50            325.00          350.00          
100     1053        348.75          5.45            325.00          350.00          

Time elapsed: 8390.2492 seconds
