environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.3
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.02
	mutation_Gaussian_indpb_3: 0.002
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.05
	lambda_: 0.9
	mutpb: 0.95
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 20
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 470
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -106.09         2.46            -110.06         -103.59         
1       95          -105.83         2.07            -109.34         -103.52         
2       95          -103.91         2.56            -107.52         -99.86          
3       95          -103.40         2.88            -107.27         -100.01         
4       95          -100.48         1.10            -101.95         -99.33          
5       95          -99.83          0.20            -100.06         -99.63          
6       95          -99.51          0.27            -99.78          -99.11          
7       95          -99.56          0.27            -99.87          -99.17          
8       95          -99.74          0.24            -100.03         -99.32          
9       95          -99.37          0.32            -99.60          -98.80          
10      95          -99.37          0.50            -100.35         -99.01          
11      95          -99.67          0.39            -100.12         -98.95          
12      95          -100.06         0.54            -100.92         -99.44          
13      95          -99.59          0.63            -100.14         -98.82          
14      95          -99.86          0.52            -100.43         -98.89          
15      95          -99.40          0.30            -99.85          -99.05          
16      95          -99.27          0.18            -99.50          -98.99          
17      95          -99.52          0.39            -99.91          -98.79          
18      95          -99.14          0.51            -100.12         -98.69          
19      95          -99.40          0.60            -100.38         -98.68          
20      95          -91.57          16.61           -100.16         -58.35          
21      95          -92.19          17.36           -101.74         -57.50          
22      95          -95.14          9.45            -101.20         -76.29          
23      95          -90.12          11.37           -99.81          -76.21          
24      95          -83.33          20.63           -102.03         -58.10          
25      95          -99.59          0.29            -99.97          -99.13          
26      95          -99.44          0.77            -100.78         -98.67          
27      95          -99.92          0.43            -100.43         -99.29          
28      95          -99.81          0.35            -100.40         -99.32          
29      95          -99.47          0.52            -100.37         -98.91          
30      95          -99.98          0.48            -100.68         -99.44          
31      95          -99.05          0.47            -99.80          -98.36          
32      95          -99.71          0.76            -100.82         -99.00          
33      95          -99.46          1.36            -102.12         -98.34          
34      95          -99.05          0.20            -99.43          -98.83          
35      95          -99.28          0.55            -100.02         -98.61          
36      95          -99.30          0.72            -100.49         -98.55          
37      95          -98.79          0.07            -98.90          -98.71          
38      95          -98.75          0.47            -99.66          -98.40          
39      95          -99.19          1.31            -101.77         -98.28          
40      95          -99.01          0.42            -99.81          -98.63          
41      95          -98.94          0.50            -99.49          -98.26          
42      95          -99.43          1.49            -102.40         -98.55          
43      95          -98.93          0.25            -99.17          -98.62          
44      95          -98.78          0.57            -99.37          -97.89          
45      95          -99.61          0.44            -100.20         -99.05          
46      95          -97.75          2.75            -100.18         -92.39          
47      95          -98.22          0.65            -98.98          -97.02          
48      95          -98.43          1.44            -99.76          -95.72          
49      95          -99.30          1.57            -101.00         -96.77          
50      95          -99.98          1.82            -102.46         -98.41          

Time elapsed: 92.7528 seconds
