environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.3
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.02
	mutation_Gaussian_indpb_3: 0.002
	elitist_ratio: 0.1
	tournsize: 5
	mu: 0.1
	lambda_: 0.7
	mutpb: 0.95
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 10
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 496
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       170         -105.93         4.34            -115.08         -101.37         
1       80          -103.03         3.62            -113.09         -100.70         
2       80          -100.41         0.47            -101.34         -99.71          
3       80          -98.24          6.12            -102.73         -80.07          
4       80          -100.00         0.46            -101.31         -99.63          
5       80          -99.80          0.18            -100.16         -99.66          
6       80          -99.61          0.09            -99.74          -99.48          
7       80          -99.56          0.11            -99.72          -99.44          
8       80          -99.50          0.08            -99.62          -99.39          
9       80          -99.37          0.23            -99.67          -98.95          
10      80          -99.47          0.12            -99.79          -99.34          
11      80          -99.38          0.09            -99.53          -99.20          
12      80          -99.44          0.33            -100.42         -99.24          
13      80          -99.26          0.07            -99.40          -99.14          
14      80          -99.39          0.22            -99.95          -99.26          
15      80          -99.31          0.07            -99.42          -99.17          
16      80          -99.50          0.23            -99.96          -99.30          
17      80          -99.33          0.07            -99.42          -99.22          
18      80          -99.39          0.20            -99.87          -99.26          
19      80          -99.38          0.26            -100.12         -99.16          
20      80          -99.20          0.23            -99.68          -98.80          
21      80          -99.18          0.28            -99.69          -98.82          
22      80          -99.01          0.23            -99.43          -98.68          
23      80          -99.09          0.13            -99.28          -98.79          
24      80          -98.89          0.13            -99.05          -98.71          
25      80          -98.77          0.07            -98.87          -98.67          
26      80          -98.54          0.32            -98.92          -97.93          
27      80          -98.36          0.37            -98.88          -97.94          
28      80          -98.72          1.43            -102.84         -97.88          
29      80          -97.67          0.80            -98.72          -96.13          
30      80          -97.42          1.08            -98.86          -95.73          
31      80          -96.61          1.36            -98.29          -94.75          
32      80          -96.52          1.02            -98.69          -95.62          
33      80          -96.06          0.61            -97.76          -95.57          
34      80          -95.87          0.32            -96.67          -95.57          
35      80          -97.67          5.88            -115.28         -95.13          
36      80          -95.53          0.19            -95.86          -95.30          
37      80          -95.57          0.18            -95.86          -95.30          
38      80          -95.68          0.17            -95.92          -95.35          
39      80          -97.85          4.94            -111.44         -95.03          
40      80          -95.69          0.14            -95.83          -95.37          
41      80          -95.58          0.28            -96.05          -95.11          
42      80          -95.68          0.19            -95.95          -95.35          
43      80          -95.65          0.24            -96.14          -95.33          
44      80          -95.47          0.15            -95.68          -95.22          
45      80          -95.66          0.25            -96.12          -95.39          
46      80          -95.74          0.21            -96.16          -95.56          
47      80          -95.67          0.11            -95.81          -95.45          
48      80          -95.60          0.12            -95.91          -95.50          
49      80          -95.71          0.28            -96.15          -95.30          
50      80          -95.65          0.39            -96.66          -95.29          

Time elapsed: 71.5485 seconds
