environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.2
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.01
	mutation_Gaussian_indpb_3: 0.002
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.1
	lambda_: 0.9
	mutpb: 0.99
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 10
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 272
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -109.39         4.16            -114.84         -102.20         
1       100         -107.34         2.61            -111.31         -103.31         
2       100         -106.46         2.00            -109.62         -102.56         
3       100         -103.87         1.51            -106.76         -102.56         
4       100         -103.17         1.36            -106.98         -101.83         
5       100         -102.73         0.57            -103.43         -101.83         
6       100         -103.03         0.39            -103.43         -102.56         
7       100         -102.76         0.47            -103.43         -101.84         
8       100         -102.72         0.55            -103.31         -101.83         
9       100         -103.02         0.36            -103.33         -102.56         
10      100         -102.81         1.53            -107.01         -101.83         
11      100         -102.47         0.67            -103.43         -101.83         
12      100         -103.11         0.37            -103.43         -102.56         
13      100         -103.21         1.35            -106.76         -101.83         
14      100         -102.64         0.62            -103.38         -101.83         
15      100         -102.62         0.66            -103.33         -101.83         
16      100         -103.23         0.23            -103.43         -102.57         
17      100         -102.44         0.75            -103.87         -101.81         
18      100         -102.52         0.65            -103.32         -101.83         
19      100         -102.94         0.55            -103.43         -101.84         
20      100         -102.66         0.68            -103.67         -101.83         
21      100         -103.20         1.47            -106.99         -101.83         
22      100         -102.68         0.62            -103.43         -101.83         
23      100         -102.27         0.59            -103.30         -101.81         
24      100         -102.75         0.48            -103.43         -101.83         
25      100         -102.05         0.48            -103.33         -101.83         
26      100         -102.79         0.57            -103.43         -101.84         
27      100         -103.05         0.61            -103.45         -101.83         
28      100         -102.12         0.36            -102.67         -101.83         
29      100         -102.30         0.62            -103.43         -101.83         
30      100         -103.43         1.29            -107.01         -101.83         
31      100         -103.19         1.44            -107.01         -101.83         
32      100         -102.32         0.52            -103.31         -101.83         
33      100         -102.34         0.58            -103.33         -101.83         
34      100         -102.37         0.62            -103.43         -101.84         
35      100         -101.98         0.29            -102.56         -101.82         
36      100         -102.65         0.63            -103.43         -101.83         
37      100         -102.81         0.68            -103.44         -101.83         
38      100         -101.83         0.00            -101.84         -101.83         
39      100         -102.20         0.50            -103.32         -101.83         
40      100         -103.25         1.34            -106.99         -101.83         
41      100         -102.06         0.36            -102.78         -101.83         
42      100         -102.20         0.45            -102.78         -101.81         
43      100         -102.89         0.39            -103.43         -102.56         
44      100         -102.27         0.51            -103.43         -101.83         
45      100         -101.83         0.00            -101.84         -101.83         
46      100         -102.80         0.67            -103.43         -101.84         
47      100         -102.20         0.37            -102.67         -101.83         
48      100         -101.83         0.00            -101.84         -101.83         
49      100         -102.20         0.49            -103.31         -101.83         
50      100         -102.62         0.60            -103.43         -101.83         

Time elapsed: 39.7006 seconds
