environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 3
	mate_indpb_1: 0.3
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.05
	mutation_Gaussian_indpb_3: 0.005
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.1
	lambda_: 0.9
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 330
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -100.88         4.36            -108.14         -94.20          
1       100         -97.75          2.63            -103.24         -94.78          
2       100         -96.01          2.24            -100.55         -93.81          
3       100         -94.65          1.05            -97.39          -93.83          
4       100         -87.22          21.12           -96.25          -23.97          
5       100         -79.62          29.29           -97.94          -21.22          
6       100         -72.40          34.50           -102.78         -18.74          
7       100         -85.91          21.35           -95.90          -22.25          
8       100         -92.27          2.06            -94.10          -88.22          
9       100         -92.61          1.58            -93.85          -88.41          
10      100         -92.81          0.86            -93.78          -90.55          
11      100         -92.32          1.89            -96.64          -89.00          
12      100         -92.34          2.12            -95.03          -88.66          
13      100         -90.21          2.67            -96.02          -87.35          
14      100         -91.21          3.48            -98.21          -88.12          
15      100         -90.03          2.79            -97.63          -87.85          
16      100         -90.36          1.66            -93.63          -88.65          
17      100         -92.05          2.84            -96.74          -88.72          
18      100         -90.30          3.20            -97.77          -88.41          
19      100         -89.19          0.68            -90.68          -88.31          
20      100         -89.49          1.40            -93.36          -88.67          
21      100         -89.82          2.32            -96.29          -87.60          
22      100         -90.80          3.57            -97.19          -87.54          
23      100         -91.11          3.15            -95.83          -87.84          
24      100         -89.28          2.33            -95.95          -87.19          
25      100         -89.51          3.47            -96.77          -87.15          
26      100         -88.68          0.75            -90.29          -87.45          
27      100         -91.10          4.16            -98.98          -87.75          
28      100         -71.40          32.43           -97.60          -22.15          
29      100         -64.91          37.86           -101.36         -17.76          
30      100         -40.93          35.37           -105.37         -10.22          
31      100         -55.40          38.73           -100.19         -9.19           
32      100         -66.49          37.40           -108.19         -19.53          
33      100         -63.60          32.54           -98.28          -13.36          
34      100         -58.77          36.16           -96.69          -8.86           
35      100         -57.35          38.32           -96.12          -9.31           
36      100         -35.33          32.33           -97.94          -4.95           
37      100         -54.17          36.15           -99.06          -12.64          
38      100         -32.10          22.36           -96.50          -12.03          
39      100         -40.86          30.35           -104.02         -20.72          
40      100         -32.39          22.34           -98.03          -19.82          
41      100         -31.87          22.49           -98.84          -21.77          
42      100         -31.83          21.27           -94.63          -20.50          
43      100         -23.29          2.65            -30.50          -21.20          
44      100         -22.61          2.32            -27.73          -19.97          
45      100         -42.45          30.05           -105.81         -22.63          
46      100         -46.90          34.31           -99.42          -14.19          
47      100         -48.04          33.07           -101.10         -19.14          
48      100         -56.03          35.40           -103.16         -23.74          
49      100         -39.76          29.46           -99.62          -19.96          
50      100         -43.30          27.17           -97.18          -20.43          

Time elapsed: 233.3956 seconds
