environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.2
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.05
	mutation_Gaussian_indpb_3: 0.001
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.05
	lambda_: 0.9
	mutpb: 0.95
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 370
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -99.24          18.37           -114.42         -64.29          
1       95          -109.17         7.35            -116.15         -98.47          
2       95          -107.73         2.09            -110.04         -104.38         
3       95          -105.92         1.00            -107.17         -104.17         
4       95          -105.32         1.77            -107.30         -102.53         
5       95          -106.72         3.59            -110.93         -101.83         
6       95          -106.73         2.87            -110.49         -103.18         
7       95          -104.09         1.15            -106.22         -102.72         
8       95          -106.89         2.28            -110.09         -103.73         
9       95          -104.99         3.76            -108.98         -100.57         
10      95          -104.34         5.12            -114.32         -100.53         
11      95          -102.98         1.77            -104.76         -100.84         
12      95          -103.68         1.17            -105.69         -102.04         
13      95          -101.76         0.68            -102.91         -101.01         
14      95          -102.77         2.53            -106.55         -100.57         
15      95          -100.90         0.55            -101.51         -100.01         
16      95          -101.46         0.47            -102.16         -100.99         
17      95          -103.27         2.97            -107.47         -100.28         
18      95          -102.77         2.32            -106.21         -100.40         
19      95          -101.05         0.10            -101.21         -100.91         
20      95          -100.96         0.29            -101.27         -100.61         
21      95          -102.13         2.21            -106.49         -100.54         
22      95          -101.10         0.53            -102.13         -100.62         
23      95          -100.91         0.20            -101.30         -100.77         
24      95          -101.05         0.57            -102.07         -100.40         
25      95          -100.68         1.20            -102.98         -99.48          
26      95          -103.30         3.42            -109.35         -100.37         
27      95          -99.97          2.40            -101.35         -95.19          
28      95          -99.59          2.07            -101.05         -95.48          
29      95          -101.05         0.59            -101.87         -100.02         
30      95          -100.42         0.42            -101.03         -99.90          
31      95          -100.31         0.28            -100.86         -100.11         
32      95          -100.73         0.30            -101.24         -100.41         
33      95          -100.68         0.28            -100.91         -100.15         
34      95          -100.29         0.41            -100.80         -99.95          
35      95          -100.16         0.26            -100.55         -99.90          
36      95          -100.17         0.34            -100.38         -99.50          
37      95          -100.35         0.41            -101.01         -99.78          
38      95          -100.64         0.26            -101.07         -100.35         
39      95          -100.56         0.29            -100.91         -100.21         
40      95          -100.81         0.72            -102.23         -100.32         
41      95          -100.36         0.14            -100.47         -100.09         
42      95          -100.41         0.23            -100.85         -100.18         
43      95          -100.20         0.38            -100.82         -99.66          
44      95          -100.32         0.96            -102.21         -99.66          
45      95          -100.07         0.42            -100.67         -99.67          
46      95          -99.97          0.24            -100.42         -99.73          
47      95          -100.22         0.71            -101.64         -99.74          
48      95          -99.88          0.29            -100.39         -99.57          
49      95          -99.81          0.27            -100.06         -99.46          
50      95          -100.09         0.29            -100.55         -99.69          

Time elapsed: 55.6557 seconds
