environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 3
	mate_indpb_1: 0.2
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.01
	mutation_Gaussian_indpb_3: 0.001
	elitist_ratio: 0.05
	tournsize: 5
	mu: 0.1
	lambda_: 0.9
	mutpb: 0.99
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 476
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -104.48         2.70            -109.52         -101.46         
1       100         -101.16         1.17            -103.40         -98.75          
2       100         -101.19         0.57            -101.78         -100.07         
3       100         -101.03         0.53            -101.60         -100.00         
4       100         -100.97         0.53            -101.53         -100.18         
5       100         -100.73         0.58            -101.49         -99.96          
6       100         -100.36         0.41            -101.30         -99.73          
7       100         -100.12         0.27            -100.81         -99.79          
8       100         -100.15         0.13            -100.39         -99.95          
9       100         -100.19         0.36            -101.23         -99.94          
10      100         -100.20         0.31            -101.05         -99.93          
11      100         -100.03         0.38            -100.36         -98.97          
12      100         -99.74          0.39            -100.16         -99.25          
13      100         -99.84          0.31            -100.31         -99.26          
14      100         -99.53          0.39            -100.33         -98.94          
15      100         -99.51          0.31            -100.10         -99.15          
16      100         -99.36          0.28            -99.92          -99.00          
17      100         -99.70          0.22            -100.05         -99.29          
18      100         -99.56          0.27            -100.06         -99.14          
19      100         -99.39          0.27            -99.80          -99.05          
20      100         -99.40          0.27            -99.95          -98.93          
21      100         -99.41          0.21            -99.83          -99.18          
22      100         -99.37          0.37            -100.06         -98.79          
23      100         -99.71          0.29            -100.15         -99.34          
24      100         -99.32          0.18            -99.66          -99.07          
25      100         -99.42          0.69            -101.39         -98.86          
26      100         -99.19          0.21            -99.63          -98.96          
27      100         -99.35          0.46            -100.67         -99.00          
28      100         -99.08          0.59            -99.97          -98.03          
29      100         -98.98          0.39            -99.49          -98.39          
30      100         -99.19          0.32            -99.66          -98.63          
31      100         -99.37          0.56            -100.19         -98.23          
32      100         -99.32          0.51            -100.55         -98.76          
33      100         -99.10          0.50            -100.02         -98.41          
34      100         -98.60          1.35            -100.44         -94.94          
35      100         -98.34          1.32            -99.33          -94.49          
36      100         -99.19          0.38            -99.85          -98.47          
37      100         -99.25          0.57            -100.43         -98.48          
38      100         -99.52          1.07            -102.64         -98.78          
39      100         -99.34          0.43            -100.16         -98.76          
40      100         -99.20          0.41            -99.99          -98.44          
41      100         -99.05          0.41            -99.58          -98.38          
42      100         -98.95          0.31            -99.63          -98.51          
43      100         -99.05          0.62            -100.57         -98.30          
44      100         -98.97          0.41            -99.50          -98.38          
45      100         -98.53          0.47            -99.35          -97.56          
46      100         -98.41          0.37            -99.43          -98.01          
47      100         -98.43          0.18            -98.74          -98.22          
48      100         -98.50          0.30            -99.28          -98.11          
49      100         -98.37          0.22            -98.79          -98.17          
50      100         -98.22          0.10            -98.47          -98.13          

Time elapsed: 48.3065 seconds
