environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.2
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.02
	mutation_Gaussian_indpb_3: 0.001
	elitist_ratio: 0.05
	tournsize: 5
	mu: 0.05
	lambda_: 0.9
	mutpb: 0.95
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 518
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -106.52         2.14            -108.80         -102.66         
1       95          -103.24         1.07            -104.82         -102.05         
2       95          -102.20         0.31            -102.78         -101.95         
3       95          -102.06         0.05            -102.14         -101.99         
4       95          -102.02         0.11            -102.18         -101.83         
5       95          -101.91         0.14            -102.04         -101.72         
6       95          -101.75         0.16            -102.04         -101.58         
7       95          -101.64         0.02            -101.68         -101.63         
8       95          -101.64         0.12            -101.74         -101.42         
9       95          -101.56         0.09            -101.64         -101.41         
10      95          -101.46         0.07            -101.57         -101.40         
11      95          -101.59         0.16            -101.78         -101.40         
12      95          -101.98         0.67            -103.24         -101.33         
13      95          -101.66         0.44            -102.28         -101.03         
14      95          -102.00         0.43            -102.62         -101.49         
15      95          -102.07         0.97            -103.59         -100.77         
16      95          -101.51         0.49            -102.37         -101.06         
17      95          -101.25         0.62            -102.21         -100.60         
18      95          -100.62         0.42            -101.13         -100.08         
19      95          -100.53         0.28            -100.91         -100.22         
20      95          -99.99          0.35            -100.38         -99.55          
21      95          -100.06         0.28            -100.39         -99.53          
22      95          -100.35         0.13            -100.53         -100.20         
23      95          -100.53         0.26            -101.05         -100.35         
24      95          -98.79          1.98            -100.85         -96.38          
25      95          -100.18         0.20            -100.42         -99.80          
26      95          -100.13         0.19            -100.30         -99.76          
27      95          -100.25         0.05            -100.35         -100.20         
28      95          -100.94         1.49            -103.92         -100.18         
29      95          -100.24         0.08            -100.39         -100.19         
30      95          -100.23         0.09            -100.41         -100.17         
31      95          -100.34         0.08            -100.42         -100.20         
32      95          -100.27         0.10            -100.45         -100.19         
33      95          -100.29         0.09            -100.40         -100.20         
34      95          -100.34         0.08            -100.42         -100.21         
35      95          -100.19         0.06            -100.26         -100.09         
36      95          -100.26         0.08            -100.37         -100.17         
37      95          -100.17         0.06            -100.25         -100.06         
38      95          -100.14         0.03            -100.17         -100.08         
39      95          -100.21         0.14            -100.45         -100.07         
40      95          -100.06         0.10            -100.19         -99.94          
41      95          -99.82          0.38            -100.07         -99.07          
42      95          -99.20          1.42            -100.05         -96.38          
43      95          -98.01          1.70            -100.71         -96.36          
44      95          -97.85          3.96            -104.04         -92.48          
45      95          -99.15          2.60            -104.24         -97.27          
46      95          -96.12          0.42            -96.65          -95.66          
47      95          -98.61          2.74            -103.67         -95.80          
48      95          -97.10          1.70            -99.78          -95.50          
49      95          -96.18          0.98            -97.81          -94.94          
50      95          -96.35          1.05            -98.10          -94.96          

Time elapsed: 49.0450 seconds
