environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 20
	mate_indpb_1: 0.2
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.05
	mutation_Gaussian_indpb_3: 0.001
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.3
	lambda_: 0.7
	mutpb: 0.95
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 20
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 310
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       170         -109.42         4.08            -118.86         -102.96         
1       100         -106.87         2.65            -116.00         -103.81         
2       100         -105.10         1.68            -110.58         -102.83         
3       100         -103.37         1.38            -105.55         -100.71         
4       100         -102.80         1.20            -104.97         -101.13         
5       100         -101.95         0.90            -103.44         -100.24         
6       100         -101.64         0.97            -104.15         -100.38         
7       100         -101.37         0.96            -104.44         -99.71          
8       100         -100.95         0.61            -103.14         -100.20         
9       100         -101.04         1.04            -105.30         -100.14         
10      100         -100.85         0.98            -104.88         -98.70          
11      100         -100.77         1.28            -106.15         -99.40          
12      100         -100.77         0.70            -102.94         -100.17         
13      100         -100.54         0.57            -102.83         -99.88          
14      100         -100.61         0.61            -102.41         -99.94          
15      100         -101.11         1.38            -105.36         -100.08         
16      100         -100.35         1.49            -103.09         -96.87          
17      100         -99.81          1.74            -103.37         -96.96          
18      100         -99.24          1.68            -101.53         -96.99          
19      100         -99.40          1.15            -101.99         -96.94          
20      100         -99.10          1.05            -100.50         -96.80          
21      100         -98.44          1.51            -102.31         -96.87          
22      100         -97.80          1.39            -100.54         -96.66          
23      100         -98.81          2.53            -107.76         -96.53          
24      100         -100.19         1.60            -102.91         -96.81          
25      100         -99.31          2.32            -103.88         -96.84          
26      100         -98.04          1.67            -103.00         -96.58          
27      100         -98.41          1.70            -101.92         -96.86          
28      100         -98.56          1.81            -104.16         -96.17          
29      100         -98.45          1.84            -104.14         -96.97          
30      100         -99.38          1.84            -104.61         -96.59          
31      100         -98.91          1.63            -103.70         -96.84          
32      100         -99.13          2.43            -104.87         -95.81          
33      100         -100.05         2.24            -104.57         -96.85          
34      100         -99.03          2.35            -108.52         -96.91          
35      100         -98.84          1.82            -102.98         -96.89          
36      100         -98.14          1.42            -102.29         -96.93          
37      100         -98.43          1.80            -102.46         -96.67          
38      100         -98.20          1.63            -102.61         -96.93          
39      100         -98.02          1.24            -101.54         -96.95          
40      100         -98.76          1.96            -105.02         -96.88          
41      100         -99.22          2.16            -104.80         -96.81          
42      100         -98.28          1.54            -102.43         -96.93          
43      100         -99.08          2.66            -107.42         -96.90          
44      100         -97.83          1.33            -102.13         -96.78          
45      100         -98.31          1.63            -103.09         -96.69          
46      100         -98.59          2.44            -104.45         -96.68          
47      100         -97.82          1.13            -102.09         -96.68          
48      100         -97.89          1.31            -102.02         -96.91          
49      100         -98.26          1.94            -104.36         -96.71          
50      100         -98.53          1.49            -104.22         -96.90          

Time elapsed: 46.1117 seconds
