environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 3
	mate_indpb_1: 0.2
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.05
	mutation_Gaussian_indpb_3: 0.005
	elitist_ratio: 0.05
	tournsize: 5
	mu: 0.3
	lambda_: 0.95
	mutpb: 0.99
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.05
	normalize_input: True
	normalize_input_target: 10
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 452
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       195         -105.70         3.67            -113.04         -101.13         
1       125         -102.89         2.58            -110.20         -99.63          
2       125         -100.82         1.91            -106.34         -96.96          
3       125         -100.18         2.24            -106.32         -96.58          
4       125         -98.98          1.69            -101.72         -96.07          
5       125         -98.35          1.21            -100.46         -96.09          
6       125         -97.48          1.84            -104.62         -95.56          
7       125         -97.08          0.75            -98.52          -95.20          
8       125         -96.67          1.07            -101.15         -95.36          
9       125         -96.06          0.53            -97.15          -95.20          
10      125         -96.07          0.31            -96.80          -95.53          
11      125         -96.50          1.25            -100.69         -95.31          
12      125         -94.54          9.67            -104.70         -59.24          
13      125         -88.77          14.84           -101.32         -59.15          
14      125         -85.53          17.13           -101.80         -58.52          
15      125         -82.78          18.30           -109.59         -58.03          
16      125         -85.01          16.95           -99.89          -58.91          
17      125         -80.21          18.42           -99.51          -58.95          
18      125         -78.98          18.95           -100.70         -58.40          
19      125         -72.33          17.67           -96.24          -58.44          
20      125         -70.98          18.09           -104.90         -58.04          
21      125         -73.91          19.67           -104.19         -58.63          
22      125         -67.17          15.70           -104.18         -57.29          
23      125         -67.56          16.50           -103.91         -57.61          
24      125         -69.11          17.42           -104.24         -56.94          
25      125         -72.21          18.90           -107.46         -57.61          
26      125         -66.29          15.99           -109.05         -57.52          
27      125         -53.90          36.49           -99.49          75.92           
28      125         -60.69          40.90           -106.83         76.68           
29      125         -49.12          45.79           -106.89         61.62           
30      125         -65.05          14.17           -101.02         -57.33          
31      125         -60.09          43.04           -103.93         86.46           
32      125         -60.03          30.49           -105.71         15.03           
33      125         -65.87          19.88           -106.73         -35.56          
34      125         -69.38          23.03           -103.99         -36.55          
35      125         -74.74          21.46           -100.76         -17.20          
36      125         -43.68          53.92           -108.78         78.89           
37      125         3.57            66.65           -100.92         105.29          
38      125         3.85            61.53           -85.29          97.36           
39      125         -17.44          71.79           -107.98         108.76          
40      125         21.91           78.80           -104.71         107.16          
41      125         12.32           66.12           -87.34          102.06          
42      125         76.42           49.37           -49.69          123.06          
43      125         83.20           46.40           -105.39         108.29          
44      125         77.71           47.60           -107.12         120.22          
45      125         56.00           70.96           -101.34         120.38          
46      125         67.76           61.22           -83.36          116.16          
47      125         66.90           54.43           -85.75          114.06          
48      125         77.07           45.15           -43.94          123.99          
49      125         82.22           56.97           -108.78         123.14          
50      125         91.29           43.17           -97.48          125.78          

Time elapsed: 248.7654 seconds
