environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb_1: 0.3
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.05
	mutation_Gaussian_indpb_3: 0.005
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.05
	lambda_: 0.9
	mutpb: 0.95
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: True
	normalize_input_target: 1
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 502
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -98.69          4.33            -105.81         -93.53          
1       95          -97.28          1.68            -98.56          -94.01          
2       95          -96.03          1.47            -98.21          -93.65          
3       95          -93.90          0.79            -95.48          -93.38          
4       95          -93.69          1.16            -95.38          -92.02          
5       95          -93.13          1.08            -94.44          -91.91          
6       95          -92.73          0.90            -94.50          -92.03          
7       95          -92.76          0.37            -92.99          -92.03          
8       95          -92.31          0.50            -93.28          -91.94          
9       95          -96.92          6.16            -107.89         -91.90          
10      95          -92.48          0.40            -93.13          -92.08          
11      95          -92.31          0.30            -92.83          -92.02          
12      95          -100.74         7.05            -109.76         -92.03          
13      95          -98.10          4.58            -104.62         -92.50          
14      95          -95.55          3.66            -102.05         -92.75          
15      95          -95.65          2.39            -97.96          -92.32          
16      95          -96.77          2.63            -98.87          -91.59          
17      95          -86.48          16.04           -99.50          -57.75          
18      95          -76.92          16.98           -98.09          -59.56          
19      95          -80.52          18.57           -98.15          -52.25          
20      95          -90.04          15.38           -99.70          -59.50          
21      95          -94.71          1.28            -96.10          -92.40          
22      95          -93.05          0.76            -94.14          -91.99          
23      95          -92.19          0.15            -92.36          -91.99          
24      95          -92.10          0.19            -92.38          -91.78          
25      95          -91.95          0.11            -92.13          -91.78          
26      95          -87.19          9.29            -92.01          -68.62          
27      95          -91.93          0.29            -92.41          -91.63          
28      95          -91.90          0.10            -92.03          -91.72          
29      95          -91.80          0.17            -92.02          -91.54          
30      95          -91.37          0.46            -91.93          -90.96          
31      95          -91.67          0.37            -92.15          -91.07          
32      95          -91.71          0.28            -92.23          -91.46          
33      95          -91.77          0.28            -92.22          -91.53          
34      95          -91.87          0.26            -92.26          -91.52          
35      95          -91.83          0.26            -92.17          -91.53          
36      95          -91.90          0.14            -92.08          -91.75          
37      95          -91.53          0.29            -91.89          -91.19          
38      95          -91.66          0.18            -91.86          -91.31          
39      95          -91.63          0.16            -91.77          -91.33          
40      95          -91.40          0.18            -91.73          -91.20          
41      95          -91.27          0.13            -91.46          -91.05          
42      95          -91.36          0.20            -91.61          -90.98          
43      95          -91.40          0.13            -91.55          -91.25          
44      95          -91.48          0.05            -91.54          -91.40          
45      95          -91.21          0.10            -91.37          -91.10          
46      95          -91.21          0.10            -91.34          -91.12          
47      95          -91.37          0.15            -91.66          -91.26          
48      95          -91.28          0.15            -91.50          -91.05          
49      95          -91.32          0.09            -91.47          -91.23          
50      95          -91.35          0.20            -91.69          -91.15          

Time elapsed: 114.5861 seconds
