environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb_1: 0.3
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.02
	mutation_Gaussian_indpb_3: 0.002
	elitist_ratio: 0.1
	tournsize: 5
	mu: 0.05
	lambda_: 0.7
	mutpb: 0.8
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 518
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       170         -94.52          1.16            -95.94          -92.40          
1       75          -78.77          29.03           -94.84          -20.78          
2       75          -61.43          38.07           -93.41          -14.29          
3       75          -94.44          3.11            -99.84          -91.94          
4       75          -93.00          1.89            -96.74          -91.67          
5       75          -91.96          0.14            -92.08          -91.69          
6       75          -91.87          0.13            -92.03          -91.67          
7       75          -92.09          0.13            -92.25          -91.90          
8       75          -62.12          36.40           -92.13          -17.54          
9       75          -77.36          30.08           -93.01          -17.20          
10      75          -61.93          36.47           -91.97          -16.63          
11      75          -91.91          0.43            -92.71          -91.55          
12      75          -93.56          2.79            -99.13          -92.01          
13      75          -91.76          0.28            -92.12          -91.27          
14      75          -91.82          0.15            -92.08          -91.68          
15      75          -91.95          0.36            -92.64          -91.62          
16      75          -91.66          0.55            -92.70          -91.11          
17      75          -91.85          0.09            -92.01          -91.77          
18      75          -91.71          0.27            -92.03          -91.33          
19      75          -91.82          0.22            -92.11          -91.45          
20      75          -91.59          0.20            -91.97          -91.42          
21      75          -91.63          0.30            -91.91          -91.13          
22      75          -83.63          17.14           -92.55          -49.34          
23      75          -65.17          21.62           -91.73          -47.20          
24      75          -47.31          2.25            -49.39          -42.94          
25      75          -44.82          3.61            -48.63          -39.66          
26      75          -55.94          22.83           -101.31         -39.70          
27      75          -53.92          21.82           -97.21          -40.85          
28      75          -66.82          26.37           -101.32         -42.90          
29      75          -54.82          21.34           -96.37          -34.99          
30      75          -56.04          21.44           -98.77          -43.26          
31      75          -57.84          21.30           -100.24         -43.25          
32      75          -55.51          19.12           -93.67          -44.82          
33      75          -42.57          3.05            -46.89          -37.36          
34      75          -45.89          0.13            -46.07          -45.70          
35      75          -42.59          2.27            -44.86          -38.48          
36      75          -39.46          5.78            -47.06          -32.43          
37      75          -37.61          5.24            -44.03          -28.62          
38      75          -51.16          20.85           -92.08          -33.63          
39      75          -49.35          14.66           -78.66          -41.50          
40      75          -56.00          23.99           -103.81         -40.91          
41      75          -67.77          28.25           -103.99         -42.28          
42      75          -41.90          2.61            -45.57          -39.12          
43      75          -53.76          25.61           -104.47         -35.34          
44      75          -53.25          23.58           -99.90          -37.46          
45      75          -41.91          3.58            -48.49          -38.54          
46      75          -40.70          0.69            -42.07          -40.13          
47      75          -38.68          1.28            -40.36          -36.43          
48      75          -54.38          28.06           -110.42         -37.95          
49      75          -37.36          1.62            -39.05          -34.31          
50      75          -38.62          0.56            -39.38          -37.99          

Time elapsed: 170.5392 seconds
