environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.3
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.01
	mutation_Gaussian_indpb_3: 0.001
	elitist_ratio: 0.05
	tournsize: 3
	mu: 0.05
	lambda_: 0.7
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 536
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       170         -108.65         6.18            -115.75         -98.55          
1       75          -107.11         2.32            -110.29         -104.48         
2       75          -109.56         5.38            -120.09         -105.84         
3       75          -108.20         5.82            -119.63         -104.09         
4       75          -105.12         1.06            -106.09         -103.69         
5       75          -103.73         1.88            -107.41         -102.38         
6       75          -103.78         0.72            -104.90         -102.67         
7       75          -103.97         0.62            -105.09         -103.50         
8       75          -103.45         0.39            -104.09         -103.05         
9       75          -103.11         0.70            -104.33         -102.42         
10      75          -103.72         0.41            -104.16         -103.00         
11      75          -102.99         0.47            -103.86         -102.64         
12      75          -103.64         0.70            -104.73         -102.96         
13      75          -103.46         0.86            -104.70         -102.32         
14      75          -103.14         0.72            -104.22         -102.06         
15      75          -103.10         0.62            -103.69         -101.92         
16      75          -103.47         1.15            -104.81         -101.78         
17      75          -103.35         0.88            -104.48         -101.88         
18      75          -103.18         1.40            -104.46         -100.72         
19      75          -103.10         0.44            -103.51         -102.27         
20      75          -103.42         0.79            -104.89         -102.55         
21      75          -103.71         2.27            -107.79         -100.77         
22      75          -102.96         0.54            -103.54         -102.07         
23      75          -103.40         1.20            -105.18         -101.94         
24      75          -103.08         0.94            -104.78         -101.98         
25      75          -103.96         0.44            -104.51         -103.36         
26      75          -103.28         1.38            -104.75         -101.42         
27      75          -102.49         0.56            -103.32         -101.91         
28      75          -102.75         1.53            -104.64         -100.89         
29      75          -103.13         1.11            -104.49         -101.49         
30      75          -102.51         0.69            -103.39         -101.40         
31      75          -102.22         0.74            -103.39         -101.35         
32      75          -103.75         1.77            -106.65         -101.61         
33      75          -102.45         0.58            -103.36         -101.85         
34      75          -102.10         0.77            -103.05         -101.18         
35      75          -101.92         0.68            -103.09         -101.18         
36      75          -101.17         0.45            -101.91         -100.65         
37      75          -101.88         1.03            -103.18         -100.97         
38      75          -101.75         0.64            -102.43         -100.92         
39      75          -101.72         1.14            -103.79         -100.56         
40      75          -101.98         0.80            -103.42         -101.26         
41      75          -101.76         0.70            -102.65         -100.95         
42      75          -101.30         0.42            -102.10         -100.91         
43      75          -101.50         0.49            -102.34         -100.90         
44      75          -101.21         0.95            -102.52         -99.72          
45      75          -101.07         1.14            -103.20         -100.05         
46      75          -101.38         0.75            -102.42         -100.67         
47      75          -101.51         0.59            -102.42         -100.89         
48      75          -102.38         2.18            -106.51         -100.43         
49      75          -101.74         1.12            -103.45         -100.00         
50      75          -100.73         0.43            -101.31         -100.04         

Time elapsed: 52.0996 seconds
