environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 3
	mate_indpb_1: 0.1
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.02
	mutation_Gaussian_indpb_3: 0.005
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.3
	lambda_: 0.5
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.5
	normalize_input: True
	normalize_input_target: 10
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 153
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -107.60         4.31            -114.92         -96.28          
1       80          -103.76         3.46            -112.05         -96.97          
2       80          -102.93         2.26            -110.05         -98.10          
3       80          -102.10         2.12            -109.38         -99.25          
4       80          -101.01         3.59            -111.98         -96.18          
5       80          -100.97         2.96            -110.26         -95.35          
6       80          -99.41          2.84            -103.39         -90.42          
7       80          -99.11          2.44            -104.09         -95.37          
8       80          -98.39          2.68            -105.08         -93.19          
9       80          -99.63          2.76            -109.15         -95.32          
10      80          -99.35          3.28            -109.19         -91.36          
11      80          -99.81          1.55            -103.54         -97.82          
12      80          -98.83          1.35            -101.65         -96.44          
13      80          -99.03          2.50            -102.82         -87.51          
14      80          -99.23          3.25            -112.88         -91.91          
15      80          -96.29          4.92            -105.10         -80.84          
16      80          -91.97          6.58            -102.41         -84.01          
17      80          -94.82          6.00            -104.45         -82.44          
18      80          -92.18          4.35            -103.25         -83.70          
19      80          -95.44          18.95           -193.06         -80.38          
20      80          -92.28          5.09            -104.40         -80.98          
21      80          -91.87          6.26            -103.46         -81.54          
22      80          -89.92          7.42            -104.87         -76.07          
23      80          -85.06          8.22            -103.23         -70.77          
24      80          -89.57          8.59            -112.40         -71.56          
25      80          -84.72          9.09            -109.61         -76.13          
26      80          -81.40          11.98           -110.77         -50.02          
27      80          -86.72          12.20           -114.44         -69.28          
28      80          -81.62          10.15           -99.79          -47.11          
29      80          -88.27          14.25           -111.50         -72.47          
30      80          -91.31          12.41           -118.79         -71.21          
31      80          -86.90          12.33           -107.33         -50.34          
32      80          -83.89          13.95           -110.39         -30.72          
33      80          -84.07          8.50            -104.62         -72.22          
34      80          -84.99          7.82            -106.01         -76.71          
35      80          -82.83          7.45            -105.92         -74.89          
36      80          -82.73          19.46           -128.53         -39.98          
37      80          -83.85          15.49           -116.52         -55.62          
38      80          -74.80          17.09           -115.95         -6.04           
39      80          -70.79          24.00           -117.61         -6.39           
40      80          -57.70          24.09           -89.04          -7.07           
41      80          -42.60          29.03           -117.11         18.81           
42      80          -30.93          31.34           -106.94         45.38           
43      80          -11.12          29.89           -109.24         35.49           
44      80          -2.83           20.94           -48.22          45.86           
45      80          9.14            19.81           -10.29          49.61           
46      80          16.00           35.06           -114.64         51.49           
47      80          39.76           17.11           -9.67           57.71           
48      80          38.35           11.28           0.34            51.10           
49      80          46.15           6.88            29.10           60.71           
50      80          37.12           28.34           -110.88         63.78           

Time elapsed: 254.1221 seconds
