environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 20
	mate_indpb_1: 0.1
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_sigma_3: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.05
	mutation_Gaussian_indpb_3: 0.002
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.3
	lambda_: 0.5
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 1.0
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 214
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -106.09         4.03            -115.54         -96.09          
1       80          -104.45         1.66            -109.46         -101.58         
2       80          -103.15         1.40            -106.61         -101.58         
3       80          -101.97         0.77            -104.78         -101.58         
4       80          -101.70         0.48            -103.10         -101.24         
5       80          -101.48         0.22            -102.48         -101.28         
6       80          -101.37         0.09            -101.58         -101.28         
7       80          -101.34         0.05            -101.40         -101.22         
8       80          -101.32         0.05            -101.41         -101.27         
9       80          -101.33         0.05            -101.39         -101.23         
10      80          -101.29         0.05            -101.39         -101.23         
11      80          -101.30         0.03            -101.39         -101.26         
12      80          -101.31         0.05            -101.39         -101.21         
13      80          -101.29         0.04            -101.39         -101.24         
14      80          -101.25         0.08            -101.39         -101.09         
15      80          -101.28         0.05            -101.43         -101.25         
16      80          -101.25         0.04            -101.37         -101.16         
17      80          -101.26         0.07            -101.41         -101.17         
18      80          -101.21         0.06            -101.29         -101.09         
19      80          -101.24         0.07            -101.40         -101.10         
20      80          -101.23         0.04            -101.28         -101.17         
21      80          -101.24         0.06            -101.40         -101.10         
22      80          -101.27         0.08            -101.42         -101.17         
23      80          -101.17         0.05            -101.27         -101.11         
24      80          -101.08         0.07            -101.27         -101.04         
25      80          -101.12         0.09            -101.35         -101.02         
26      80          -101.10         0.08            -101.28         -101.03         
27      80          -101.09         0.04            -101.28         -101.03         
28      80          -101.08         0.09            -101.40         -101.04         
29      80          -101.12         0.07            -101.32         -101.03         
30      80          -101.09         0.06            -101.28         -101.04         
31      80          -101.14         0.10            -101.39         -101.04         
32      80          -101.09         0.05            -101.26         -101.02         
33      80          -101.06         0.18            -101.42         -100.50         
34      80          -101.08         0.19            -101.38         -100.56         
35      80          -101.10         0.14            -101.39         -100.87         
36      80          -101.14         0.09            -101.39         -101.04         
37      80          -101.09         0.02            -101.11         -101.04         
38      80          -101.10         0.06            -101.27         -101.02         
39      80          -101.12         0.08            -101.32         -101.02         
40      80          -101.11         0.11            -101.39         -100.84         
41      80          -101.12         0.10            -101.40         -101.02         
42      80          -101.10         0.08            -101.37         -101.04         
43      80          -101.12         0.10            -101.41         -101.03         
44      80          -101.08         0.05            -101.21         -101.04         
45      80          -101.10         0.06            -101.32         -101.04         
46      80          -101.09         0.08            -101.38         -101.02         
47      80          -101.11         0.07            -101.40         -101.03         
48      80          -101.11         0.08            -101.34         -101.04         
49      80          -101.10         0.11            -101.44         -101.03         
50      80          -101.11         0.07            -101.36         -101.03         

Time elapsed: 35.2675 seconds
