environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 1
	mate_indpb_1: 0.1
	mate_indpb_2: 0.4
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.02
	mutation_Gaussian_indpb_3: 0.005
	elitist_ratio: 0.1
	tournsize: 3
	mu: 0.05
	lambda_: 0.9
	mutpb: 0.8
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.5
	normalize_input: True
	normalize_input_target: 1
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 204
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       190         -101.18         4.29            -106.40         -95.45          
1       95          -101.09         4.41            -106.72         -95.60          
2       95          -100.94         4.01            -105.83         -94.85          
3       95          -97.27          3.10            -103.13         -94.67          
4       95          -98.76          3.36            -103.95         -95.12          
5       95          -97.65          4.14            -105.54         -94.69          
6       95          -95.44          1.45            -98.33          -94.64          
7       95          -94.92          0.26            -95.27          -94.63          
8       95          -94.92          0.20            -95.26          -94.75          
9       95          -94.73          0.23            -95.05          -94.32          
10      95          -95.40          1.68            -98.70          -94.21          
11      95          -96.72          4.22            -105.10         -94.22          
12      95          -94.33          0.10            -94.51          -94.22          
13      95          -94.30          0.38            -94.90          -93.70          
14      95          -94.70          1.29            -97.20          -93.55          
15      95          -95.03          1.47            -97.94          -94.09          
16      95          -95.92          2.23            -99.04          -93.08          
17      95          -94.24          0.63            -94.91          -93.29          
18      95          -94.98          0.88            -96.19          -93.82          
19      95          -97.35          4.03            -105.34         -94.67          
20      95          -95.17          0.41            -95.79          -94.79          
21      95          -94.88          0.81            -95.84          -93.46          
22      95          -94.51          0.84            -95.68          -93.30          
23      95          -86.17          17.42           -95.81          -51.36          
24      95          -75.82          22.30           -94.24          -47.57          
25      95          -77.79          21.11           -94.98          -44.23          
26      95          -63.99          16.20           -94.56          -49.40          
27      95          -66.31          24.26           -94.70          -38.39          
28      95          -90.17          13.87           -103.98         -63.42          
29      95          -80.64          21.13           -104.93         -54.67          
30      95          -74.92          15.51           -95.06          -60.93          
31      95          -58.66          6.15            -62.79          -46.46          
32      95          -55.88          7.39            -61.81          -42.66          
33      95          -52.18          5.06            -59.34          -46.45          
34      95          -51.44          5.40            -61.78          -47.11          
35      95          -61.10          22.72           -106.25         -47.07          
36      95          -63.18          24.63           -112.04         -47.35          
37      95          -47.59          3.34            -52.21          -42.38          
38      95          -60.32          17.88           -95.13          -48.33          
39      95          -63.70          20.08           -102.29         -46.28          
40      95          -63.19          23.54           -108.86         -45.78          
41      95          -54.40          5.68            -62.31          -49.29          
42      95          -55.03          3.82            -60.88          -51.09          
43      95          -50.94          3.52            -55.70          -46.77          
44      95          -46.50          2.36            -48.84          -43.26          
45      95          -48.48          1.35            -49.99          -46.44          
46      95          -49.71          10.31           -68.02          -37.28          
47      95          -63.65          21.06           -101.55         -42.34          
48      95          -47.22          6.30            -52.61          -35.40          
49      95          -57.85          24.76           -106.80         -41.11          
50      95          -57.65          20.45           -97.97          -41.21          

Time elapsed: 223.8347 seconds
