environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 10
	mate_indpb_1: 0.2
	mate_indpb_2: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_sigma_3: 1.0
	mutation_Gaussian_indpb_1: 0.2
	mutation_Gaussian_indpb_2: 0.01
	mutation_Gaussian_indpb_3: 0.005
	elitist_ratio: 0.1
	tournsize: 3
	mu: 0.5
	lambda_: 0.5
	mutpb: 0.8
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 20
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.0001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 564
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       150         -110.72         4.10            -119.27         -102.68         
1       100         -108.51         4.14            -122.77         -101.35         
2       100         -106.84         3.52            -114.87         -101.70         
3       100         -105.16         3.64            -119.25         -101.75         
4       100         -103.42         2.02            -111.39         -101.31         
5       100         -102.30         2.15            -110.14         -99.51          
6       100         -101.86         1.19            -106.39         -99.83          
7       100         -101.24         1.13            -104.46         -99.85          
8       100         -101.47         2.72            -117.98         -99.57          
9       100         -101.20         1.12            -103.98         -99.53          
10      100         -100.71         2.07            -110.48         -99.15          
11      100         -100.84         1.48            -105.16         -99.53          
12      100         -100.28         1.18            -104.94         -99.27          
13      100         -100.79         1.87            -107.60         -99.49          
14      100         -100.57         1.86            -108.65         -99.29          
15      100         -100.49         1.31            -104.91         -99.30          
16      100         -100.10         0.88            -103.28         -99.44          
17      100         -100.19         1.80            -110.78         -98.81          
18      100         -99.97          1.27            -107.07         -99.03          
19      100         -100.48         1.45            -103.58         -99.02          
20      100         -100.09         1.33            -105.96         -98.78          
21      100         -99.98          0.70            -102.26         -99.25          
22      100         -100.23         1.37            -105.31         -99.50          
23      100         -99.69          0.54            -102.41         -98.87          
24      100         -99.63          0.92            -106.01         -99.13          
25      100         -100.01         1.03            -104.96         -99.33          
26      100         -99.81          0.99            -103.97         -98.89          
27      100         -99.57          0.80            -104.14         -98.90          
28      100         -100.08         1.15            -103.51         -98.90          
29      100         -99.96          1.04            -103.56         -98.85          
30      100         -100.00         1.84            -110.49         -99.04          
31      100         -100.12         1.86            -110.25         -99.06          
32      100         -99.45          0.63            -101.78         -98.75          
33      100         -99.37          0.41            -101.56         -98.81          
34      100         -99.80          1.56            -108.46         -98.90          
35      100         -100.36         1.62            -104.50         -98.79          
36      100         -99.99          1.37            -105.02         -98.86          
37      100         -99.38          0.40            -100.69         -98.89          
38      100         -100.18         1.63            -106.57         -98.90          
39      100         -99.69          1.13            -102.84         -98.88          
40      100         -99.53          0.93            -102.68         -98.86          
41      100         -100.10         1.06            -101.96         -98.95          
42      100         -99.85          1.23            -104.55         -98.91          
43      100         -99.48          0.82            -102.29         -98.81          
44      100         -99.38          0.77            -103.92         -98.90          
45      100         -99.61          1.33            -106.43         -97.46          
46      100         -99.36          0.73            -103.30         -98.86          
47      100         -99.25          0.52            -101.97         -98.87          
48      100         -99.32          0.38            -100.75         -98.86          
49      100         -99.27          1.07            -104.52         -96.87          
50      100         -99.32          0.92            -103.66         -98.75          

Time elapsed: 58.3591 seconds
