environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.3
	mutation_Gaussian_indpb_2: 0.001
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 7
	delta_t: 0.1
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 201
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -98.40          3.44            -106.42         -89.84          
1       150         -95.24          4.73            -102.89         -85.66          
2       150         -94.91          3.42            -105.44         -86.60          
3       150         -80.41          25.01           -104.77         -33.81          
4       150         -91.58          3.89            -101.74         -85.36          
5       150         -88.29          8.58            -97.12          -34.75          
6       150         -86.14          7.73            -101.78         -52.30          
7       150         -86.32          1.68            -97.47          -84.96          
8       150         -85.32          6.47            -87.28          -40.20          
9       150         -86.01          0.48            -87.17          -84.75          
10      150         -86.10          0.50            -86.73          -84.86          
11      150         -85.98          1.38            -87.10          -79.68          
12      150         -85.71          1.52            -87.13          -80.90          
13      150         -84.57          2.88            -86.64          -77.61          
14      150         -83.79          3.13            -87.15          -77.50          
15      150         -80.52          2.34            -86.57          -78.13          
16      150         -78.66          1.77            -87.23          -75.71          
17      150         -78.59          1.62            -81.68          -74.46          
18      150         -78.30          1.46            -80.56          -75.13          
19      150         -77.04          1.45            -80.09          -75.07          
20      150         -77.00          1.13            -79.00          -74.83          
21      150         -75.79          0.97            -78.18          -74.43          
22      150         -75.17          0.98            -77.40          -73.35          
23      150         -75.05          0.80            -77.10          -73.45          
24      150         -74.74          0.88            -77.39          -73.22          
25      150         -75.31          4.30            -104.84         -72.40          
26      150         -74.59          1.08            -79.44          -72.00          
27      150         -74.28          1.06            -77.74          -71.45          
28      150         -73.94          2.54            -77.06          -57.23          
29      150         -72.60          5.28            -76.01          -50.32          
30      150         -72.32          3.49            -75.68          -64.28          
31      150         -71.84          7.49            -104.15         -49.93          
32      150         -65.03          11.42           -108.18         -46.24          
33      150         -59.54          11.20           -101.43         -43.31          
34      150         -49.70          6.35            -64.71          -38.54          
35      150         -48.34          7.06            -66.58          -37.14          
36      150         -48.46          4.69            -57.43          -37.45          
37      150         -42.04          10.55           -63.63          -19.00          
38      150         -42.20          8.11            -56.48          -23.70          
39      150         -39.06          8.25            -61.81          -27.06          
40      150         -35.95          8.38            -59.27          -21.33          
41      150         -32.56          6.20            -49.76          -17.68          
42      150         -25.54          7.13            -41.13          -10.96          
43      150         -27.99          7.84            -50.10          -13.14          
44      150         -27.95          13.45           -100.74         -10.63          
45      150         -27.53          17.05           -106.54         -15.02          
46      150         -26.62          6.86            -45.81          -8.36           
47      150         -22.36          6.72            -40.30          -11.58          
48      150         -23.55          14.15           -110.05         -10.89          
49      150         -23.94          7.74            -39.76          -7.41           
50      150         -22.89          14.99           -118.33         -8.27           

Time elapsed: 585.4713 seconds
