environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_indpb_1: 0.3
	mutation_Gaussian_indpb_2: 0.003
	elitist_ratio: 0.05
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.8
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 10
	optimize_state_boundaries: per_neuron
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.1
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 147
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -106.09         4.43            -119.55         -95.28          
1       150         -102.36         4.23            -112.67         -93.52          
2       150         -101.37         4.16            -108.43         -88.91          
3       150         -101.42         1.99            -104.88         -96.42          
4       150         -101.66         0.76            -104.08         -99.72          
5       150         -100.85         0.95            -102.55         -99.67          
6       150         -100.68         0.76            -101.62         -99.37          
7       150         -100.17         0.60            -101.61         -99.36          
8       150         -99.91          0.42            -101.02         -99.33          
9       150         -99.67          0.29            -100.82         -99.31          
10      150         -99.61          0.41            -100.71         -99.23          
11      150         -99.44          0.26            -100.66         -99.19          
12      150         -99.44          0.40            -101.34         -99.18          
13      150         -99.32          0.08            -99.45          -99.12          
14      150         -99.33          0.20            -100.28         -99.14          
15      150         -99.29          0.24            -100.86         -99.11          
16      150         -99.24          0.08            -99.46          -99.13          
17      150         -99.18          0.25            -99.38          -97.57          
18      150         -99.26          0.24            -100.90         -99.12          
19      150         -99.26          0.31            -100.82         -99.11          
20      150         -99.06          1.03            -100.97         -95.77          
21      150         -99.45          0.56            -101.65         -99.11          
22      150         -99.28          0.29            -100.71         -99.13          
23      150         -99.50          0.61            -101.38         -99.12          
24      150         -99.21          0.07            -99.34          -99.04          
25      150         -99.38          0.46            -100.85         -99.12          
26      150         -99.21          0.11            -99.81          -99.10          
27      150         -99.30          0.42            -101.76         -99.08          
28      150         -99.25          0.18            -100.42         -99.09          
29      150         -99.48          0.51            -101.14         -99.08          
30      150         -96.20          15.13           -100.51         -22.07          
31      150         -99.24          0.21            -100.05         -99.05          
32      150         -99.27          0.30            -100.65         -99.09          
33      150         -99.43          0.61            -101.14         -98.98          
34      150         -99.19          0.20            -100.49         -99.06          
35      150         -99.47          0.50            -100.74         -99.06          
36      150         -99.20          0.13            -99.69          -99.04          
37      150         -99.34          0.42            -100.89         -99.07          
38      150         -99.17          0.27            -100.63         -98.75          
39      150         -99.39          0.58            -100.79         -96.87          
40      150         -99.20          0.17            -99.89          -99.04          
41      150         -99.30          0.36            -100.62         -99.04          
42      150         -99.24          0.30            -100.53         -99.06          
43      150         -99.11          1.04            -100.48         -94.31          
44      150         -99.49          0.47            -100.84         -99.05          
45      150         -99.41          0.40            -100.61         -99.07          
46      150         -99.33          0.35            -100.57         -99.06          
47      150         -99.50          0.50            -100.86         -99.05          
48      150         -99.33          0.36            -100.26         -99.07          
49      150         -99.56          0.64            -102.52         -99.03          
50      150         -98.80          1.96            -100.30         -91.14          

Time elapsed: 83.0508 seconds
