environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.03
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.25
	normalize_input: True
	normalize_input_target: 1
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.1
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 165
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -106.97         3.94            -113.32         -100.17         
1       150         -104.84         2.91            -112.63         -100.71         
2       150         -102.25         1.71            -107.70         -99.46          
3       150         -102.18         1.39            -107.14         -100.77         
4       150         -101.22         0.80            -102.47         -98.83          
5       150         -101.30         0.91            -104.36         -97.80          
6       150         -101.26         0.84            -103.36         -98.87          
7       150         -100.52         1.11            -101.80         -96.05          
8       150         -100.20         0.64            -101.14         -98.41          
9       150         -99.66          1.04            -100.92         -94.22          
10      150         -99.16          0.78            -102.30         -97.60          
11      150         -98.70          0.20            -99.70          -98.41          
12      150         -98.49          0.68            -98.84          -93.83          
13      150         -98.67          0.21            -99.71          -98.42          
14      150         -98.53          0.13            -98.74          -98.28          
15      150         -98.51          0.12            -98.78          -98.29          
16      150         -98.52          0.10            -98.85          -98.36          
17      150         -98.51          0.09            -98.75          -98.27          
18      150         -98.50          0.14            -99.33          -98.35          
19      150         -98.46          0.10            -98.80          -98.31          
20      150         -98.54          0.21            -99.95          -98.32          
21      150         -98.46          0.08            -98.73          -98.32          
22      150         -98.44          0.07            -98.59          -98.27          
23      150         -98.41          0.05            -98.64          -98.25          
24      150         -98.41          0.06            -98.71          -98.29          
25      150         -98.38          0.05            -98.52          -98.26          
26      150         -98.40          0.19            -99.53          -98.26          
27      150         -98.33          0.07            -98.58          -98.18          
28      150         -98.32          0.07            -98.45          -98.17          
29      150         -98.31          0.07            -98.48          -98.12          
30      150         -98.33          0.07            -98.49          -98.21          
31      150         -98.32          0.06            -98.44          -98.21          
32      150         -98.35          0.05            -98.48          -98.26          
33      150         -98.29          0.04            -98.37          -98.20          
34      150         -98.31          0.06            -98.55          -98.23          
35      150         -98.32          0.06            -98.49          -98.22          
36      150         -98.32          0.08            -98.74          -98.19          
37      150         -98.30          0.06            -98.43          -98.21          
38      150         -98.29          0.05            -98.43          -98.16          
39      150         -98.18          0.81            -98.43          -92.49          
40      150         -98.33          0.05            -98.50          -98.23          
41      150         -98.31          0.04            -98.39          -98.21          
42      150         -98.30          0.04            -98.40          -98.22          
43      150         -98.39          0.56            -102.33         -98.21          
44      150         -98.32          0.06            -98.48          -98.21          
45      150         -98.31          0.05            -98.41          -98.22          
46      150         -98.34          0.25            -100.02         -98.17          
47      150         -97.78          1.87            -98.41          -91.45          
48      150         -98.31          0.05            -98.45          -98.24          
49      150         -98.29          0.05            -98.41          -98.18          
50      150         -98.25          0.23            -98.48          -97.36          

Time elapsed: 68.3757 seconds
