environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.3
	mutation_Gaussian_indpb_2: 0.001
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 7
	delta_t: 0.25
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 240
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -91.70          1.28            -96.78          -88.63          
1       150         -91.59          0.20            -91.97          -91.28          
2       150         -91.50          0.19            -91.84          -91.14          
3       150         -91.57          0.19            -92.30          -91.22          
4       150         -91.47          0.27            -92.33          -90.87          
5       150         -91.44          0.22            -92.02          -90.68          
6       150         -90.96          1.55            -91.91          -84.88          
7       150         -91.40          0.31            -93.16          -90.97          
8       150         -91.42          0.19            -92.16          -91.11          
9       150         -87.97          16.65           -91.61          2.51            
10      150         -89.51          13.15           -91.63          2.57            
11      150         -91.35          0.16            -92.11          -91.15          
12      150         -91.51          1.15            -99.51          -91.18          
13      150         -91.37          0.13            -91.72          -91.08          
14      150         -91.35          0.19            -92.14          -91.14          
15      150         -91.38          0.19            -91.70          -90.88          
16      150         -91.37          0.09            -91.54          -91.16          
17      150         -91.34          0.09            -91.48          -91.08          
18      150         -88.46          14.02           -91.47          -19.78          
19      150         -89.97          9.56            -91.53          -23.07          
20      150         -88.45          14.12           -91.77          -19.28          
21      150         -82.52          23.94           -91.76          -14.86          
22      150         -73.15          30.68           -91.48          -12.23          
23      150         -60.72          34.19           -91.84          -15.28          
24      150         -38.48          31.22           -91.99          -11.39          
25      150         -21.81          19.40           -97.51          0.04            
26      150         -15.84          6.21            -44.13          -4.35           
27      150         -11.21          6.53            -28.96          -0.40           
28      150         -12.77          5.01            -25.49          -4.58           
29      150         -9.98           3.21            -18.55          -1.33           
30      150         -10.68          13.50           -92.14          -0.23           
31      150         -8.90           12.47           -92.03          -0.59           
32      150         -8.16           3.89            -14.14          -0.47           
33      150         -7.94           4.47            -13.80          -0.42           
34      150         -6.16           4.62            -13.59          -0.42           
35      150         -9.63           13.08           -97.03          -0.28           
36      150         -9.67           2.95            -12.69          -0.83           
37      150         -7.85           4.65            -12.68          -0.64           
38      150         -8.93           3.82            -20.09          -0.50           
39      150         -7.73           4.26            -13.12          -0.23           
40      150         -9.02           4.05            -21.00          -0.37           
41      150         -10.06          12.61           -94.00          -0.42           
42      150         -8.43           4.03            -13.03          -0.81           
43      150         -7.28           3.95            -12.54          -0.23           
44      150         -7.96           3.80            -12.75          -0.13           
45      150         -5.97           5.00            -14.06          0.14            
46      150         -7.77           3.82            -12.10          -0.30           
47      150         -9.50           18.53           -100.98         -0.21           
48      150         -4.56           4.53            -11.80          0.09            
49      150         -5.81           13.25           -93.47          0.54            
50      150         -2.90           3.87            -11.67          0.39            

Time elapsed: 561.8204 seconds
