environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.003
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.2
	lambda_: 1.0
	mutpb: 0.8
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.1
	normalize_input: False
	normalize_input_target: 10
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 295
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -94.32          16.21           -106.64         -26.25          
1       120         -94.09          2.42            -100.30         -92.11          
2       120         -93.71          2.29            -100.16         -91.31          
3       120         -88.43          19.25           -96.88          -4.64           
4       120         -93.58          3.49            -105.31         -92.19          
5       120         -92.67          1.80            -100.43         -91.91          
6       120         -92.22          0.81            -95.67          -91.62          
7       120         -92.12          0.65            -94.44          -91.57          
8       120         -91.76          0.14            -92.02          -91.49          
9       120         -91.68          0.13            -91.93          -91.46          
10      120         -91.97          1.23            -97.29          -91.46          
11      120         -91.76          0.28            -92.25          -91.41          
12      120         -91.74          0.23            -92.58          -91.46          
13      120         -91.84          0.53            -93.91          -91.33          
14      120         -91.73          0.42            -93.35          -91.25          
15      120         -91.65          0.36            -92.92          -91.30          
16      120         -91.56          0.31            -92.53          -91.23          
17      120         -91.76          0.43            -93.13          -91.28          
18      120         -91.60          0.22            -92.04          -91.27          
19      120         -92.48          2.42            -101.69         -91.20          
20      120         -91.48          0.17            -91.85          -91.20          
21      120         -91.56          0.47            -93.41          -91.17          
22      120         -91.42          0.21            -91.88          -91.18          
23      120         -91.38          0.25            -92.00          -91.14          
24      120         -91.25          0.15            -91.63          -91.04          
25      120         -91.34          0.32            -92.05          -90.87          
26      120         -91.37          0.31            -91.96          -90.99          
27      120         -91.34          0.27            -91.86          -90.85          
28      120         -91.28          0.19            -91.63          -91.02          
29      120         -91.35          0.30            -92.05          -90.82          
30      120         -91.27          0.24            -91.75          -90.87          
31      120         -91.24          0.22            -91.60          -90.83          
32      120         -91.20          0.28            -91.64          -90.85          
33      120         -91.24          0.37            -91.98          -90.81          
34      120         -91.37          0.35            -92.17          -90.85          
35      120         -91.31          0.35            -91.91          -90.85          
36      120         -91.48          0.54            -93.27          -90.86          
37      120         -91.31          0.28            -91.90          -90.94          
38      120         -91.40          0.30            -92.03          -90.91          
39      120         -91.50          0.27            -92.06          -91.07          
40      120         -91.49          0.37            -92.72          -91.04          
41      120         -91.38          0.27            -91.95          -90.91          
42      120         -91.56          0.30            -92.23          -91.13          
43      120         -91.49          0.32            -91.94          -91.15          
44      120         -91.45          0.28            -92.03          -91.08          
45      120         -92.08          2.90            -104.67         -91.06          
46      120         -91.49          0.51            -93.34          -91.03          
47      120         -91.27          0.25            -91.95          -90.93          
48      120         -91.24          0.38            -92.42          -90.92          
49      120         -91.27          0.31            -91.89          -90.92          
50      120         -91.34          0.34            -92.06          -90.90          

Time elapsed: 82.6610 seconds
