environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.001
	elitist_ratio: 0.2
	tournsize: 5
	mu: 0.2
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 1.0
	normalize_input: True
	normalize_input_target: 10
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 142
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -100.21         3.61            -107.02         -95.50          
1       120         -97.33          2.06            -102.02         -93.56          
2       120         -93.17          14.51           -102.95         -30.51          
3       120         -88.02          19.92           -98.88          -28.77          
4       120         -94.17          5.57            -99.13          -70.56          
5       120         -94.35          1.08            -98.00          -92.88          
6       120         -94.02          0.83            -96.79          -93.17          
7       120         -93.70          0.44            -94.66          -92.95          
8       120         -93.10          0.48            -93.67          -91.93          
9       120         -92.79          0.45            -93.43          -91.91          
10      120         -92.26          0.39            -92.88          -91.70          
11      120         -91.89          0.20            -92.11          -91.51          
12      120         -91.73          0.12            -91.98          -91.51          
13      120         -91.63          0.11            -91.82          -91.39          
14      120         -91.51          0.17            -91.81          -91.30          
15      120         -91.43          0.09            -91.55          -91.26          
16      120         -91.36          0.11            -91.61          -91.27          
17      120         -91.34          0.07            -91.53          -91.24          
18      120         -91.36          0.07            -91.57          -91.24          
19      120         -91.34          0.08            -91.59          -91.16          
20      120         -91.31          0.08            -91.59          -91.16          
21      120         -91.34          0.12            -91.72          -91.13          
22      120         -91.30          0.12            -91.61          -90.93          
23      120         -91.25          0.07            -91.37          -91.12          
24      120         -91.19          0.12            -91.35          -90.94          
25      120         -91.20          0.10            -91.32          -90.96          
26      120         -91.16          0.15            -91.40          -90.83          
27      120         -91.14          0.17            -91.40          -90.86          
28      120         -91.16          0.14            -91.33          -90.85          
29      120         -91.22          0.04            -91.30          -91.09          
30      120         -91.17          0.08            -91.26          -90.95          
31      120         -91.15          0.14            -91.46          -90.92          
32      120         -91.13          0.12            -91.33          -90.92          
33      120         -91.18          0.10            -91.39          -90.92          
34      120         -91.16          0.11            -91.34          -90.92          
35      120         -91.21          0.08            -91.35          -91.05          
36      120         -91.14          0.11            -91.29          -90.91          
37      120         -91.16          0.12            -91.38          -90.89          
38      120         -91.16          0.13            -91.38          -90.90          
39      120         -91.16          0.13            -91.42          -90.82          
40      120         -91.24          0.08            -91.35          -91.07          
41      120         -91.20          0.08            -91.33          -91.07          
42      120         -91.10          0.14            -91.37          -90.87          
43      120         -91.09          0.14            -91.36          -90.83          
44      120         -91.17          0.11            -91.31          -90.87          
45      120         -91.19          0.08            -91.30          -90.96          
46      120         -91.18          0.08            -91.34          -91.03          
47      120         -91.13          0.13            -91.32          -90.86          
48      120         -91.09          0.11            -91.28          -90.88          
49      120         -91.15          0.18            -91.56          -90.77          
50      120         -91.20          0.08            -91.32          -90.92          

Time elapsed: 88.3347 seconds
