environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.01
	elitist_ratio: 0.2
	tournsize: 3
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.1
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 163
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -105.85         6.59            -113.93         -85.69          
1       150         -102.77         5.65            -111.10         -84.45          
2       150         -103.34         2.80            -111.70         -100.12         
3       150         -101.90         2.31            -107.45         -97.73          
4       150         -102.03         2.54            -114.05         -98.87          
5       150         -101.69         3.18            -111.90         -91.89          
6       150         -100.54         3.75            -111.52         -88.56          
7       150         -99.93          5.01            -114.67         -89.73          
8       150         -101.18         3.47            -116.09         -92.29          
9       150         -100.78         2.59            -112.11         -93.24          
10      150         -100.77         2.27            -108.76         -94.58          
11      150         -99.98          2.41            -105.12         -93.83          
12      150         -100.03         2.66            -110.84         -93.91          
13      150         -99.99          3.64            -109.21         -89.79          
14      150         -99.16          3.03            -110.60         -91.65          
15      150         -99.62          3.56            -112.80         -93.67          
16      150         -99.45          3.66            -117.38         -94.23          
17      150         -99.72          2.57            -105.08         -94.59          
18      150         -99.59          3.77            -110.76         -93.79          
19      150         -98.82          2.86            -107.95         -93.94          
20      150         -98.63          3.36            -110.10         -93.72          
21      150         -98.42          3.45            -111.55         -94.05          
22      150         -97.65          3.42            -108.85         -93.60          
23      150         -97.57          3.79            -110.25         -93.45          
24      150         -97.20          3.80            -108.92         -88.92          
25      150         -95.80          2.92            -107.06         -93.47          
26      150         -95.73          3.45            -109.02         -90.88          
27      150         -95.49          3.51            -110.37         -90.34          
28      150         -94.18          2.69            -106.04         -90.26          
29      150         -94.32          3.70            -112.89         -90.34          
30      150         -94.21          2.44            -102.34         -90.33          
31      150         -92.83          2.59            -101.10         -90.44          
32      150         -93.64          2.79            -99.82          -90.22          
33      150         -92.51          4.89            -113.25         -89.47          
34      150         -95.06          5.60            -113.62         -90.68          
35      150         -93.13          4.89            -116.47         -88.98          
36      150         -94.41          4.71            -108.78         -86.65          
37      150         -92.87          7.31            -115.21         -77.05          
38      150         -90.36          11.85           -110.44         -14.77          
39      150         -91.14          11.55           -109.26         -19.02          
40      150         -92.95          5.11            -114.54         -75.63          
41      150         -92.92          4.53            -114.17         -89.45          
42      150         -91.77          3.36            -105.11         -83.84          
43      150         -91.79          2.26            -102.02         -88.73          
44      150         -91.76          5.19            -118.89         -77.80          
45      150         -91.84          2.77            -107.43         -89.66          
46      150         -90.45          1.14            -93.22          -87.98          
47      150         -90.84          1.98            -100.79         -88.79          
48      150         -91.09          2.10            -101.90         -88.84          
49      150         -90.89          2.25            -102.30         -87.87          
50      150         -91.10          3.86            -111.02         -87.55          

Time elapsed: 76.2341 seconds
