environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.3
	mutation_Gaussian_indpb_2: 0.003
	elitist_ratio: 0.1
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 10
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.1
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 325
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -79.63          26.46           -102.83         -19.56          
1       150         -78.77          26.20           -109.83         -28.49          
2       150         -76.50          26.82           -101.91         -24.93          
3       150         -65.47          29.95           -95.92          -14.60          
4       150         -47.31          29.12           -92.68          -10.26          
5       150         -37.32          21.01           -93.76          -8.97           
6       150         -34.69          23.65           -105.78         -9.07           
7       150         -20.37          23.49           -99.74          -3.11           
8       150         -13.15          12.23           -91.98          -2.95           
9       150         -12.11          12.44           -96.49          -2.92           
10      150         -10.10          2.26            -15.61          -7.23           
11      150         -9.33           1.48            -14.78          -8.14           
12      150         -8.98           1.64            -15.24          -7.64           
13      150         -8.33           1.86            -13.24          -1.49           
14      150         -7.78           0.91            -11.04          -5.21           
15      150         -7.92           1.20            -11.53          -5.54           
16      150         -7.52           0.61            -9.01           -6.07           
17      150         -7.49           1.42            -13.06          -6.35           
18      150         -7.20           1.31            -13.17          -5.72           
19      150         -6.82           0.83            -8.95           -4.91           
20      150         -6.42           1.61            -12.71          -3.32           
21      150         -6.23           1.73            -13.73          -1.33           
22      150         -5.71           1.53            -9.61           -2.09           
23      150         -4.58           1.72            -7.13           -1.33           
24      150         -2.66           2.16            -8.04           0.74            
25      150         -1.98           1.96            -10.68          0.87            
26      150         -1.68           1.16            -4.33           0.83            
27      150         -1.29           0.86            -2.96           0.83            
28      150         -1.59           0.53            -2.81           -0.63           
29      150         -3.57           14.05           -101.85         -0.06           
30      150         -0.99           0.47            -2.95           -0.34           
31      150         -0.73           0.47            -1.78           0.16            
32      150         0.72            8.12            -2.92           40.40           
33      150         0.33            16.39           -101.86         26.19           
34      150         12.38           15.95           -1.36           42.61           
35      150         31.64           13.10           -0.75           46.08           
36      150         33.90           7.27            12.64           46.23           
37      150         37.64           23.26           -110.16         63.21           
38      150         39.83           11.63           15.16           85.89           
39      150         46.09           14.03           21.79           78.79           
40      150         55.36           19.01           26.87           91.87           
41      150         57.79           28.69           -65.36          88.89           
42      150         66.77           14.52           21.12           90.12           
43      150         73.60           11.17           40.29           90.42           
44      150         75.31           9.53            54.80           89.91           
45      150         59.01           29.03           -55.97          90.08           
46      150         69.43           21.18           -45.58          94.46           
47      150         70.71           22.48           -73.35          90.55           
48      150         77.05           23.86           -76.20          96.76           
49      150         74.75           35.23           -95.41          104.09          
50      150         75.43           37.01           -81.29          97.69           

Time elapsed: 667.5353 seconds
