environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.3
	mutation_Gaussian_indpb_2: 0.03
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.2
	lambda_: 1.0
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 1.0
	normalize_input: True
	normalize_input_target: 1
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 163
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -92.35          0.95            -96.25          -91.61          
1       120         -92.81          2.07            -99.90          -91.41          
2       120         -94.30          6.01            -117.53         -91.69          
3       120         -92.99          2.51            -101.82         -91.54          
4       120         -91.83          0.48            -93.14          -91.26          
5       120         -93.13          3.81            -107.90         -91.12          
6       120         -93.22          3.76            -107.12         -91.49          
7       120         -92.00          0.65            -94.67          -91.49          
8       120         -91.98          0.89            -95.79          -91.36          
9       120         -91.75          0.25            -92.58          -91.45          
10      120         -91.73          0.35            -92.82          -91.40          
11      120         -90.20          6.48            -91.95          -61.97          
12      120         -91.69          0.19            -92.27          -91.40          
13      120         -92.17          1.80            -99.98          -91.41          
14      120         -91.71          0.27            -92.82          -91.38          
15      120         -91.66          0.20            -92.14          -91.43          
16      120         -91.77          0.29            -92.57          -91.41          
17      120         -92.20          1.69            -97.95          -91.40          
18      120         -92.75          3.03            -103.32         -91.51          
19      120         -93.31          4.29            -108.61         -91.47          
20      120         -92.53          2.02            -100.08         -91.37          
21      120         -91.89          0.38            -92.70          -91.44          
22      120         -91.85          0.45            -93.22          -91.40          
23      120         -92.09          1.45            -98.24          -91.32          
24      120         -89.51          6.86            -98.71          -73.64          
25      120         -87.35          8.81            -101.82         -73.31          
26      120         -86.39          9.51            -100.57         -68.16          
27      120         -84.41          9.41            -100.01         -67.55          
28      120         -83.68          12.18           -109.38         -69.37          
29      120         -82.27          9.15            -102.52         -72.84          
30      120         -80.78          10.95           -106.19         -72.04          
31      120         -79.46          9.10            -105.02         -72.52          
32      120         -77.21          6.37            -91.95          -72.88          
33      120         -76.37          9.53            -104.51         -62.69          
34      120         -77.47          11.24           -103.87         -61.06          
35      120         -72.64          14.71           -108.59         -35.20          
36      120         -74.50          15.91           -107.06         -56.19          
37      120         -80.34          17.65           -107.41         -54.72          
38      120         -74.49          13.78           -103.17         -60.93          
39      120         -74.93          14.54           -103.27         -60.90          
40      120         -74.37          19.52           -105.03         -37.65          
41      120         -66.06          22.62           -110.24         -36.97          
42      120         -57.31          18.74           -103.09         -38.93          
43      120         -57.45          26.62           -107.03         -37.16          
44      120         -58.14          29.53           -105.56         -35.91          
45      120         -53.02          24.70           -104.27         -37.69          
46      120         -53.05          25.01           -104.51         -36.48          
47      120         -54.46          28.19           -104.26         -36.11          
48      120         -47.99          23.22           -104.25         -34.82          
49      120         -48.04          23.40           -106.72         -32.05          
50      120         -48.81          24.91           -104.11         -32.10          

Time elapsed: 323.6965 seconds
