environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 1
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 5.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.001
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.2
	lambda_: 1.0
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.1
	normalize_input: True
	normalize_input_target: 1
	optimize_state_boundaries: fixed
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 313
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -104.63         3.95            -113.49         -99.28          
1       120         -92.48          26.47           -109.37         -13.35          
2       120         -101.15         1.85            -107.21         -98.01          
3       120         -100.75         2.58            -108.95         -95.36          
4       120         -100.10         1.35            -102.38         -96.80          
5       120         -98.42          2.40            -100.83         -94.17          
6       120         -99.76          1.47            -103.08         -95.76          
7       120         -98.33          1.15            -100.44         -96.27          
8       120         -98.50          1.96            -104.81         -96.22          
9       120         -99.08          1.90            -104.47         -95.50          
10      120         -97.80          1.89            -104.02         -95.25          
11      120         -97.37          1.67            -100.61         -94.00          
12      120         -97.31          2.26            -101.70         -94.25          
13      120         -98.00          2.40            -104.31         -93.68          
14      120         -99.48          4.41            -112.38         -95.17          
15      120         -96.93          3.33            -107.02         -93.69          
16      120         -97.40          2.89            -102.78         -89.19          
17      120         -97.56          2.36            -100.61         -92.07          
18      120         -96.10          2.36            -100.18         -92.09          
19      120         -96.00          2.30            -100.65         -92.61          
20      120         -95.35          2.88            -104.93         -92.56          
21      120         -94.15          2.36            -100.96         -92.03          
22      120         -92.78          1.23            -96.56          -91.48          
23      120         -94.34          1.66            -100.16         -92.37          
24      120         -93.95          0.66            -95.42          -92.38          
25      120         -94.03          1.96            -100.52         -91.76          
26      120         -95.42          3.57            -108.02         -92.17          
27      120         -94.01          2.07            -101.35         -92.29          
28      120         -94.40          1.76            -100.88         -92.87          
29      120         -93.95          1.96            -99.62          -91.60          
30      120         -94.67          2.24            -103.32         -93.06          
31      120         -93.82          1.97            -101.04         -92.17          
32      120         -91.23          6.96            -94.58          -70.47          
33      120         -93.30          0.88            -96.26          -92.03          
34      120         -93.21          0.81            -95.34          -92.28          
35      120         -93.46          1.15            -96.51          -92.13          
36      120         -93.34          0.95            -95.38          -91.82          
37      120         -94.17          3.22            -105.27         -91.67          
38      120         -94.14          1.20            -97.68          -92.64          
39      120         -93.78          0.78            -95.77          -92.16          
40      120         -93.98          1.01            -96.50          -92.16          
41      120         -93.45          0.84            -95.07          -92.11          
42      120         -94.07          0.63            -95.82          -93.19          
43      120         -93.56          0.96            -95.59          -92.18          
44      120         -91.75          8.57            -95.61          -54.54          
45      120         -85.98          13.48           -94.88          -55.61          
46      120         -79.08          19.22           -102.58         -50.70          
47      120         -64.38          18.18           -102.60         -52.66          
48      120         -61.16          16.18           -103.10         -49.11          
49      120         -54.08          3.70            -60.14          -46.81          
50      120         -54.38          12.77           -106.76         -42.61          

Time elapsed: 104.4415 seconds
