environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 5.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.03
	elitist_ratio: 0.1
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.25
	normalize_input: True
	normalize_input_target: 10
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 1.5
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 325
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -95.30          3.32            -104.18         -91.86          
1       150         -93.61          1.80            -99.12          -91.66          
2       150         -92.74          1.08            -97.51          -91.61          
3       150         -92.73          0.69            -94.65          -91.82          
4       150         -92.22          0.46            -93.34          -91.63          
5       150         -90.93          10.39           -98.53          -18.61          
6       150         -92.27          0.89            -96.18          -91.39          
7       150         -92.40          2.36            -107.45         -90.21          
8       150         -89.42          12.02           -97.66          -31.09          
9       150         -90.81          7.46            -97.37          -39.58          
10      150         -79.98          22.97           -99.35          -25.78          
11      150         -79.65          25.42           -97.70          -13.36          
12      150         -64.21          33.50           -99.46          -13.32          
13      150         -52.94          33.74           -103.80         -14.11          
14      150         -32.18          26.64           -100.26         -3.14           
15      150         -23.61          16.89           -95.84          -3.23           
16      150         -20.53          16.94           -97.07          -3.30           
17      150         -15.21          5.60            -27.69          -2.35           
18      150         -14.42          6.44            -28.04          -2.54           
19      150         -21.57          23.79           -104.71         -7.00           
20      150         -17.56          20.05           -97.63          -4.86           
21      150         -11.79          5.24            -32.63          -1.12           
22      150         -13.57          17.64           -96.27          -1.86           
23      150         -14.77          19.12           -96.93          -3.41           
24      150         -12.13          18.52           -100.16         -2.90           
25      150         -14.16          21.39           -95.45          -2.32           
26      150         -10.96          18.07           -98.20          -2.37           
27      150         -13.03          22.03           -98.24          -2.60           
28      150         -9.24           13.95           -101.08         -3.10           
29      150         -7.41           12.84           -94.19          -2.61           
30      150         -12.40          21.89           -98.11          -1.72           
31      150         -26.94          36.20           -102.33         -2.49           
32      150         -12.78          23.16           -101.77         -2.58           
33      150         -7.24           7.02            -46.95          -2.54           
34      150         -6.04           13.65           -99.93          -2.12           
35      150         -6.92           14.94           -101.76         -1.31           
36      150         -10.46          22.46           -100.46         -1.48           
37      150         -11.72          24.51           -95.66          -2.32           
38      150         -9.23           21.92           -96.43          -1.23           
39      150         -9.59           21.64           -94.57          -1.04           
40      150         -9.59           21.74           -96.50          -2.44           
41      150         -5.79           13.37           -95.99          -2.02           
42      150         -14.43          29.10           -101.38         37.88           
43      150         -13.73          30.11           -108.19         30.71           
44      150         -17.80          35.23           -103.84         26.60           
45      150         -4.42           22.52           -94.30          22.74           
46      150         2.93            28.00           -101.00         33.39           
47      150         -3.51           38.21           -101.75         27.77           
48      150         13.38           23.07           -93.52          40.72           
49      150         15.88           28.10           -100.70         36.65           
50      150         10.43           40.80           -102.32         44.05           

Time elapsed: 445.5677 seconds
