environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 5
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.003
	elitist_ratio: 0.0
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.9
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 7
	delta_t: 0.25
	normalize_input: False
	normalize_input_target: 1
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 215
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -101.40         22.53           -113.67         54.80           
1       150         -100.42         4.36            -105.48         -77.26          
2       150         -98.39          4.21            -102.85         -84.98          
3       150         -95.81          6.35            -102.45         -79.58          
4       150         -78.64          31.80           -101.66         28.61           
5       150         -85.53          12.23           -101.10         -64.49          
6       150         -76.24          12.62           -98.80          -50.51          
7       150         -76.27          26.08           -99.00          44.33           
8       150         -72.00          10.89           -92.89          -50.57          
9       150         -74.12          12.00           -97.43          -52.20          
10      150         -67.57          28.26           -92.63          35.87           
11      150         -66.67          27.27           -93.63          27.06           
12      150         -65.77          28.87           -99.94          53.34           
13      150         -38.53          49.90           -91.87          42.18           
14      150         -56.96          43.07           -97.29          42.18           
15      150         -44.25          36.24           -90.69          34.75           
16      150         -38.52          43.22           -94.51          55.83           
17      150         -21.78          58.89           -92.38          62.97           
18      150         -28.97          51.95           -92.87          75.28           
19      150         -21.20          45.91           -91.97          50.40           
20      150         -15.80          51.23           -87.12          76.27           
21      150         -4.73           54.82           -90.54          51.68           
22      150         5.82            57.19           -85.00          99.53           
23      150         6.84            49.82           -96.56          75.01           
24      150         2.36            45.46           -89.19          54.13           
25      150         -5.89           46.12           -83.67          83.44           
26      150         8.44            48.70           -83.73          63.68           
27      150         10.41           47.93           -90.67          65.27           
28      150         3.74            47.52           -88.93          59.26           
29      150         14.68           49.33           -90.54          54.87           
30      150         5.90            47.41           -94.51          70.60           
31      150         21.86           35.46           -71.09          62.08           
32      150         4.46            46.97           -95.30          52.72           
33      150         16.87           40.79           -92.94          57.52           
34      150         12.68           45.00           -80.21          54.02           
35      150         23.49           39.40           -91.62          58.52           
36      150         19.84           34.60           -74.51          51.32           
37      150         22.92           40.47           -94.35          65.49           
38      150         8.20            44.85           -92.40          53.67           
39      150         9.74            48.74           -84.13          59.58           
40      150         18.85           44.87           -88.74          54.91           
41      150         6.31            48.29           -84.61          63.00           
42      150         37.70           23.63           -57.77          66.25           
43      150         20.19           46.45           -83.06          73.51           
44      150         9.17            50.74           -77.99          87.74           
45      150         8.69            49.27           -90.62          59.48           
46      150         23.11           50.13           -93.37          76.83           
47      150         43.97           39.51           -86.43          87.03           
48      150         49.88           30.06           -63.22          84.44           
49      150         25.68           48.80           -88.05          72.42           
50      150         47.98           37.22           -84.67          79.85           

Time elapsed: 597.4275 seconds
