environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 1.0
	mutation_Gaussian_indpb_2: 0.01
	elitist_ratio: 0.05
	tournsize: 5
	mu: 0.3
	lambda_: 1.0
	mutpb: 0.8
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 7
	delta_t: 0.25
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 1.5
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.1
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 170
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -80.56          27.28           -93.75          -9.66           
1       130         -78.37          30.25           -92.27          -6.40           
2       130         -75.36          33.01           -92.09          -4.14           
3       130         -64.80          38.91           -97.84          -6.60           
4       130         -59.16          41.15           -99.42          -4.83           
5       130         -49.27          41.32           -92.62          0.15            
6       130         -41.66          40.10           -99.19          0.02            
7       130         -34.72          37.62           -101.64         0.45            
8       130         -19.64          27.58           -92.21          -0.18           
9       130         -31.91          35.69           -93.40          -0.75           
10      130         -31.70          38.80           -104.67         -0.37           
11      130         -17.87          26.76           -92.60          -0.96           
12      130         -25.67          34.95           -98.61          -4.31           
13      130         -34.30          41.49           -98.66          -4.12           
14      130         -50.67          41.86           -104.26         -4.28           
15      130         -38.78          38.95           -99.80          -4.47           
16      130         -31.15          38.11           -97.76          -4.58           
17      130         -25.69          35.03           -98.65          -4.58           
18      130         -21.88          32.46           -95.91          -4.46           
19      130         -33.13          41.12           -100.78         -4.21           
20      130         -22.89          35.38           -101.55         -3.89           
21      130         -28.88          39.60           -101.14         -3.13           
22      130         -29.75          40.88           -101.86         -3.55           
23      130         -22.47          34.52           -99.52          -1.70           
24      130         -19.99          33.14           -97.96          -3.14           
25      130         -19.82          32.89           -97.77          -3.76           
26      130         -26.11          38.72           -98.74          -3.50           
27      130         -25.54          35.49           -99.63          -4.26           
28      130         -18.35          29.86           -99.89          -4.13           
29      130         -15.14          26.30           -97.23          -4.09           
30      130         -10.07          16.70           -95.62          -3.50           
31      130         -6.25           3.28            -16.28          -4.37           
32      130         -14.87          27.79           -102.04         5.05            
33      130         -18.79          32.35           -102.02         -0.43           
34      130         -23.13          36.10           -99.49          1.14            
35      130         -18.58          30.70           -101.54         -3.67           
36      130         -31.42          39.45           -99.94          -4.13           
37      130         -25.00          36.10           -100.17         -4.24           
38      130         -21.58          33.65           -101.94         -3.74           
39      130         -16.53          26.08           -93.95          -4.24           
40      130         -15.71          27.46           -99.02          -2.10           
41      130         -8.55           16.91           -98.96          -4.23           
42      130         -21.00          34.32           -101.64         -4.19           
43      130         -14.64          27.15           -99.41          -3.63           
44      130         -21.11          32.96           -101.64         -3.21           
45      130         -26.38          37.75           -100.41         -4.25           
46      130         -8.78           14.49           -85.23          -3.72           
47      130         -8.19           17.02           -99.51          -2.43           
48      130         -18.53          32.12           -101.54         -4.01           
49      130         -5.34           2.51            -13.46          -2.34           
50      130         -15.90          28.03           -98.15          -1.78           

Time elapsed: 408.0052 seconds
